"time","bus_1041.U","bus_1042.U","bus_4012.U","bus_4032.U","bus_4062.U","line_4032_4044.P1Pu"
0,1.012402812761634,1.014498371653581,1.023550172691059,1.048656087059342,1.056022792846784,7.415561698276928
6.000003000596033e-06,1.012402797697008,1.014498371671502,1.023550172697891,1.048656087076704,1.056022792862626,7.415561698533683
6.000003000596033e-06,1.012402812782986,1.014498371671502,1.023550172697891,1.048656087076704,1.056022792862626,7.415561698533683
9.00000450257615e-06,1.012402797707683,1.014498371680461,1.023550172701306,1.048656087085384,1.056022792870545,7.415561698662046
9.00000450257615e-06,1.01240281279366,1.014498371680461,1.023550172701306,1.048656087085384,1.056022792870545,7.415561698662046
9.500004748401073e-06,1.012402797709462,1.014498371681954,1.023550172701875,1.04865608708683,1.056022792871865,7.415561698683437
9.500004748401073e-06,1.012402812795439,1.014498371681954,1.023550172701875,1.04865608708683,1.056022792871865,7.415561698683437
1.050000525033077e-05,1.01240279771302,1.01449837168494,1.023550172703014,1.048656087089723,1.056022792874505,7.415561698726222
1.050000525033077e-05,1.012402812798997,1.01449837168494,1.023550172703014,1.048656087089723,1.056022792874505,7.415561698726222
0.01,1.012402829516217,1.014498398598944,1.02355018310892,1.048656113045073,1.056022816795112,7.415562091513682
0.02,1.012402854666496,1.014498420370098,1.023550191821749,1.048656133930484,1.05602283651856,7.415562427151357
0.03,1.012402866665754,1.014498431990629,1.023550195771704,1.048656144545421,1.056022847814061,7.415562634985798
0.04,1.012402878184798,1.014498443240442,1.02355019953012,1.048656154781402,1.056022858799332,7.415562837944096
0.05,1.012402878457187,1.014498445051477,1.02355019429534,1.048656155950258,1.056022861017586,7.415562812989156
0.06,1.012402877579818,1.014498445897576,1.023550188141177,1.048656156192171,1.056022862339579,7.415562764734406
0.07000000000000001,1.012402876702448,1.014498446743675,1.023550181987013,1.048656156434085,1.056022863661572,7.415562716479658
0.08,1.012402875825079,1.014498447589774,1.02355017583285,1.048656156675998,1.056022864983564,7.41556266822491
0.09,1.012402873146232,1.014498442586757,1.023550157002684,1.04865616003159,1.05602285829263,7.415562137309053
0.1,1.012402870059955,1.014498436260881,1.023550135305663,1.048656164091385,1.056022849789461,7.415561497232643
0.11,1.012402866973678,1.014498429935006,1.023550113608643,1.048656168151181,1.056022841286293,7.415560857156242
0.12,1.012402863887401,1.014498423609132,1.023550091911622,1.048656172210978,1.056022832783126,7.415560217079846
0.13,1.012402860801124,1.014498417283258,1.023550070214601,1.048656176270777,1.056022824279959,7.41555957700346
0.14,1.012402857714847,1.014498410957386,1.023550048517581,1.048656180330577,1.056022815776794,7.415558936927081
0.15,1.012402854628571,1.014498404631514,1.02355002682056,1.048656184390378,1.056022807273629,7.41555829685071
0.16,1.012402851542294,1.014498398305643,1.023550005123539,1.04865618845018,1.056022798770465,7.415557656774345
0.17,1.012402857292338,1.014498389698892,1.023549982986892,1.048656214636409,1.056022781182698,7.41555652640046
0.18,1.012402868184193,1.014498379764915,1.023549960594428,1.048656253697898,1.056022758308654,7.415555110724839
0.19,1.012402879076049,1.014498369830947,1.023549938201964,1.048656292759393,1.05602273543462,7.415553695049146
0.2,1.012402889967905,1.014498359896988,1.0235499158095,1.048656331820891,1.056022712560595,7.415552279373383
0.21,1.01240290085976,1.014498349963039,1.023549893417036,1.048656370882394,1.056022689686581,7.415550863697547
0.22,1.012402911751616,1.014498340029099,1.023549871024573,1.048656409943902,1.056022666812576,7.415549448021642
0.23,1.012402922643471,1.014498330095168,1.023549848632109,1.048656449005414,1.056022643938581,7.415548032345664
0.24,1.012402933535327,1.014498320161247,1.023549826239645,1.048656488066931,1.056022621064596,7.415546616669616
0.25,1.012402944427182,1.014498310227335,1.023549803847181,1.048656527128453,1.056022598190621,7.415545200993497
0.26,1.012402955319038,1.014498300293432,1.023549781454717,1.048656566189979,1.056022575316655,7.415543785317306
0.27,1.012402966210894,1.014498290359538,1.023549759062253,1.04865660525151,1.0560225524427,7.415542369641045
0.28,1.012402977102749,1.014498280425653,1.023549736669789,1.048656644313045,1.056022529568754,7.415540953964712
0.29,1.012402987994605,1.014498270491778,1.023549714277325,1.048656683374586,1.056022506694818,7.415539538288309
0.3,1.01240299888646,1.014498260557912,1.023549691884861,1.048656722436131,1.056022483820892,7.415538122611835
0.31,1.012403009778316,1.014498250624055,1.023549669492397,1.04865676149768,1.056022460946976,7.415536706935288
0.32,1.012403020670172,1.014498240690207,1.023549647099933,1.048656800559234,1.05602243807307,7.415535291258672
0.33,1.012403024501529,1.014498226314472,1.023549629812425,1.048656833043254,1.056022408973814,7.415534013643782
0.34,1.012403008785782,1.014498199641277,1.02354962665807,1.048656847317254,1.056022362639556,7.415533118255237
0.35,1.012402993070035,1.014498172968083,1.023549623503715,1.048656861591257,1.056022316305302,7.415532222866725
0.36,1.012402977354288,1.01449814629489,1.02354962034936,1.048656875865263,1.056022269971052,7.415531327478245
0.37,1.01240296163854,1.014498119621699,1.023549617195004,1.048656890139273,1.056022223636806,7.415530432089801
0.3800000000000001,1.012402945922793,1.01449809294851,1.023549614040649,1.048656904413285,1.056022177302564,7.415529536701388
0.3900000000000001,1.012402930207046,1.014498066275322,1.023549610886294,1.048656918687299,1.056022130968325,7.415528641313008
0.4,1.012402914491299,1.014498039602135,1.023549607731939,1.048656932961317,1.05602208463409,7.415527745924662
0.41,1.012402898775552,1.01449801292895,1.023549604577584,1.048656947235338,1.05602203829986,7.415526850536349
0.42,1.012402883059805,1.014497986255766,1.023549601423228,1.048656961509361,1.056021991965633,7.41552595514807
0.43,1.012402867344058,1.014497959582584,1.023549598268873,1.048656975783388,1.05602194563141,7.415525059759823
0.4400000000000001,1.012402851628311,1.014497932909403,1.023549595114518,1.048656990057418,1.05602189929719,7.415524164371609
0.4500000000000001,1.012402835912563,1.014497906236224,1.023549591960163,1.04865700433145,1.056021852962975,7.41552326898343
0.46,1.012402820196816,1.014497879563046,1.023549588805807,1.048657018605486,1.056021806628764,7.415522373595283
0.47,1.012402804481069,1.014497852889869,1.023549585651452,1.048657032879524,1.056021760294556,7.415521478207168
0.48,1.012402788765322,1.014497826216695,1.023549582497097,1.048657047153565,1.056021713960352,7.415520582819088
0.49,1.012402773049575,1.014497799543521,1.023549579342742,1.048657061427609,1.056021667626152,7.41551968743104
0.5,1.012402757333828,1.014497772870349,1.023549576188387,1.048657075701656,1.056021621291956,7.415518792043026
0.5100000000000001,1.012402741618081,1.014497746197178,1.023549573034032,1.048657089975706,1.056021574957764,7.415517896655045
0.52,1.012402725902333,1.014497719524009,1.023549569879676,1.048657104249759,1.056021528623576,7.415517001267097
0.5300000000000001,1.012402710186586,1.014497692850841,1.023549566725321,1.048657118523815,1.056021482289391,7.415516105879182
0.54,1.012402694470839,1.014497666177675,1.023549563570966,1.048657132797874,1.056021435955211,7.415515210491302
0.55,1.012402678755092,1.01449763950451,1.023549560416611,1.048657147071935,1.056021389621034,7.415514315103453
0.5600000000000001,1.012402663039345,1.014497612831347,1.023549557262255,1.048657161346,1.056021343286861,7.415513419715637
0.5700000000000001,1.012402647323598,1.014497586158185,1.0235495541079,1.048657175620068,1.056021296952692,7.415512524327855
0.5800000000000001,1.01240263160785,1.014497559485025,1.023549550953545,1.048657189894138,1.056021250618527,7.415511628940106
0.5900000000000001,1.012402615892103,1.014497532811866,1.02354954779919,1.048657204168211,1.056021204284366,7.41551073355239
0.6,1.012402600176356,1.014497506138708,1.023549544644835,1.048657218442288,1.056021157950208,7.415509838164708
0.6100000000000001,1.012402584460609,1.014497479465553,1.02354954149048,1.048657232716367,1.056021111616054,7.415508942777057
0.62,1.012402568744862,1.014497452792398,1.023549538336124,1.048657246990449,1.056021065281905,7.415508047389441
0.6300000000000001,1.012402553029115,1.014497426119245,1.023549535181769,1.048657261264534,1.056021018947759,7.415507152001859
0.64,1.012402537313368,1.014497399446093,1.023549532027414,1.048657275538622,1.056020972613617,7.415506256614308
0.65,1.012402521597621,1.014497372772943,1.023549528873059,1.048657289812713,1.056020926279479,7.415505361226792
0.66,1.012402506721371,1.014497370900719,1.023549533360778,1.04865726022672,1.056020931019641,7.415505921408122
0.67,1.012402492584329,1.014497390866679,1.023549544577633,1.048657192020273,1.056020980732686,7.41550776327229
0.68,1.012402478447288,1.014497410832687,1.023549555794487,1.048657123813825,1.056021030445791,7.415509605136155
0.6900000000000001,1.012402464310246,1.014497430798742,1.023549567011341,1.048657055607378,1.056021080158954,7.415511446999721
0.7,1.012402450173205,1.014497450764844,1.023549578228195,1.04865698740093,1.056021129872176,7.415513288862986
0.7100000000000001,1.012402436036164,1.014497470730994,1.023549589445049,1.048656919194483,1.056021179585457,7.415515130725949
