"time","bus_1041.U","bus_1042.U","bus_4012.U","bus_4032.U","bus_4062.U","line_4032_4044.P1Pu"
0,1.012402187423929,1.014498060562916,1.023550054655255,1.048655573678656,1.056022509159095,7.415563997254765
0,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
0.001,1.01240218742393,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
0.002,1.01240218742393,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096396
0.004,1.01240218742393,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
0.008,1.01240218742393,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096397
0.016,1.01240218742393,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096396
0.032,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
0.064,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678655,1.056022509159095,7.415564046096399
0.128,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
0.256,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096399
0.512,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
1,1.012402187423929,1.014498060562916,1.023550039403171,1.048655573678656,1.056022509159095,7.415564046096398
1,1.012402187423929,1.014498060562916,1.023550024151087,1.048655573678656,1.056022509159095,7.415564094938031
