time;svarc_SVarC_URegulatedPu;svarc_SVarC_BPu;svarc_SVarC_QInjPu;svarc_SVarC_modeHandling_mode;svarc_SVarC_modeHandling_URefPu;load_load_UPu_value;
0.000000;1.000000;0.101583;0.101876;3.000000;1.000000;1.000000;
10.000000;1.000000;0.101586;0.101871;3.000000;1.000000;1.000000;
10.000000;1.013806;1.067800;1.130626;3.000000;1.044444;1.013806;
20.000000;1.013806;1.067800;1.130626;3.000000;1.044444;1.013806;
20.000000;1.013333;1.035638;1.094533;3.000000;1.013333;1.013333;
30.000000;1.013333;1.035610;1.094533;3.000000;1.013333;1.013333;
