time;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_injectorCurrentSource_currentSourceIEC63406_PInjPu;Converter_Converter_injectorCurrentSource_currentSourceIEC63406_QInjPu;
0.000000;-0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.030003;0.150000;
0.000002;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000005;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000010;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000019;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000038;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000077;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000154;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000307;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.000615;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.001230;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.001845;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.003075;0.000000;1.000001;1.000000;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004214;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004219;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004225;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004236;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004258;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004301;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004388;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004563;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004737;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.004912;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.005086;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.005261;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.005435;0.000000;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.005610;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.005784;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.006133;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030003;0.150000;
0.006482;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.006832;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.007181;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.007530;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.007879;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.008228;0.000001;1.000001;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.008926;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009146;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009160;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009173;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009199;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009252;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009358;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009570;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.009993;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010000;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010014;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010028;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010056;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010112;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010223;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010447;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.010893;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.011786;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.012679;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.014465;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.016072;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.017679;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.019286;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.020893;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.022501;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.024108;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.025715;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.027322;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.028929;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.029546;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.029609;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.029673;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.029799;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.030053;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.030560;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.031575;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.033604;0.000001;1.000002;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.035633;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.037662;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.039691;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.041720;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.043749;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.045778;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.047808;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.051866;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
0.055924;0.000001;1.000003;1.000001;0.000000;1.000000;1.000000;1.030002;0.150000;
