time;WT4A_WT_controlMeasurements_PGenNomPu;WT4A_WT_controlMeasurements_QGenNomPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_gridProtection_fOCB;
0.001512;1.000162;-0.210037;1.000164;0.976168;0.217767;-0.930283;-0.422696;-1.000000;
0.002024;1.000160;-0.210040;1.000163;0.976168;0.217767;-0.930281;-0.422697;-1.000000;
0.003048;1.000155;-0.210045;1.000162;0.976167;0.217765;-0.930277;-0.422701;-1.000000;
0.005096;1.000143;-0.210058;1.000158;0.976164;0.217763;-0.930266;-0.422711;-1.000000;
0.009192;1.000114;-0.210083;1.000152;0.976159;0.217756;-0.930241;-0.422727;-1.000000;
0.017384;1.000074;-0.210104;1.000148;0.976157;0.217746;-0.930204;-0.422732;-1.000000;
0.025576;1.000048;-0.210109;1.000148;0.976159;0.217740;-0.930181;-0.422724;-1.000000;
0.041960;1.000023;-0.210106;1.000150;0.976162;0.217733;-0.930158;-0.422709;-1.000000;
0.074728;1.000007;-0.210103;1.000152;0.976165;0.217729;-0.930143;-0.422697;-1.000000;
0.140264;1.000002;-0.210098;1.000154;0.976168;0.217728;-0.930138;-0.422689;-1.000000;
0.205800;1.000001;-0.210093;1.000156;0.976169;0.217727;-0.930137;-0.422681;-1.000000;
0.336872;1.000001;-0.210081;1.000160;0.976173;0.217727;-0.930137;-0.422667;-1.000000;
0.599016;1.000000;-0.210060;1.000166;0.976180;0.217726;-0.930136;-0.422642;-1.000000;
1.123304;1.000000;-0.210033;1.000174;0.976189;0.217725;-0.930135;-0.422610;-1.000000;
2.000000;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000000;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000001;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000002;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000004;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000008;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000016;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000032;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000064;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000128;1.000000;-0.210015;1.000180;0.976195;0.217725;-0.930134;-0.422588;-1.000000;
2.000256;1.000000;-0.210015;1.000180;0.976195;0.217724;-0.930134;-0.422588;-1.000000;
2.000512;0.999999;-0.210016;1.000180;0.976195;0.217724;-0.930133;-0.422588;-1.000000;
2.001024;0.999990;-0.210018;1.000180;0.976195;0.217722;-0.930125;-0.422586;-1.000000;
2.001536;0.999967;-0.210023;1.000180;0.976196;0.217716;-0.930105;-0.422581;-1.000000;
2.002560;0.999859;-0.210047;1.000178;0.976201;0.217689;-0.930007;-0.422556;-1.000000;
2.003584;0.999645;-0.210094;1.000176;0.976211;0.217635;-0.929812;-0.422505;-1.000000;
2.004608;0.999300;-0.210166;1.000174;0.976228;0.217549;-0.929499;-0.422419;-1.000000;
2.005632;0.998803;-0.210264;1.000172;0.976254;0.217424;-0.929049;-0.422290;-1.000000;
2.006656;0.998143;-0.210389;1.000172;0.976291;0.217258;-0.928449;-0.422110;-1.000000;
2.007680;0.997308;-0.210538;1.000174;0.976340;0.217047;-0.927691;-0.421872;-1.000000;
2.008704;0.996295;-0.210708;1.000180;0.976403;0.216791;-0.926771;-0.421572;-1.000000;
2.009728;0.995102;-0.210896;1.000191;0.976481;0.216490;-0.925686;-0.421204;-1.000000;
2.010752;0.993730;-0.211097;1.000209;0.976575;0.216143;-0.924439;-0.420764;-1.000000;
2.011776;0.992183;-0.211307;1.000233;0.976687;0.215750;-0.923033;-0.420249;-1.000000;
2.012800;0.990466;-0.211521;1.000265;0.976816;0.215315;-0.921471;-0.419657;-1.000000;
2.013824;0.988585;-0.211737;1.000306;0.976964;0.214837;-0.919759;-0.418987;-1.000000;
2.015872;0.984372;-0.212154;1.000418;0.977313;0.213764;-0.915923;-0.417415;-1.000000;
2.017715;0.980098;-0.212504;1.000552;0.977688;0.212674;-0.912029;-0.415745;-1.000000;
2.019558;0.975416;-0.212820;1.000718;0.978117;0.211478;-0.907761;-0.413847;-1.000000;
2.021401;0.970374;-0.213097;1.000914;0.978596;0.210188;-0.903161;-0.411743;-1.000000;
2.023244;0.965015;-0.213334;1.001138;0.979119;0.208815;-0.898272;-0.409456;-1.000000;
2.025088;0.959384;-0.213533;1.001385;0.979678;0.207371;-0.893131;-0.407014;-1.000000;
2.026931;0.953519;-0.213700;1.001652;0.980268;0.205866;-0.887776;-0.404443;-1.000000;
2.028774;0.947459;-0.213841;1.001934;0.980882;0.204310;-0.882240;-0.401772;-1.000000;
2.030617;0.941236;-0.213962;1.002227;0.981513;0.202712;-0.876554;-0.399027;-1.000000;
2.032460;0.934883;-0.214070;1.002528;0.982155;0.201081;-0.870747;-0.396231;-1.000000;
2.034304;0.928426;-0.214170;1.002832;0.982803;0.199422;-0.864845;-0.393405;-1.000000;
2.037990;0.915333;-0.214367;1.003438;0.984098;0.196060;-0.852873;-0.387748;-1.000000;
2.041308;0.903423;-0.214550;1.003975;0.985249;0.193003;-0.841981;-0.382700;-1.000000;
2.044626;0.891502;-0.214743;1.004496;0.986374;0.189944;-0.831075;-0.377749;-1.000000;
2.047943;0.879655;-0.214947;1.004997;0.987464;0.186906;-0.820235;-0.372929;-1.000000;
2.051261;0.867951;-0.215155;1.005477;0.988516;0.183906;-0.809522;-0.368260;-1.000000;
2.054579;0.856441;-0.215363;1.005937;0.989527;0.180956;-0.798985;-0.363753;-1.000000;
2.057897;0.845164;-0.215565;1.006376;0.990498;0.178067;-0.788659;-0.359414;-1.000000;
2.061214;0.834150;-0.215757;1.006796;0.991427;0.175245;-0.778570;-0.355243;-1.000000;
2.064532;0.823415;-0.215937;1.007197;0.992316;0.172496;-0.768735;-0.351240;-1.000000;
2.067850;0.812972;-0.216106;1.007579;0.993164;0.169822;-0.759164;-0.347404;-1.000000;
2.071168;0.802827;-0.216264;1.007943;0.993974;0.167225;-0.749864;-0.343731;-1.000000;
2.074485;0.792981;-0.216411;1.008290;0.994747;0.164705;-0.740837;-0.340218;-1.000000;
2.081121;0.774174;-0.216681;1.008932;0.996182;0.159892;-0.723588;-0.333651;-1.000000;
2.087756;0.756522;-0.216923;1.009512;0.997483;0.155377;-0.707391;-0.327660;-1.000000;
2.094392;0.739979;-0.217139;1.010034;0.998661;0.151147;-0.692207;-0.322196;-1.000000;
2.101027;0.724491;-0.217333;1.010505;0.999728;0.147188;-0.677986;-0.317211;-1.000000;
2.107663;0.710000;-0.217505;1.010931;1.000696;0.143485;-0.664676;-0.312658;-1.000000;
2.114298;0.696445;-0.217657;1.011316;1.001576;0.140022;-0.652221;-0.308496;-1.000000;
2.127570;0.671839;-0.217911;1.011984;1.003108;0.133737;-0.629603;-0.301177;-1.000000;
2.139513;0.652343;-0.218089;1.012485;1.004265;0.128760;-0.611674;-0.295588;-1.000000;
2.142499;0.647847;-0.218126;1.012598;1.004524;0.127612;-0.607539;-0.294324;-1.000000;
2.148471;0.639243;-0.218195;1.012809;1.005014;0.125416;-0.599623;-0.291933;-1.000000;
2.154443;0.631142;-0.218255;1.013004;1.005467;0.123349;-0.592169;-0.289715;-1.000000;
2.155190;0.630165;-0.218262;1.013028;1.005521;0.123100;-0.591269;-0.289450;-1.000000;
2.156683;0.628232;-0.218276;1.013074;1.005627;0.122607;-0.589490;-0.288926;-1.000000;
2.159669;0.624451;-0.218302;1.013163;1.005834;0.121642;-0.586011;-0.287906;-1.000000;
2.161162;0.622603;-0.218315;1.013206;1.005934;0.121171;-0.584310;-0.287410;-1.000000;
2.164148;0.618988;-0.218338;1.013290;1.006129;0.120248;-0.580983;-0.286445;-1.000000;
2.165641;0.617222;-0.218350;1.013331;1.006224;0.119798;-0.579356;-0.285975;-1.000000;
2.168627;0.613766;-0.218371;1.013410;1.006409;0.118916;-0.576175;-0.285060;-1.000000;
2.170120;0.612077;-0.218381;1.013448;1.006498;0.118485;-0.574620;-0.284615;-1.000000;
2.173106;0.608774;-0.218400;1.013523;1.006672;0.117642;-0.571579;-0.283748;-1.000000;
2.174599;0.607159;-0.218408;1.013560;1.006757;0.117231;-0.570092;-0.283326;-1.000000;
2.177585;0.604001;-0.218425;1.013630;1.006922;0.116425;-0.567184;-0.282504;-1.000000;
2.179078;0.602457;-0.218433;1.013665;1.007002;0.116031;-0.565763;-0.282104;-1.000000;
2.182064;0.599438;-0.218447;1.013732;1.007158;0.115261;-0.562982;-0.281324;-1.000000;
2.183557;0.597962;-0.218454;1.013764;1.007234;0.114885;-0.561623;-0.280944;-1.000000;
2.184303;0.597232;-0.218457;1.013780;1.007271;0.114698;-0.560951;-0.280756;-1.000000;
2.185796;0.595789;-0.218464;1.013812;1.007345;0.114330;-0.559622;-0.280386;-1.000000;
2.188782;0.592967;-0.218475;1.013874;1.007488;0.113611;-0.557023;-0.279665;-1.000000;
2.190275;0.591587;-0.218481;1.013904;1.007558;0.113259;-0.555752;-0.279313;-1.000000;
2.191022;0.590905;-0.218483;1.013919;1.007593;0.113085;-0.555124;-0.279140;-1.000000;
2.192515;0.589557;-0.218488;1.013948;1.007661;0.112741;-0.553882;-0.278797;-1.000000;
2.195501;0.586918;-0.218497;1.014005;1.007793;0.112068;-0.551451;-0.278130;-1.000000;
2.196994;0.585629;-0.218501;1.014033;1.007857;0.111739;-0.550263;-0.277804;-1.000000;
2.197740;0.584991;-0.218503;1.014046;1.007889;0.111576;-0.549676;-0.277644;-1.000000;
2.199233;0.583730;-0.218507;1.014073;1.007952;0.111255;-0.548514;-0.277327;-1.000000;
2.202219;0.581264;-0.218514;1.014126;1.008074;0.110626;-0.546242;-0.276708;-1.000000;
2.203712;0.580058;-0.218517;1.014152;1.008134;0.110318;-0.545132;-0.276406;-1.000000;
2.204459;0.579462;-0.218518;1.014164;1.008163;0.110166;-0.544582;-0.276257;-1.000000;
2.205952;0.578283;-0.218520;1.014190;1.008221;0.109866;-0.543496;-0.275963;-1.000000;
2.208938;0.575978;-0.218525;1.014238;1.008334;0.109278;-0.541372;-0.275390;-1.000000;
2.210431;0.574851;-0.218527;1.014262;1.008389;0.108990;-0.540333;-0.275110;-1.000000;
2.211177;0.574294;-0.218528;1.014274;1.008416;0.108848;-0.539820;-0.274972;-1.000000;
2.211550;0.574017;-0.218528;1.014280;1.008430;0.108778;-0.539565;-0.274903;-1.000000;
2.212297;0.573466;-0.218529;1.014291;1.008457;0.108637;-0.539057;-0.274767;-1.000000;
2.213790;0.572376;-0.218530;1.014314;1.008510;0.108359;-0.538053;-0.274497;-1.000000;
2.214536;0.571837;-0.218531;1.014326;1.008536;0.108222;-0.537557;-0.274364;-1.000000;
2.216029;0.570772;-0.218532;1.014348;1.008588;0.107950;-0.536575;-0.274101;-1.000000;
2.216776;0.570245;-0.218532;1.014359;1.008613;0.107816;-0.536089;-0.273971;-1.000000;
2.218269;0.569203;-0.218533;1.014381;1.008663;0.107550;-0.535129;-0.273715;-1.000000;
2.219015;0.568688;-0.218533;1.014392;1.008688;0.107419;-0.534654;-0.273588;-1.000000;
2.220508;0.567669;-0.218534;1.014413;1.008737;0.107159;-0.533716;-0.273338;-1.000000;
2.221255;0.567166;-0.218534;1.014424;1.008762;0.107031;-0.533251;-0.273214;-1.000000;
2.222748;0.566170;-0.218534;1.014444;1.008809;0.106777;-0.532333;-0.272970;-1.000000;
2.223494;0.565677;-0.218534;1.014455;1.008833;0.106651;-0.531879;-0.272849;-1.000000;
2.224987;0.564703;-0.218534;1.014475;1.008880;0.106403;-0.530982;-0.272611;-1.000000;
2.225734;0.564222;-0.218534;1.014485;1.008903;0.106280;-0.530538;-0.272493;-1.000000;
2.227227;0.563269;-0.218533;1.014505;1.008948;0.106037;-0.529660;-0.272260;-1.000000;
2.227973;0.562799;-0.218533;1.014515;1.008971;0.105917;-0.529226;-0.272145;-1.000000;
2.229466;0.561867;-0.218532;1.014534;1.009015;0.105679;-0.528368;-0.271918;-1.000000;
2.230213;0.561407;-0.218532;1.014544;1.009037;0.105562;-0.527943;-0.271806;-1.000000;
2.231706;0.560496;-0.218531;1.014563;1.009080;0.105330;-0.527104;-0.271584;-1.000000;
2.232452;0.560046;-0.218530;1.014572;1.009102;0.105215;-0.526689;-0.271475;-1.000000;
2.233945;0.559156;-0.218529;1.014591;1.009144;0.104988;-0.525868;-0.271258;-1.000000;
2.234692;0.558716;-0.218528;1.014600;1.009165;0.104876;-0.525463;-0.271151;-1.000000;
2.235065;0.558497;-0.218528;1.014604;1.009175;0.104820;-0.525261;-0.271098;-1.000000;
2.235811;0.558062;-0.218527;1.014614;1.009196;0.104709;-0.524860;-0.270992;-1.000000;
2.236185;0.557845;-0.218526;1.014618;1.009206;0.104654;-0.524660;-0.270940;-1.000000;
2.236931;0.557415;-0.218526;1.014627;1.009227;0.104544;-0.524263;-0.270835;-1.000000;
2.238424;0.556563;-0.218524;1.014645;1.009267;0.104327;-0.523479;-0.270629;-1.000000;
2.239171;0.556143;-0.218523;1.014653;1.009287;0.104220;-0.523091;-0.270527;-1.000000;
2.240664;0.555310;-0.218521;1.014671;1.009326;0.104007;-0.522323;-0.270325;-1.000000;
2.241410;0.554899;-0.218520;1.014679;1.009346;0.103902;-0.521944;-0.270226;-1.000000;
2.241783;0.554694;-0.218519;1.014684;1.009355;0.103850;-0.521755;-0.270176;-1.000000;
2.242530;0.554287;-0.218518;1.014692;1.009374;0.103746;-0.521380;-0.270078;-1.000000;
2.242903;0.554085;-0.218517;1.014696;1.009384;0.103695;-0.521193;-0.270029;-1.000000;
2.243650;0.553682;-0.218516;1.014705;1.009403;0.103592;-0.520822;-0.269931;-1.000000;
2.245143;0.552887;-0.218514;1.014721;1.009440;0.103389;-0.520089;-0.269739;-1.000000;
2.245889;0.552493;-0.218512;1.014729;1.009459;0.103289;-0.519726;-0.269644;-1.000000;
2.247382;0.551715;-0.218510;1.014746;1.009495;0.103090;-0.519008;-0.269456;-1.000000;
2.248129;0.551330;-0.218508;1.014754;1.009514;0.102992;-0.518654;-0.269363;-1.000000;
2.248502;0.551139;-0.218508;1.014758;1.009523;0.102943;-0.518477;-0.269317;-1.000000;
2.249248;0.550758;-0.218506;1.014766;1.009540;0.102846;-0.518126;-0.269225;-1.000000;
2.249622;0.550569;-0.218505;1.014770;1.009549;0.102798;-0.517952;-0.269179;-1.000000;
2.250368;0.550193;-0.218504;1.014777;1.009567;0.102702;-0.517605;-0.269089;-1.000000;
2.251861;0.549449;-0.218501;1.014793;1.009602;0.102512;-0.516919;-0.268909;-1.000000;
2.252608;0.549081;-0.218499;1.014801;1.009619;0.102419;-0.516580;-0.268821;-1.000000;
2.254101;0.548354;-0.218496;1.014816;1.009653;0.102233;-0.515909;-0.268645;-1.000000;
2.254847;0.547994;-0.218494;1.014823;1.009670;0.102141;-0.515577;-0.268559;-1.000000;
2.255220;0.547815;-0.218493;1.014827;1.009678;0.102096;-0.515412;-0.268515;-1.000000;
2.255967;0.547459;-0.218491;1.014835;1.009695;0.102005;-0.515084;-0.268430;-1.000000;
2.256340;0.547282;-0.218490;1.014838;1.009703;0.101960;-0.514921;-0.268387;-1.000000;
2.257087;0.546931;-0.218488;1.014846;1.009720;0.101870;-0.514597;-0.268303;-1.000000;
2.258580;0.546235;-0.218485;1.014860;1.009752;0.101693;-0.513955;-0.268135;-1.000000;
2.259326;0.545891;-0.218483;1.014868;1.009769;0.101605;-0.513638;-0.268052;-1.000000;
2.260819;0.545211;-0.218479;1.014882;1.009800;0.101431;-0.513011;-0.267889;-1.000000;
2.261566;0.544875;-0.218477;1.014889;1.009816;0.101346;-0.512701;-0.267808;-1.000000;
2.261939;0.544707;-0.218476;1.014892;1.009824;0.101303;-0.512547;-0.267768;-1.000000;
2.262685;0.544375;-0.218473;1.014899;1.009839;0.101218;-0.512240;-0.267688;-1.000000;
2.263059;0.544210;-0.218472;1.014903;1.009847;0.101176;-0.512087;-0.267648;-1.000000;
2.263805;0.543881;-0.218470;1.014910;1.009863;0.101092;-0.511784;-0.267569;-1.000000;
2.265298;0.543230;-0.218466;1.014924;1.009893;0.100926;-0.511184;-0.267412;-1.000000;
2.266045;0.542909;-0.218464;1.014930;1.009908;0.100844;-0.510888;-0.267335;-1.000000;
2.267538;0.542273;-0.218459;1.014944;1.009938;0.100682;-0.510301;-0.267182;-1.000000;
2.268284;0.541958;-0.218457;1.014951;1.009952;0.100602;-0.510011;-0.267106;-1.000000;
2.268657;0.541802;-0.218456;1.014954;1.009960;0.100562;-0.509867;-0.267069;-1.000000;
2.269404;0.541491;-0.218453;1.014960;1.009974;0.100483;-0.509580;-0.266994;-1.000000;
2.270897;0.540876;-0.218448;1.014974;1.010003;0.100326;-0.509013;-0.266846;-1.000000;
2.271643;0.540572;-0.218446;1.014980;1.010017;0.100248;-0.508733;-0.266773;-1.000000;
2.273136;0.539971;-0.218441;1.014993;1.010045;0.100095;-0.508178;-0.266629;-1.000000;
2.273883;0.539674;-0.218438;1.014999;1.010059;0.100019;-0.507904;-0.266557;-1.000000;
2.274256;0.539526;-0.218437;1.015002;1.010066;0.099981;-0.507767;-0.266521;-1.000000;
2.275002;0.539232;-0.218435;1.015009;1.010080;0.099906;-0.507496;-0.266451;-1.000000;
2.276495;0.538651;-0.218429;1.015021;1.010107;0.099758;-0.506960;-0.266311;-1.000000;
2.277242;0.538363;-0.218427;1.015027;1.010120;0.099685;-0.506695;-0.266242;-1.000000;
2.278735;0.537795;-0.218421;1.015040;1.010147;0.099539;-0.506170;-0.266105;-1.000000;
2.279481;0.537513;-0.218418;1.015046;1.010160;0.099468;-0.505911;-0.266037;-1.000000;
2.279855;0.537374;-0.218417;1.015049;1.010167;0.099432;-0.505782;-0.266004;-1.000000;
2.280601;0.537096;-0.218414;1.015055;1.010180;0.099361;-0.505526;-0.265937;-1.000000;
2.282094;0.536546;-0.218409;1.015067;1.010206;0.099221;-0.505019;-0.265804;-1.000000;
2.282841;0.536274;-0.218406;1.015072;1.010218;0.099152;-0.504768;-0.265739;-1.000000;
2.284334;0.535737;-0.218400;1.015084;1.010243;0.099014;-0.504272;-0.265609;-1.000000;
2.285080;0.535471;-0.218397;1.015090;1.010256;0.098947;-0.504027;-0.265545;-1.000000;
2.285453;0.535339;-0.218395;1.015093;1.010262;0.098913;-0.503905;-0.265513;-1.000000;
2.286200;0.535076;-0.218393;1.015098;1.010274;0.098846;-0.503663;-0.265450;-1.000000;
2.287693;0.534556;-0.218386;1.015110;1.010299;0.098713;-0.503183;-0.265325;-1.000000;
2.288439;0.534299;-0.218383;1.015115;1.010311;0.098648;-0.502946;-0.265263;-1.000000;
2.289932;0.533791;-0.218377;1.015127;1.010335;0.098518;-0.502477;-0.265140;-1.000000;
2.290679;0.533540;-0.218374;1.015132;1.010347;0.098454;-0.502245;-0.265079;-1.000000;
2.291052;0.533415;-0.218373;1.015135;1.010352;0.098422;-0.502130;-0.265049;-1.000000;
2.291799;0.533167;-0.218369;1.015140;1.010364;0.098359;-0.501901;-0.264989;-1.000000;
2.293292;0.532675;-0.218363;1.015151;1.010387;0.098233;-0.501447;-0.264870;-1.000000;
2.294038;0.532432;-0.218360;1.015157;1.010399;0.098171;-0.501223;-0.264812;-1.000000;
2.294411;0.532311;-0.218358;1.015159;1.010404;0.098140;-0.501112;-0.264782;-1.000000;
2.295158;0.532071;-0.218355;1.015165;1.010416;0.098079;-0.500890;-0.264724;-1.000000;
2.296651;0.531596;-0.218348;1.015175;1.010438;0.097958;-0.500452;-0.264609;-1.000000;
2.297397;0.531361;-0.218345;1.015181;1.010449;0.097898;-0.500235;-0.264552;-1.000000;
2.297771;0.531244;-0.218343;1.015183;1.010455;0.097868;-0.500127;-0.264524;-1.000000;
2.298517;0.531012;-0.218340;1.015188;1.010466;0.097809;-0.499913;-0.264468;-1.000000;
2.300010;0.530553;-0.218333;1.015199;1.010487;0.097691;-0.499489;-0.264356;-1.000000;
2.300757;0.530325;-0.218330;1.015204;1.010498;0.097633;-0.499279;-0.264301;-1.000000;
2.301130;0.530212;-0.218328;1.015206;1.010504;0.097604;-0.499175;-0.264274;-1.000000;
2.301876;0.529988;-0.218324;1.015212;1.010514;0.097547;-0.498968;-0.264219;-1.000000;
2.303369;0.529544;-0.218317;1.015222;1.010535;0.097434;-0.498558;-0.264111;-1.000000;
2.304116;0.529324;-0.218314;1.015227;1.010546;0.097378;-0.498355;-0.264058;-1.000000;
2.304489;0.529215;-0.218312;1.015229;1.010551;0.097350;-0.498254;-0.264031;-1.000000;
2.305236;0.528998;-0.218308;1.015234;1.010561;0.097294;-0.498054;-0.263978;-1.000000;
2.306729;0.528568;-0.218301;1.015244;1.010582;0.097185;-0.497657;-0.263874;-1.000000;
2.307475;0.528356;-0.218298;1.015249;1.010592;0.097130;-0.497461;-0.263822;-1.000000;
2.307848;0.528250;-0.218296;1.015251;1.010597;0.097103;-0.497364;-0.263796;-1.000000;
2.308595;0.528040;-0.218292;1.015256;1.010607;0.097050;-0.497170;-0.263745;-1.000000;
2.310088;0.527625;-0.218285;1.015266;1.010627;0.096944;-0.496787;-0.263644;-1.000000;
2.310834;0.527419;-0.218281;1.015270;1.010636;0.096891;-0.496597;-0.263593;-1.000000;
2.311208;0.527317;-0.218279;1.015273;1.010641;0.096865;-0.496503;-0.263568;-1.000000;
2.311954;0.527114;-0.218275;1.015277;1.010651;0.096813;-0.496316;-0.263519;-1.000000;
2.313447;0.526712;-0.218268;1.015287;1.010670;0.096711;-0.495945;-0.263420;-1.000000;
2.314194;0.526514;-0.218264;1.015292;1.010680;0.096660;-0.495762;-0.263372;-1.000000;
2.314567;0.526415;-0.218262;1.015294;1.010685;0.096635;-0.495671;-0.263348;-1.000000;
2.315313;0.526219;-0.218258;1.015298;1.010694;0.096585;-0.495489;-0.263299;-1.000000;
2.316806;0.525830;-0.218251;1.015308;1.010713;0.096486;-0.495131;-0.263204;-1.000000;
2.317553;0.525638;-0.218247;1.015312;1.010722;0.096437;-0.494954;-0.263157;-1.000000;
2.317926;0.525543;-0.218245;1.015314;1.010727;0.096412;-0.494866;-0.263133;-1.000000;
2.318672;0.525353;-0.218241;1.015319;1.010736;0.096364;-0.494690;-0.263087;-1.000000;
2.320165;0.524978;-0.218233;1.015328;1.010754;0.096268;-0.494344;-0.262994;-1.000000;
2.320912;0.524792;-0.218229;1.015332;1.010763;0.096220;-0.494172;-0.262948;-1.000000;
2.321285;0.524700;-0.218227;1.015335;1.010767;0.096197;-0.494087;-0.262926;-1.000000;
2.322032;0.524516;-0.218223;1.015339;1.010776;0.096150;-0.493918;-0.262880;-1.000000;
2.323525;0.524153;-0.218215;1.015348;1.010794;0.096057;-0.493582;-0.262791;-1.000000;
2.324271;0.523973;-0.218211;1.015352;1.010802;0.096011;-0.493417;-0.262746;-1.000000;
2.324644;0.523884;-0.218209;1.015354;1.010807;0.095988;-0.493334;-0.262724;-1.000000;
2.325391;0.523707;-0.218205;1.015359;1.010815;0.095943;-0.493170;-0.262680;-1.000000;
2.326884;0.523356;-0.218197;1.015367;1.010833;0.095853;-0.492846;-0.262593;-1.000000;
2.327630;0.523182;-0.218193;1.015371;1.010841;0.095809;-0.492686;-0.262550;-1.000000;
2.328004;0.523096;-0.218190;1.015373;1.010845;0.095787;-0.492606;-0.262529;-1.000000;
2.328750;0.522924;-0.218186;1.015378;1.010854;0.095743;-0.492448;-0.262486;-1.000000;
2.330243;0.522585;-0.218178;1.015386;1.010870;0.095656;-0.492135;-0.262401;-1.000000;
2.330990;0.522417;-0.218174;1.015390;1.010879;0.095614;-0.491980;-0.262360;-1.000000;
2.331363;0.522333;-0.218172;1.015392;1.010883;0.095592;-0.491903;-0.262339;-1.000000;
2.332109;0.522167;-0.218167;1.015396;1.010891;0.095550;-0.491749;-0.262297;-1.000000;
2.333602;0.521839;-0.218159;1.015405;1.010907;0.095466;-0.491446;-0.262215;-1.000000;
2.334349;0.521677;-0.218155;1.015409;1.010915;0.095424;-0.491296;-0.262175;-1.000000;
2.334722;0.521596;-0.218153;1.015411;1.010919;0.095404;-0.491222;-0.262155;-1.000000;
2.335469;0.521436;-0.218148;1.015415;1.010927;0.095363;-0.491074;-0.262114;-1.000000;
2.336962;0.521118;-0.218140;1.015423;1.010943;0.095282;-0.490781;-0.262035;-1.000000;
2.337708;0.520961;-0.218135;1.015427;1.010950;0.095242;-0.490636;-0.261995;-1.000000;
2.338081;0.520883;-0.218133;1.015429;1.010954;0.095222;-0.490564;-0.261976;-1.000000;
2.338828;0.520728;-0.218129;1.015433;1.010962;0.095182;-0.490420;-0.261937;-1.000000;
2.340321;0.520421;-0.218120;1.015441;1.010977;0.095103;-0.490137;-0.261859;-1.000000;
2.341067;0.520269;-0.218116;1.015445;1.010985;0.095065;-0.489997;-0.261821;-1.000000;
