time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;NETWORK_Load_P;NETWORK_Load_Q;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Load2_zP;NETWORK_Load2_zQ;NETWORK_line1_P1;NETWORK_line1_Q1;NETWORK_line1_P2;NETWORK_line1_Q2;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
1.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
2.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
3.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
4.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
5.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
6.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
7.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
8.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
9.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.525140;0.165445;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
10.000000;1.453958;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.210058;0.110296;1.000000;1.000000;-0.054457;-0.220812;0.064802;0.324259;1.453958;2.552494;
10.000000;1.421139;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205317;0.105373;1.000000;1.000000;-0.535442;0.097875;0.594698;0.494680;1.421139;50.113239;
11.000000;1.421069;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205358;0.105414;1.000249;1.000492;-0.535397;0.097871;0.594642;0.494586;1.421069;50.110906;
12.000000;1.421065;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205408;0.105465;1.000495;1.000978;-0.535357;0.097816;0.594592;0.494535;1.421065;50.105403;
13.000000;1.421062;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205457;0.105516;1.000738;1.001460;-0.535318;0.097761;0.594543;0.494484;1.421062;50.099961;
14.000000;1.421059;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205506;0.105565;1.000979;1.001937;-0.535280;0.097707;0.594494;0.494435;1.421059;50.094580;
15.000000;1.421056;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205555;0.105615;1.001217;1.002408;-0.535242;0.097654;0.594445;0.494386;1.421056;50.089259;
16.000000;1.421053;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205602;0.105663;1.001453;1.002875;-0.535204;0.097601;0.594398;0.494337;1.421053;50.083998;
17.000000;1.421050;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205650;0.105711;1.001686;1.003337;-0.535166;0.097549;0.594350;0.494289;1.421050;50.078796;
18.000000;1.421047;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205697;0.105759;1.001917;1.003794;-0.535129;0.097497;0.594303;0.494241;1.421047;50.073652;
19.000000;1.421044;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205743;0.105806;1.002145;1.004246;-0.535093;0.097446;0.594257;0.494194;1.421044;50.068565;
20.000000;1.421040;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205789;0.105853;1.002371;1.004694;-0.535057;0.097396;0.594211;0.494147;1.421040;50.063536;
21.000000;1.421037;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205835;0.105899;1.002594;1.005137;-0.535021;0.097346;0.594165;0.494101;1.421037;50.058562;
22.000000;1.421034;1.000000;0.600000;0.800000;1.000000;0.000000;0.000000;0.205879;0.105945;1.002815;1.005575;-0.534985;0.097297;0.594121;0.494055;1.421034;50.053645;
