Time;U_NGEN;EFD [pu]; TIME;TIME2;V/GEN     ;GEN     -EFD
0,100000;1,000000;1,000000;2,00E+01;1,00E-01;1,00E+00;1,00E+00
0,101150;1,000007;1,067903;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,101170;1,000007;1,068770;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,101180;1,000007;1,069637;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,101200;1,000008;1,070503;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,101210;1,000008;1,071369;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,101220;1,000008;1,072235;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,101240;1,000008;1,073101;2,00E+01;1,01E-01;1,00E+00;1,07E+00
0,105440;1,000089;1,309965;2,00E+01;1,05E-01;1,00E+00;1,31E+00
0,109630;1,000273;1,527350;2,00E+01;1,10E-01;1,00E+00;1,53E+00
0,113830;1,000560;1,726327;2,00E+01;1,14E-01;1,00E+00;1,73E+00
0,119290;1,001086;1,959754;2,00E+01;1,19E-01;1,00E+00;1,96E+00
0,124760;1,001778;2,165575;2,00E+01;1,25E-01;1,00E+00;2,17E+00
0,130230;1,002630;2,345630;2,00E+01;1,30E-01;1,00E+00;2,35E+00
0,136650;1,003822;2,526403;2,00E+01;1,37E-01;1,00E+00;2,53E+00
0,143070;1,005206;2,676552;2,00E+01;1,43E-01;1,01E+00;2,68E+00
0,149490;1,006764;2,798431;2,00E+01;1,49E-01;1,01E+00;2,80E+00
0,156780;1,008721;2,905427;2,01E+01;1,57E-01;1,01E+00;2,91E+00
0,164070;1,010849;2,981797;2,01E+01;1,64E-01;1,01E+00;2,98E+00
0,171360;1,013120;3,030396;2,01E+01;1,71E-01;1,01E+00;3,03E+00
0,178650;1,015503;3,053925;2,01E+01;1,79E-01;1,02E+00;3,05E+00
0,185940;1,017971;3,054957;2,01E+01;1,86E-01;1,02E+00;3,05E+00
0,193230;1,020495;3,035937;2,01E+01;1,93E-01;1,02E+00;3,04E+00
0,201670;1,023453;2,992016;2,01E+01;2,02E-01;1,02E+00;2,99E+00
0,210110;1,026416;2,927773;2,01E+01;2,10E-01;1,03E+00;2,93E+00
0,218550;1,029347;2,846439;2,01E+01;2,19E-01;1,03E+00;2,85E+00
0,226980;1,032218;2,751048;2,01E+01;2,27E-01;1,03E+00;2,75E+00
0,235420;1,035000;2,644433;2,01E+01;2,35E-01;1,03E+00;2,64E+00
0,243860;1,037670;2,529226;2,01E+01;2,44E-01;1,04E+00;2,53E+00
0,252300;1,040209;2,407852;2,02E+01;2,52E-01;1,04E+00;2,41E+00
0,260740;1,042599;2,282535;2,02E+01;2,61E-01;1,04E+00;2,28E+00
0,269180;1,044827;2,155288;2,02E+01;2,69E-01;1,04E+00;2,16E+00
0,278910;1,047184;2,008571;2,02E+01;2,79E-01;1,05E+00;2,01E+00
0,288640;1,049304;1,864117;2,02E+01;2,89E-01;1,05E+00;1,86E+00
0,298370;1,051183;1,724019;2,02E+01;2,98E-01;1,05E+00;1,72E+00
0,308100;1,052818;1,590038;2,02E+01;3,08E-01;1,05E+00;1,59E+00
0,317830;1,054215;1,463612;2,02E+01;3,18E-01;1,05E+00;1,46E+00
0,327560;1,055379;1,345875;2,02E+01;3,28E-01;1,06E+00;1,35E+00
0,339960;1,056543;1,209723;2,02E+01;3,40E-01;1,06E+00;1,21E+00
0,352370;1,057370;1,090179;2,03E+01;3,52E-01;1,06E+00;1,09E+00
0,364770;1,057892;0,987801;2,03E+01;3,65E-01;1,06E+00;9,88E-01
0,384120;1,058180;0,862122;2,03E+01;3,84E-01;1,06E+00;8,62E-01
0,403470;1,057938;0,776019;2,03E+01;4,03E-01;1,06E+00;7,76E-01
0,417910;1,057490;0,735489;2,03E+01;4,18E-01;1,06E+00;7,36E-01
0,432340;1,056876;0,712827;2,03E+01;4,32E-01;1,06E+00;7,13E-01
0,446780;1,056146;0,705695;2,03E+01;4,47E-01;1,06E+00;7,06E-01
0,461210;1,055346;0,711622;2,04E+01;4,61E-01;1,06E+00;7,12E-01
0,475640;1,054515;0,728122;2,04E+01;4,76E-01;1,05E+00;7,28E-01
0,490070;1,053686;0,752778;2,04E+01;4,90E-01;1,05E+00;7,53E-01
