Time;U_NGEN;E_FD;P_GEN;Q_GEN;w_GEN;VOTHSG;P_LOAD;Q_LOAD;POWERFACTORY
-0,200000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,199000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,198000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,197000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,196000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,195000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,194000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,193000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,192000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,191000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,190000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,189000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,188000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,187000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,186000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,185000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,184000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,183000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,182000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,181000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,180000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,179000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,178000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,177000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,176000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,175000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,174000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,173000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,172000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,171000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,170000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,169000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,168000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,167000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,166000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,165000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,164000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,163000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,162000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,161000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,160000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,159000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,158000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,157000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,156000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,155000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,154000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,153000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,152000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,151000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,150000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,149000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,148000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,147000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,146000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,145000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,144000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,143000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,142000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,141000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,140000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,139000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,138000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,137000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,136000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,135000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,134000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,133000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,132000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,131000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,130000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,129000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,128000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,127000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,126000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,125000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,124000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,123000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,122000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,121000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,120000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,119000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,118000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,117000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,116000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,115000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,114000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,113000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,112000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,111000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,110000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,109000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,108000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,107000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,106000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,105000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,104000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,103000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,102000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,101000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,100000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,099000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,098000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,097000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,096000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,095000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,094000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,093000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,092000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,091000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,090000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,089000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,088000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
