time;HVDCLCC_hvdc_PInj1Pu;HVDCLCC_hvdc_QInj1Pu;HVDCLCC_hvdc_PInj2Pu;HVDCLCC_hvdc_QInj2Pu;HVDCVSC_hvdc_PInj1Pu;HVDCVSC_hvdc_QInj1Pu;HVDCVSC_hvdc_PInj2Pu;HVDCVSC_hvdc_QInj2Pu;
0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200311;0.000000;0.000000;
10.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
20.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
30.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
40.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
50.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
60.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
70.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
80.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
90.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
100.000000;1.000000;0.000000;0.000000;0.000000;1.000000;-0.200310;0.000000;0.000000;
