time;SM_gen_omegaPu;SM_avr_UsRefPu;
0.000000;1.000000;1.127905;
1.000000;1.000000;1.127905;
2.000000;1.000000;1.127905;
3.000000;1.000000;1.127905;
4.000000;1.000000;1.127905;
5.000000;1.000000;1.127905;
6.000000;1.000000;1.127905;
7.000000;1.000000;1.127905;
8.000000;1.000000;1.127905;
9.000000;1.000000;1.127905;
10.000000;1.000000;1.127905;
11.000000;1.000000;1.127905;
12.000000;1.000000;1.127905;
13.000000;1.000000;1.127905;
14.000000;1.000000;1.127905;
15.000000;1.000000;1.127905;
16.000000;1.000000;1.127905;
17.000000;1.000000;1.127905;
18.000000;1.000000;1.127905;
19.000000;1.000000;1.127905;
20.000000;1.000000;1.127905;
21.000000;1.000000;1.127905;
22.000000;1.000000;1.127905;
23.000000;1.000000;1.127905;
24.000000;1.000000;1.127905;
25.000000;1.000000;1.127905;
26.000000;1.000000;1.127905;
27.000000;1.000000;1.127905;
28.000000;1.000000;1.127905;
29.000000;1.000000;1.127905;
30.000000;1.000000;1.127905;
