time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;Load_load_PPu;Load_load_QPu;Load_load_UPu;Load_load_terminal_V_re;Load_load_terminal_V_im;Load_load_terminal_i_re;Load_load_terminal_i_im;Load_load_SPu_re;Load_load_SPu_im;Load_load_zPMax;
0.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001585;1.001568;0.005904;0.005005;-0.002465;0.004998;0.002498;100.000000;
1.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001585;1.001567;0.005904;0.005005;-0.002465;0.004998;0.002498;100.000000;
2.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001585;1.001567;0.005904;0.005005;-0.002465;0.004998;0.002498;100.000000;
3.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001585;1.001567;0.005904;0.005005;-0.002465;0.004998;0.002498;100.000000;
4.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001584;1.001567;0.005904;0.005005;-0.002465;0.004998;0.002498;100.000000;
5.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001584;1.001567;0.005904;0.005005;-0.002465;0.004998;0.002498;100.000000;
6.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001584;1.001567;0.005903;0.005005;-0.002465;0.004998;0.002498;100.000000;
7.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001584;1.001567;0.005903;0.005005;-0.002465;0.004998;0.002498;100.000000;
8.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001584;1.001567;0.005903;0.005005;-0.002465;0.004998;0.002498;100.000000;
9.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;1.001584;1.001567;0.005903;0.005005;-0.002465;0.004998;0.002498;100.000000;
10.000000;1.001584;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;0.000000;1.001567;0.005903;0.005005;-0.002465;0.004998;0.002498;100.000000;
10.000000;1.007426;1.000000;0.003000;0.008000;1.000000;0.000005;0.000062;0.000000;1.007308;0.015402;0.000000;0.000000;0.000005;0.000062;100.000000;
11.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
12.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
13.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
14.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
15.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
16.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
17.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
18.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
19.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
20.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;0.000000;1.007309;0.015400;0.000000;0.000000;0.000000;0.000000;100.000000;
