time;infBus_infiniteBus_omegaPu;infBus_infiniteBus_UPu;Load_load_PPu;Load_load_QPu;Load_load_UPu;
0.000000;1.000000;1.000000;1.000000;0.999999;0.884660;
0.012000;1.000000;1.000000;1.000000;0.999999;0.884660;
0.024000;1.000000;1.000000;0.999999;0.999999;0.884660;
0.048000;1.000000;1.000000;0.999999;0.999999;0.884660;
0.096000;1.000000;1.000000;0.999999;0.999999;0.884660;
0.192000;1.000000;1.000000;0.999999;0.999999;0.884660;
0.384000;1.000000;1.000000;0.999999;0.999999;0.884660;
0.768000;1.000000;1.000000;0.999999;0.999999;0.884660;
1.536000;1.000000;1.000000;0.999999;0.999999;0.884660;
2.000000;1.000000;1.000000;0.999999;0.999999;0.884660;
2.000000;1.000000;0.800000;0.702012;0.642699;0.704757;
2.000001;1.000000;0.800000;0.702014;0.642701;0.704759;
2.000003;1.000000;0.800000;0.702016;0.642699;0.704759;
2.000006;1.000000;0.800000;0.702022;0.642695;0.704759;
2.000012;1.000000;0.800000;0.702033;0.642687;0.704760;
2.000025;1.000000;0.800000;0.702055;0.642671;0.704761;
2.000049;1.000000;0.800000;0.702098;0.642639;0.704763;
2.000099;1.000000;0.800000;0.702185;0.642576;0.704768;
2.000199;1.000000;0.800000;0.702355;0.642451;0.704776;
2.000399;1.000000;0.800000;0.702688;0.642208;0.704793;
2.000798;1.000000;0.800000;0.703318;0.641748;0.704826;
2.001197;1.000000;0.800000;0.703906;0.641318;0.704856;
2.001596;1.000000;0.800000;0.704453;0.640919;0.704884;
2.001995;1.000000;0.800000;0.704962;0.640546;0.704910;
2.002793;1.000000;0.800000;0.705877;0.639878;0.704957;
2.003591;1.000000;0.800000;0.706669;0.639299;0.704998;
2.004389;1.000000;0.800000;0.707356;0.638796;0.705033;
2.005187;1.000000;0.800000;0.707952;0.638361;0.705063;
2.005985;1.000000;0.800000;0.708468;0.637983;0.705090;
2.006783;1.000000;0.800000;0.708916;0.637655;0.705113;
2.008380;1.000000;0.800000;0.709642;0.637125;0.705150;
2.009976;1.000000;0.800000;0.710187;0.636726;0.705178;
2.011572;1.000000;0.800000;0.710596;0.636427;0.705198;
2.013168;1.000000;0.800000;0.710902;0.636203;0.705214;
2.014764;1.000000;0.800000;0.711133;0.636035;0.705226;
2.016361;1.000000;0.800000;0.711305;0.635908;0.705235;
2.017957;1.000000;0.800000;0.711435;0.635813;0.705241;
2.019553;1.000000;0.800000;0.711532;0.635742;0.705246;
2.022745;1.000000;0.800000;0.711658;0.635650;0.705253;
2.025619;1.000000;0.800000;0.711724;0.635602;0.705256;
2.028204;1.000000;0.800000;0.711762;0.635574;0.705258;
2.030790;1.000000;0.800000;0.711785;0.635557;0.705259;
2.033376;1.000000;0.800000;0.711799;0.635547;0.705260;
2.035962;1.000000;0.800000;0.711808;0.635541;0.705260;
