time;BESS_BESS_injector_PInjPu;BESS_BESS_injector_PInjPuSn;BESS_BESS_injector_QInjPu;BESS_BESS_injector_QInjPuSn;BESS_BESS_injector_terminal_V_re;BESS_BESS_injector_terminal_i_re;BESS_BESS_injector_terminal_V_im;BESS_BESS_injector_terminal_i_im;BESS_BESS_injector_UPu;BESS_BESS_pll_omegaPLLPu;BESS_BESS_reecD_idCmdPu;BESS_BESS_reecD_iqCmdPu;
0.000000;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999997;0.500000;0.000000;
0.000000;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999997;0.500000;0.000000;
0.000010;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999996;0.500000;0.000000;
0.000020;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999996;0.500000;0.000000;
0.000040;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999996;0.500000;0.000000;
0.000080;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999996;0.500000;0.000000;
0.000160;0.030000;0.500000;-0.000000;-0.000001;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999996;0.500000;0.000000;
0.000320;0.030000;0.500000;-0.000000;-0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999997;0.500000;0.000000;
0.000640;0.030000;0.500000;-0.000000;-0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999998;0.500000;0.000000;
0.001280;0.030000;0.500000;-0.000000;-0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;0.999999;0.500000;0.000000;
0.002560;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.005120;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;0.000000;1.000000;1.000000;0.500000;0.000000;
0.010240;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.020480;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.040960;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.081920;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.163840;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.327680;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
0.655360;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
1.000000;0.030000;0.500000;0.000000;0.000000;1.000000;-0.030000;0.000000;-0.000000;1.000000;1.000000;0.500000;0.000000;
1.000000;0.016500;0.275000;0.000000;0.000000;0.550000;-0.030000;0.000000;-0.000000;0.550000;1.000000;0.500000;0.000000;
