"time","wPP4BCurrentSource.wPPControl.measurements.PGenNomPu","wPP4BCurrentSource.wPPControl.measurements.QGenNomPu","wPP4BCurrentSource.wPPControl.measurements.UPu"
0,1.000164312504246,-0.2100347082819979,1.000164354347992
0.001,1.000163506653201,-0.2100348497420521,1.000164357481668
0.002,1.000161318431442,-0.2100351468209151,1.000164393050436
0.003,1.000158020838412,-0.2100354715139695,1.000164484887413
0.004,1.000153827718316,-0.2100357643300724,1.000164638984683
0.005,1.00014891312844,-0.2100359967891489,1.0001648540197
0.006,1.000143428405209,-0.2100361528252755,1.000165126138997
0.007,1.000137510549008,-0.2100362216042244,1.000165450700935
0.008,1.000131285576378,-0.2100361949355828,1.00016582288428
0.008999999999999999,1.000124869384449,-0.2100360664726388,1.000166237886437
0.01,1.00011836759416,-0.2100358315589913,1.000166690980303
0.011,1.00011187511771,-0.2100354872641333,1.000167177528485
0.01151023595915859,1.000108593472848,-0.2100352690064558,1.000167437204762
0.01151023595915859,1.000108593472848,-0.2100352690064558,1.000167437204762
0.012,1.000105475399386,-0.2100350324389789,1.00016769301039
0.01275511797965278,1.000100749147614,-0.2100346163320145,1.00016809863173
0.01275511797965278,1.000100749147614,-0.2100346163320145,1.00016809863173
0.013,1.000099240224443,-0.2100344681929383,1.00016823288506
0.014,1.000093220381312,-0.2100337992940406,1.000168792701696
0.015,1.000087447216538,-0.2100330343318464,1.000169367958061
0.016,1.000081935955375,-0.2100321835041782,1.000169954594358
0.017,1.000076693486186,-0.2100312578399103,1.000170548779791
0.018,1.000071720816078,-0.2100302684322605,1.000171147007345
0.019,1.000067015011686,-0.2100292259458003,1.00017174613359
0.02,1.000062570461134,-0.2100281404007362,1.000172343371961
0.021,1.000058379830574,-0.2100270209158955,1.000172936316741
0.022,1.000054434488225,-0.2100258758907503,1.000173522861685
0.023,1.000050724916367,-0.2100247129545186,1.000174101191757
0.024,1.000047240933841,-0.2100235390369597,1.000174669748116
0.025,1.000043972070962,-0.2100223603101035,1.000175227224316
0.026,1.000040907740604,-0.210021182260897,1.000175772533719
0.027,1.000038037308514,-0.2100200097763758,1.000176304778915
0.028,1.000035350248146,-0.2100188471639924,1.000176823236346
0.029,1.00003283611641,-0.2100176982321424,1.000177327332695
0.03,1.000030484947054,-0.2100165662214483,1.000177816643258
0.031,1.000028287027438,-0.2100154539493793,1.00017829086003
0.032,1.000026232056482,-0.2100143640277431,1.000178749773313
0.033,1.000024311790768,-0.2100132982811136,1.000179193297852
0.034,1.000022517637746,-0.2100122583754724,1.000179621418085
0.035,1.00002084195612,-0.2100112456004996,1.000180034179816
0.036,1.000019277143331,-0.2100102610544541,1.000180431686078
0.037,1.000017815838262,-0.210009305610024,1.000180814095903
0.038,1.000016450970246,-0.2100083799171625,1.000181181620575
0.039,1.000015176390911,-0.2100074843818935,1.000181534493293
0.04,1.000013986084092,-0.2100066192648369,1.000181872984722
0.041,1.000012874404287,-0.2100057846727301,1.00018219739169
0.042,1.000011835683542,-0.2100049805654801,1.000182508057976
0.043,1.000010865256298,-0.2100042067863692,1.000182805305018
0.044,1.000009958517963,-0.2100034630792679,1.000183089481592
0.045,1.000009111168225,-0.2100027490994006,1.000183360946239
0.046,1.000008319017569,-0.210002064402393,1.000183620081982
0.047,1.000007578356175,-0.2100014084954538,1.000183867258854
0.048,1.000006885792742,-0.2100007808437644,1.000184102841335
0.049,1.000006238098825,-0.2100001808589974,1.000184327201016
0.05,1.000005631061371,-0.2099996076162916,1.000184540871639
0.051,1.000005063055587,-0.2099990607151356,1.000184744072686
0.052,1.00000453149944,-0.2099985394608506,1.00018493717102
0.053,1.000004033839074,-0.2099980430889017,1.000185120553572
0.054,1.000003568254997,-0.2099975710354982,1.000185294501951
0.055,1.000003132310556,-0.2099971224774544,1.000185459414463
0.056,1.000002723959274,-0.2099966966294363,1.000185615654845
0.057,1.000002341994715,-0.209996293007471,1.000185763444062
0.058,1.000001984403454,-0.2099959107759151,1.000185903159553
0.059,1.000001649247102,-0.2099955490294938,1.000186035196019
0.06,1.000001335757029,-0.209995207378418,1.000186159719555
0.061,1.000001042382839,-0.2099948850479118,1.000186277061619
0.062,1.000000767345703,-0.2099945810521285,1.000186387632625
0.063,1.000000510152814,-0.2099942950817563,1.000186491557532
0.064,1.000000269568259,-0.2099940264065181,1.000186589135582
0.065,1.000000044185325,-0.2099937741177058,1.000186680731464
0.066,0.9999998334937736,-0.2099935378504888,1.000186766488409
0.067,0.9999996365803835,-0.2099933169760215,1.000186846655269
0.068,0.9999994523353667,-0.2099931106740134,1.000186921551893
0.06900000000000001,0.9999992797008971,-0.2099929180733765,1.000186991510883
0.07000000000000001,0.9999991179194802,-0.2099927385673147,1.000187056765136
0.07099999999999999,0.9999989673079159,-0.2099925724096229,1.000187117217247
0.07199999999999999,0.9999988261746444,-0.2099924180995908,1.000187173432571
0.073,0.9999986946763298,-0.2099922757762187,1.000187225358748
0.074,0.9999985731695931,-0.2099921457559047,1.000187272876585
0.075,0.9999984592421544,-0.2099920257822421,1.000187316828466
0.076,0.9999983534943713,-0.2099919164168054,1.000187357004741
0.077,0.9999982562367258,-0.2099918179500221,1.000187393296988
0.078,0.9999981651589422,-0.2099917280372271,1.000187426569061
0.079,0.9999980811394222,-0.2099916475699047,1.000187456492509
0.08,0.9999980043124637,-0.2099915766841848,1.000187483017168
0.081,0.9999979325335774,-0.2099915130260286,1.00018750700012
0.082,0.9999978668551626,-0.2099914577506756,1.000187528020755
0.083,0.999997807171775,-0.2099914107336999,1.000187546123913
