"time","infiniteBusWithVariations.QPu","infiniteBusWithVariations.PPu","infiniteBusWithVariations.UPu"
0,0,0.6,1
0.001,-1.507027939788656e-56,0.6,1
0.002,6.312046106547672e-37,0.6,1
0.003,1.468544753991262e-40,0.6,1
0.004,1.537147026998062e-35,0.6,1
0.005,-1.091182379994107e-37,0.6,1
0.006,-1.034599075500935e-40,0.6,1
0.007,1.146136600041679e-41,0.6,1
0.008,-7.790717459321962e-36,0.6,1
0.009,-1.233867648705803e-34,0.6,1
0.01,3.345972457040239e-34,0.6,1
0.011,-2.417287860378514e-18,0.6,1
0.012,-1.722188860114254e-17,0.6,1
0.013,-4.414784824228861e-17,0.6,1
0.014,-7.107380788343471e-17,0.6,1
0.015,-9.821588875820228e-17,0.6,1
0.016,-1.256823153271355e-16,0.5999999999999999,1
0.017,-1.531487418960687e-16,0.5999999999999999,1
0.018,-1.806151684650018e-16,0.5999999999999999,1
0.019,-2.08081595033935e-16,0.5999999999999999,1
0.02,-2.358767692607057e-16,0.5999999999999999,1
0.021,-2.674276541636906e-16,0.5999999999999999,1
0.022,-2.989785390666753e-16,0.5999999999999999,1
0.023,-3.305294239696602e-16,0.5999999999999999,1
0.024,-3.62080308872645e-16,0.5999999999999999,1
0.025,-3.936311937756299e-16,0.5999999999999999,1
0.026,-4.251820786786147e-16,0.5999999999999998,1
0.027,-4.567329635815996e-16,0.5999999999999998,1
0.028,-4.882838484845844e-16,0.5999999999999998,1
0.029,-5.198347333875692e-16,0.5999999999999998,1
0.03,-5.513856182905541e-16,0.5999999999999998,1
0.031,-5.727914390283611e-16,0.5999999999999998,1
0.032,-5.813743549445074e-16,0.5999999999999998,1
0.033,-5.899572708606537e-16,0.5999999999999998,1
0.034,-5.985401867768e-16,0.5999999999999998,1
0.035,-6.071231026929462e-16,0.5999999999999998,1
0.036,-6.157060186090925e-16,0.5999999999999998,1
0.037,-6.242889345252387e-16,0.5999999999999998,1
0.038,-6.32871850441385e-16,0.5999999999999998,1
0.039,-6.414547663575313e-16,0.5999999999999998,1
0.04,-6.500376822736775e-16,0.5999999999999998,1
0.041,-6.586205981898238e-16,0.5999999999999998,1
0.042,-6.672035141059701e-16,0.5999999999999998,1
0.043,-6.757864300221162e-16,0.5999999999999998,1
0.044,-6.843693459382625e-16,0.5999999999999998,1
0.045,-6.929522618544089e-16,0.5999999999999998,1
0.046,-7.015351777705551e-16,0.5999999999999998,1
0.047,-7.101180936867013e-16,0.5999999999999998,1
0.048,-7.187010096028477e-16,0.5999999999999998,1
0.049,-7.272839255189939e-16,0.5999999999999998,1
0.05,-7.358668414351402e-16,0.5999999999999998,1
0.051,-7.444497573512864e-16,0.5999999999999998,1
0.052,-7.521312430510416e-16,0.5999999999999998,1
0.053,-7.552223131402224e-16,0.5999999999999998,1
0.054,-7.583133832294033e-16,0.5999999999999998,1
0.055,-7.614044533185842e-16,0.5999999999999998,1
0.056,-7.64495523407765e-16,0.5999999999999998,1
0.057,-7.67586593496946e-16,0.5999999999999998,1
0.058,-7.706776635861269e-16,0.5999999999999998,1
0.059,-7.737687336753078e-16,0.5999999999999998,1
0.06,-7.768598037644887e-16,0.5999999999999998,1
0.061,-7.799508738536695e-16,0.5999999999999998,1
0.062,-7.830419439428503e-16,0.5999999999999998,1
0.063,-7.861330140320312e-16,0.5999999999999998,1
0.064,-7.892240841212121e-16,0.5999999999999998,1
0.065,-7.92315154210393e-16,0.5999999999999998,1
0.066,-7.954062242995739e-16,0.5999999999999998,1
0.067,-7.984972943887548e-16,0.5999999999999996,1
0.068,-8.015883644779357e-16,0.5999999999999996,1
0.069,-8.046794345671165e-16,0.5999999999999996,1
0.07,-8.077705046562975e-16,0.5999999999999996,1
0.071,-8.108615747454783e-16,0.5999999999999996,1
0.072,-8.139526448346593e-16,0.5999999999999996,1
0.073,-8.1704371492384e-16,0.5999999999999996,1
0.074,-8.20134785013021e-16,0.5999999999999996,1
0.075,-8.232258551022018e-16,0.5999999999999996,1
0.076,-8.263169251913827e-16,0.5999999999999996,1
0.077,-8.294079952805636e-16,0.5999999999999996,1
0.078,-8.324990653697444e-16,0.5999999999999996,1
0.079,-8.355901354589254e-16,0.5999999999999996,1
0.08,-8.386812055481062e-16,0.5999999999999996,1
0.081,-8.417722756372871e-16,0.5999999999999996,1
0.082,-8.44863345726468e-16,0.5999999999999996,1
0.083,-8.479544158156488e-16,0.5999999999999996,1
0.084,-8.510454859048298e-16,0.5999999999999996,1
0.085,-8.541365559940107e-16,0.5999999999999996,1
0.086,-8.572276260831916e-16,0.5999999999999996,1
0.087,-8.603186961723723e-16,0.5999999999999996,1
0.088,-8.634097662615533e-16,0.5999999999999996,1
0.089,-8.665008363507341e-16,0.5999999999999996,1
0.09,-8.695919064399151e-16,0.5999999999999996,1
0.091,-8.726829765290959e-16,0.5999999999999996,1
0.092,-8.757740466182767e-16,0.5999999999999996,1
0.093,-8.788651167074577e-16,0.5999999999999996,1
0.094,-8.819561867966385e-16,0.5999999999999996,1
0.095,-8.814936672278983e-16,0.5999999999999996,1
0.096,-8.787497055828997e-16,0.5999999999999996,1
0.097,-8.760057439379007e-16,0.5999999999999996,1
0.098,-8.73261782292902e-16,0.5999999999999996,1
0.099,-8.705178206479032e-16,0.5999999999999996,1
0.1,-8.677738590029045e-16,0.5999999999999996,1
0.101,-8.650298973579057e-16,0.5999999999999996,1
