"time","wPP4ACurrentSource.wPPControl.measurements.PGenNomPu","wPP4ACurrentSource.wPPControl.measurements.QGenNomPu","wPP4ACurrentSource.wPPControl.measurements.UPu"
0,1.000164312504243,-0.2100347082819966,1.000164354347989
0.001,1.000163507407481,-0.2100348495724704,1.000164357490291
0.002,1.000161328992306,-0.2100351443420436,1.000164393203669
0.003,1.000158074064367,-0.2100354590230527,1.000164485658958
0.004,1.000153986110222,-0.2100357277661621,1.000164641092018
0.005,1.000149263309895,-0.2100359175499661,1.000164858181983
0.006,1.000144068856701,-0.2100360110456804,1.000165132774984
0.007,1.000138537812227,-0.210035999530026,1.000165459686648
0.008,1.000132782157625,-0.2100358796140403,1.000165833423745
0.008999999999999999,1.000126894747966,-0.21003565148745,1.000166248498789
0.01,1.00012095249597,-0.2100353178311845,1.000166699581977
0.011,1.000115018968245,-0.2100348830711681,1.000167181581373
0.012,1.000109146516105,-0.2100343528357779,1.000167689686981
0.01242426103068148,1.000106684270743,-0.2100341005778659,1.000167912034518
0.01242426103068148,1.000106684270743,-0.2100341005778659,1.000167912034518
0.013,1.000103377910507,-0.2100337335290549,1.000168219407823
0.01371213051542728,1.00009935328743,-0.2100332421635037,1.000168607410693
0.01371213051542728,1.00009935328743,-0.2100332421635037,1.000168607410693
0.014,1.000097748450653,-0.2100330322268701,1.000168766480939
0.015,1.000092284842413,-0.2100322561284092,1.000169327107432
0.016,1.000087008004723,-0.2100314129303982,1.000169897672072
0.017,1.000081932668395,-0.2100305103858835,1.000170474903884
0.018,1.000077068722282,-0.2100295562788327,1.00017105580534
0.019,1.000072421942339,-0.2100285584393989,1.000171637604983
0.02,1.000067994510661,-0.2100275242747711,1.000172217872922
0.021,1.000063785932126,-0.2100264605600642,1.000172794532242
0.022,1.000059793752001,-0.2100253738298822,1.000173365695334
0.023,1.000056013800898,-0.2100242702729644,1.000173929682322
0.024,1.000052440556243,-0.2100231556370168,1.000174485029512
0.025,1.000049067467327,-0.2100220352107509,1.000175030475976
0.026,1.000045887230961,-0.2100209138220126,1.000175564948019
0.027,1.000042892021033,-0.2100197958448606,1.00017608754356
0.028,1.000040073636051,-0.2100186852298061,1.000176597514106
0.029,1.000037423768423,-0.2100175854703249,1.000177094259425
0.03,1.00003493405769,-0.2100164996650621,1.000177577305096
0.031,1.000032596162832,-0.2100154305460412,1.000178046289514
0.032,1.000030401870631,-0.2100143804898754,1.000178500954073
0.033,1.000028343158685,-0.210013351542463,1.000178941131805
0.034,1.000026412243554,-0.2100123454437617,1.000179366736869
0.035,1.000024601616469,-0.2100113636522237,1.000179777754864
0.036,1.000022904066925,-0.2100104073687961,1.000180174233996
0.037,1.000021311508033,-0.2100094776892421,1.000180556306371
0.038,1.000019818696771,-0.2100085751812661,1.000180924102034
0.039,1.000018419049704,-0.2100077004234581,1.000181277825974
0.04,1.000017106930243,-0.210006853781933,1.000181617693882
0.041,1.000015876850762,-0.2100060354900275,1.000181943954012
0.042,1.000014723574565,-0.2100052456519111,1.000182256880097
0.043,1.00001364215587,-0.2100044842514599,1.000182556766254
0.044,1.000012627942476,-0.2100037511650381,1.000182843922859
0.045,1.00001167656758,-0.2100030461742377,1.000183118673061
0.046,1.000010783938936,-0.2100023689778795,1.000183381349689
0.047,1.00000994622651,-0.2100017192031073,1.000183632292525
0.048,1.000009159849528,-0.2100010964155295,1.000183871845905
0.049,1.000008421463309,-0.2100005001284412,1.000184100356627
0.05,1.000007727946135,-0.2099999298111669,1.000184318172123
0.051,1.000007076386301,-0.2099993848965836,1.000184525638879
0.052,1.000006464069488,-0.2099988647878789,1.000184723101071
0.053,1.000005888466524,-0.2099983688646025,1.000184910899398
0.054,1.000005347221605,-0.2099978964880689,1.000185089370095
0.055,1.000004837259076,-0.2099974467043948,1.000185258989444
0.056,1.000004357251933,-0.2099970190808349,1.000185419969533
0.057,1.000003905070172,-0.2099966128283122,1.000185572680143
0.058,1.000003480393398,-0.2099962278201344,1.000185717179397
0.059,1.000003079537841,-0.209995862600556,1.000185854135111
0.06,1.000002702621004,-0.2099955171686389,1.000185983540721
0.061,1.00000234739892,-0.209995190542031,1.000186105832744
0.062,1.000002012821437,-0.2099948821760304,1.000186221241882
0.063,1.000001697964479,-0.209994591624285,1.000186329960897
0.064,1.000001400701374,-0.209994317733017,1.000186432472734
0.065,1.000001121129328,-0.2099940605323363,1.000186528762359
0.066,1.000000857268537,-0.2099938188698002,1.000186619303719
0.067,1.000000608829908,-0.2099935925295002,1.000186704180829
0.068,1.000000374673099,-0.2099933807917401,1.000186783684055
0.06900000000000001,1.00000015381628,-0.2099931829620878,1.000186858086644
0.07000000000000001,0.9999999459720235,-0.2099929988392801,1.000186927467962
0.07099999999999999,0.9999997497075632,-0.2099928273608171,1.000186992242023
0.07199999999999999,0.9999995650567131,-0.2099926685291035,1.000187052406106
0.073,0.9999993909284678,-0.2099925214872391,1.000187108290342
0.074,0.9999992264442337,-0.2099923854454887,1.000187160191567
0.075,0.9999990708217985,-0.2099922597280501,1.000187208365572
0.076,0.9999989244587887,-0.2099921446784715,1.000187252682328
0.077,0.9999987869528574,-0.2099920399128868,1.000187293284676
0.078,0.9999986565575401,-0.2099919437650196,1.000187330792644
0.079,0.9999985343714272,-0.2099918572830299,1.000187364816211
0.08,0.9999984203945189,-0.2099917804669236,1.000187395355375
0.081,0.9999983124733851,-0.2099917111593717,1.000187423206593
0.082,0.9999982109501657,-0.2099916497031383,1.000187448243323
0.083,0.9999981163105436,-0.2099915965847905,1.000187470285931
