"time","wT4BCurrentSource.controlMeasurements.PGenNomPu","wT4BCurrentSource.controlMeasurements.QGenNomPu","wT4BCurrentSource.controlMeasurements.UPu"
0,1.000164312504217,-0.2100347082819775,1.000164354347972
0.001,1.000162859962978,-0.2100363378113285,1.000163932684688
0.002,1.000159180401726,-0.2100404017206177,1.000162884424725
0.003,1.000154273604762,-0.2100457218238195,1.000161517385324
0.004,1.000148469810004,-0.2100518715399879,1.000159944871502
0.005,1.000142138108052,-0.2100584307696204,1.000158275903352
0.006,1.000135437624516,-0.2100651682976671,1.000156573057271
0.007,1.000128453996882,-0.2100719882099123,1.000154861143733
0.008,1.000121299597287,-0.2100786977174647,1.00015319352772
0.008999999999999999,1.00011401187723,-0.2100852650871931,1.00015157788508
0.01,1.000106871774539,-0.2100913139079101,1.000150114813094
0.011,1.000099822063123,-0.2100969310251162,1.000148780659322
0.012,1.000093119526758,-0.2101018153441135,1.000147654019124
0.013,1.000086687569933,-0.2101060659615905,1.000146708564311
0.014,1.000080681835751,-0.2101095529758755,1.000145975582454
0.015,1.000075048049326,-0.2101123313857966,1.000145441149172
0.016,1.000069839915342,-0.2101144341612206,1.000145091875673
0.017,1.0000650304237,-0.2101158744933136,1.000144925240938
0.018,1.000060536224439,-0.2101169747597459,1.000144845895075
0.019,1.000056387951806,-0.2101176164760975,1.000144888882934
0.02,1.00005258560572,-0.2101177996434244,1.000145054204514
0.021,1.000049128210967,-0.2101175266688145,1.000145341168694
0.022,1.000045865882663,-0.2101171674229037,1.000145643548727
0.023,1.000042890077342,-0.2101164962193058,1.000146026161938
0.024,1.000040200794986,-0.2101155130582813,1.000146489008326
0.025,1.000037738940498,-0.2101143540673444,1.000146993222147
0.026,1.000035381819671,-0.2101133018770565,1.000147458109726
0.027,1.00003322091018,-0.2101121457662321,1.000147943834266
0.028,1.00003125621199,-0.2101108857353389,1.000148450395769
0.029,1.000029397375955,-0.2101096963299617,1.000148928811987
0.03,1.000027631776285,-0.2101086019425319,1.000149372237955
0.031,1.000025997639562,-0.2101075287238434,1.00014980139802
0.032,1.000024494965742,-0.210106476674508,1.000150216292183
0.033,1.000023018325583,-0.2101055993764275,1.000150575337074
0.034,1.00002162290866,-0.2101048164342015,1.000150900300576
0.035,1.000020311843553,-0.2101041232908551,1.000151192416681
0.036,1.000019070297047,-0.2101035284056812,1.000151449922658
0.037,1.000017858341463,-0.2101030545482663,1.000151668073625
0.038,1.000016704203579,-0.210102685622373,1.000151850223971
0.039,1.000015607883368,-0.2101024216283556,1.000151996373696
0.04,1.000014551726943,-0.2101022081564818,1.000152124469418
0.041,1.00001353066139,-0.2101020295719778,1.000152239668165
0.042,1.000012553684824,-0.210101913607654,1.000152332822593
0.043,1.000011620797233,-0.2101018602636714,1.000152403932703
0.044,1.000010731998608,-0.2101018695401724,1.000152452998494
0.045,1.000009887288938,-0.2101019414372813,1.000152480019966
0.046,1.000009086668215,-0.2101020759551039,1.00015248499712
0.047,1.000008328135473,-0.210102238216874,1.000152478889239
0.048,1.000007605901554,-0.2101023273174271,1.000152493403562
0.049,1.000006925540955,-0.2101024404205945,1.000152498008509
0.05,1.000006287053671,-0.2101025775264318,1.00015249270408
0.051,1.0000056904397,-0.2101027386349883,1.000152477490274
0.052,1.000005135699037,-0.2101029237463067,1.000152452367093
0.053,1.00000462283168,-0.2101031328604233,1.000152417334536
0.054,1.000004151837627,-0.2101033659773676,1.000152372392602
0.055,1.000003697415246,-0.2101035086035578,1.000152354613568
0.056,1.000003274658252,-0.2101036290403021,1.000152341881923
0.057,1.000002886751538,-0.210103741699729,1.000152329531122
0.058,1.000002533695102,-0.2101038465818571,1.000152317561164
0.059,1.000002215488943,-0.2101039436867037,1.000152305972049
0.06,1.000001932133059,-0.2101040330142839,1.000152294763778
0.061,1.000001683627451,-0.2101041145646116,1.00015228393635
0.062,1.000001449369895,-0.2101041722527266,1.000152279694367
0.063,1.000001222575686,-0.2101042007815424,1.000152284081123
0.064,1.000001020406513,-0.210104213549873,1.000152291928173
0.065,1.000000842862373,-0.210104210557724,1.000152303235518
0.066,1.000000689943267,-0.2101041918051003,1.000152318003158
0.067,1.000000561649193,-0.2101041572920057,1.000152336231092
0.068,1.000000457980153,-0.2101041070184436,1.000152357919321
0.06900000000000001,1.000000372982578,-0.2101040442433865,1.000152382402673
0.07000000000000001,1.000000272424018,-0.2101039877056053,1.000152405856481
0.07099999999999999,1.000000185835303,-0.2101039212399855,1.000152431580119
0.07199999999999999,1.000000113216434,-0.2101038448465279,1.000152459573585
0.073,1.000000054567411,-0.2101037585252327,1.00015248983688
0.074,1.000000009888234,-0.2101036622761001,1.000152522370004
0.075,0.9999999791789022,-0.2101035560991297,1.000152557172957
0.076,0.9999999624394161,-0.2101034399943211,1.000152594245739
0.077,0.9999999263549785,-0.2101033454884991,1.000152625734553
0.078,0.9999998858685668,-0.2101032584406626,1.000152655162132
0.079,0.9999998489466003,-0.2101031713119436,1.000152684406518
0.08,0.9999998155890785,-0.2101030841023424,1.000152713467712
0.081,0.9999997857960016,-0.2101029968118598,1.000152742345713
