"time","wPP4ACurrentSource.wPPControl.measurements.UPu","wPP4ACurrentSource.wPPControl.measurements.PPu","wPP4ACurrentSource.wPPControl.measurements.QPu"
0,1.000164354347963,1.000164312504219,-0.210034708281987
0.001,1.000164367111285,1.0001632265219,-0.2100348714447628
0.002,1.000164433289004,1.000160659906681,-0.2100351412190871
0.003,1.000164555083137,1.000157215071321,-0.2100353972357988
0.004,1.000164723904201,1.000153193797254,-0.2100356103729614
0.005,1.000164940909589,1.000148682611403,-0.2100357606342585
0.006,1.000165206606264,1.000143750013523,-0.2100358335056271
0.007,1.000165522366619,1.000138403850638,-0.2100358230945275
0.008,1.00016587467958,1.000132993133549,-0.2100357072318302
0.009,1.000166266684454,1.00012742904751,-0.2100354925190316
0.01,1.000166698494981,1.000121708381685,-0.2100351791926835
0.011,1.00016716079258,1.000115952714952,-0.210034774365915
0.012,1.000167645536814,1.000110266947867,-0.2100342841774281
0.013,1.000168160323496,1.000104551981872,-0.2100337028268862
0.0130824,1.000168204085808,1.000104079721888,-0.2100336508532671
0.0130824,1.000168204085808,1.000104079721888,-0.2100336508532671
0.014,1.000168707324817,1.000098819472081,-0.2100330211345888
0.0145412,1.000169009210932,1.000095782289124,-0.2100326211129584
0.0145412,1.000169009210932,1.000095782289124,-0.2100326211129584
0.015,1.000169267668401,1.000093247935068,-0.2100322662421139
0.016,1.000169838253162,1.000087872843734,-0.2100314414557086
0.017,1.000170415989996,1.000082711643776,-0.2100305534329595
0.018,1.000170997763829,1.000077772588818,-0.2100296106434801
0.019,1.000171580776227,1.000073060078381,-0.210028621263056
0.02,1.00017216247815,1.000068575269068,-0.2100275932750165
0.021,1.000172740691017,1.000064316712944,-0.210026533960712
0.022,1.000173313476543,1.000060281000388,-0.2100254501973349
0.023,1.000173879119375,1.000056463111256,-0.2100243484477324
0.024,1.000174436129272,1.000052856779321,-0.2100232346848649
0.025,1.00017498322509,1.000049454807625,-0.2100221143839957
0.026,1.000175519317789,1.000046249332116,-0.2100209925278063
0.027,1.000176043493842,1.000043232040064,-0.2100198736186876
0.028,1.000176554999291,1.000040394349735,-0.2100187616962304
0.029,1.000177053224582,1.000037727557028,-0.2100176603584612
0.03,1.000177537690232,1.000035222954026,-0.2100165727856471
0.031,1.000178008033387,1.000032871923775,-0.2100155017657143
0.032,1.000178463995295,1.000030666014958,-0.2100144497205191
0.033,1.000178905409684,1.000028596999684,-0.2100134187323667
0.034,1.000179332192037,1.00002665691713,-0.2100124105703057
0.035,1.000179744331496,1.000024837953181,-0.210011426738806
0.036,1.000180141883284,1.000023132605351,-0.2100104684711378
0.037,1.000180524957449,1.000021533983121,-0.2100095367091055
0.038,1.000180893700695,1.000020035729049,-0.2100086321763405
0.039,1.000181248302991,1.000018631526905,-0.2100077554495194
0.04,1.000181588995969,1.000017315250252,-0.210006906935575
0.041,1.000181916028625,1.000016081405412,-0.2100060868665922
0.042,1.000182229678387,1.000014924680271,-0.2100052953490404
0.043,1.000182530250976,1.000013839958913,-0.2100045323614531
0.044,1.000182818055709,1.000012822640918,-0.2100037977738641
0.045,1.000183093416773,1.000011868354613,-0.2100030913654477
0.046,1.000183356677436,1.000010972894902,-0.2100024128226597
0.047,1.00018360817732,1.000010132456755,-0.2100017617684496
0.048,1.00018384825906,1.000009343484747,-0.2100011377691461
0.049,1.000184077278244,1.000008602557311,-0.2100005403242194
0.05,1.000184295584031,1.000007906552224,-0.2099999688975311
0.051,1.000184503518538,1.000007252600713,-0.2099994229279407
0.052,1.000184701432906,1.000006637937201,-0.2099989018058709
0.053,1.00018488969681,1.000006059845178,-0.2099984048528759
0.054,1.000185068671562,1.00000551582275,-0.2099979313770658
0.055,1.000185238626211,1.000005004119548,-0.2099974808420557
0.056,1.000185399916586,1.000004522505743,-0.2099970525224336
0.057,1.000185552851167,1.000004069147818,-0.2099966457705833
0.058,1.000185697732924,1.000003642327288,-0.2099962599349857
0.059,1.00018583486122,1.000003240417853,-0.209995894358394
0.06,1.000185964532378,1.000002861879214,-0.2099955483771686
0.061,1.000186087035238,1.000002505274995,-0.2099952213321868
0.062,1.000186202650735,1.000002169267106,-0.2099949125712944
0.063,1.000186311651729,1.000001852609118,-0.2099946214510597
0.064,1.000186414302937,1.000001554139842,-0.2099943473382359
0.065,1.00018651086091,1.000001272777191,-0.2099940896109531
0.066,1.000186601574076,1.000001007512419,-0.2099938476597015
0.067,1.000186686682794,1.000000757404749,-0.209993620888129
0.068,1.00018676641946,1.000000521576381,-0.2099934087136782
0.069,1.000186841008612,1.000000299207859,-0.209993210568084
0.07,1.000186910667072,1.000000089533777,-0.2099930258977462
0.071,1.00018697560548,0.9999998918344197,-0.2099928541603613
0.072,1.000187036188589,0.9999997049243103,-0.2099926944054124
0.073,1.000187092400372,0.9999995288556556,-0.209992546674648
0.074,1.000187144553938,0.9999993626614589,-0.2099924101426136
0.075,1.000187192604187,0.9999992064810024,-0.2099922849282163
0.076,1.000187237020045,0.9999990589137712,-0.2099921697862339
0.077,1.000187277693886,0.9999989202824784,-0.2099920650022345
0.078,1.000187315042599,0.9999987893986226,-0.2099919694585418
0.079,1.000187348951767,0.9999986665921652,-0.2099918834612039
0.08,1.000187379823604,0.9999985507623663,-0.2099918059232496
0.081,1.000187407567269,0.9999984421628254,-0.2099917370892436
0.082,1.000187432534906,0.9999983398691922,-0.2099916760001196
0.083,1.000187454664264,0.9999982440511709,-0.209991622824246
0.084,1.000187474259318,0.9999981539415443,-0.2099915767279777
0.085,1.000187491285252,0.9999980696352541,-0.2099915378054682
0.086,1.000187505999641,0.9999979905054651,-0.2099915053459528
0.087,1.000187518393942,0.9999979165803788,-0.2099914793716141
0.088,1.00018752868196,0.9999978473568059,-0.2099914592892457
0.089,1.000187536879863,0.9999977828041227,-0.2099914450526004
