time;WECCPV_photovoltaics_HvMeasurements_PPu;WECCPV_photovoltaics_HvMeasurements_QPu;WECCPV_photovoltaics_HvMeasurements_UPu;WECCPV_photovoltaics_LvMeasurements_PPu;WECCPV_photovoltaics_LvMeasurements_QPu;WECCPV_photovoltaics_LvMeasurements_UPu;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;WECCPV_photovoltaics_LvTfo_RPu;WECCPV_photovoltaics_LvTfo_XPu;WECCPV_photovoltaics_HvTfo_RPu;WECCPV_photovoltaics_HvTfo_XPu;
0.000000;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000001;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000002;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000004;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000008;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000016;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000032;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000064;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000128;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000256;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.000512;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.001024;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.002048;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.004096;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.008192;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.016384;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.032768;0.700000;0.200000;1.000000;0.700000;0.279500;1.035339;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.065536;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
0.131072;0.700000;0.200000;1.000000;0.700000;0.279500;1.035338;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.000010;0.000010;0.000000;0.150000;
