time;GFM_GFM_Control_PFilterPu;GFM_GFM_Control_PFilterRefPu;
0.0000;0.7803;0.7500;
0.0010;0.7472;0.7500;
0.0020;0.7271;0.7500;
0.0030;0.7138;0.7500;
0.0040;0.7047;0.7500;
0.0050;0.6989;0.7500;
0.0060;0.6959;0.7500;
0.0070;0.6951;0.7500;
0.0080;0.6962;0.7500;
0.0090;0.6989;0.7500;
0.0100;0.7028;0.7500;
0.0110;0.7077;0.7500;
0.0120;0.7133;0.7500;
0.0130;0.7192;0.7500;
0.0140;0.7254;0.7500;
0.0150;0.7316;0.7500;
0.0160;0.7376;0.7500;
0.0170;0.7434;0.7500;
0.0180;0.7489;0.7500;
0.0190;0.7540;0.7500;
0.0200;0.7586;0.7500;
0.0210;0.7628;0.7500;
0.0220;0.7664;0.7500;
0.0230;0.7696;0.7500;
0.0240;0.7723;0.7500;
0.0250;0.7746;0.7500;
0.0260;0.7764;0.7500;
0.0270;0.7778;0.7500;
0.0280;0.7789;0.7500;
0.0290;0.7797;0.7500;
0.0300;0.7801;0.7500;
0.0310;0.7804;0.7500;
0.0320;0.7804;0.7500;
0.0330;0.7802;0.7500;
0.0340;0.7800;0.7500;
0.0350;0.7796;0.7500;
0.0360;0.7791;0.7500;
0.0370;0.7786;0.7500;
0.0380;0.7781;0.7500;
0.0390;0.7776;0.7500;
0.0400;0.7771;0.7500;
0.0410;0.7766;0.7500;
0.0420;0.7762;0.7500;
0.0430;0.7759;0.7500;
0.0440;0.7756;0.7500;
0.0450;0.7754;0.7500;
0.0460;0.7753;0.7500;
0.0470;0.7753;0.7500;
0.0480;0.7754;0.7500;
0.0490;0.7755;0.7500;
0.0500;0.7758;0.7500;
0.0510;0.7761;0.7500;
0.0520;0.7765;0.7500;
0.0530;0.7770;0.7500;
0.0540;0.7775;0.7500;
0.0550;0.7780;0.7500;
0.0560;0.7786;0.7500;
0.0570;0.7793;0.7500;
0.0580;0.7799;0.7500;
0.0590;0.7806;0.7500;
0.0600;0.7813;0.7500;
0.0610;0.7820;0.7500;
0.0620;0.7827;0.7500;
0.0630;0.7834;0.7500;
0.0640;0.7840;0.7500;
0.0650;0.7847;0.7500;
0.0660;0.7853;0.7500;
0.0670;0.7859;0.7500;
0.0680;0.7864;0.7500;
0.0690;0.7869;0.7500;
0.0700;0.7874;0.7500;
0.0710;0.7878;0.7500;
0.0720;0.7881;0.7500;
0.0730;0.7885;0.7500;
0.0740;0.7888;0.7500;
0.0750;0.7890;0.7500;
0.0760;0.7892;0.7500;
0.0770;0.7893;0.7500;
0.0780;0.7894;0.7500;
0.0790;0.7895;0.7500;
0.0800;0.7895;0.7500;
0.0810;0.7895;0.7500;
0.0820;0.7895;0.7500;
0.0830;0.7894;0.7500;
0.0840;0.7893;0.7500;
0.0850;0.7891;0.7500;
0.0860;0.7890;0.7500;
0.0870;0.7888;0.7500;
0.0880;0.7885;0.7500;
0.0890;0.7883;0.7500;
0.0900;0.7880;0.7500;
0.0910;0.7877;0.7500;
0.0920;0.7874;0.7500;
0.0930;0.7871;0.7500;
0.0940;0.7868;0.7500;
0.0950;0.7864;0.7500;
