time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000034;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.001000;1.000161;-0.210037;1.000164;0.976169;0.217767;-0.930282;-0.422695;
0.025999;1.000071;-0.210092;1.000152;0.976161;0.217745;-0.930202;-0.422716;
0.075997;1.000017;-0.210102;1.000152;0.976164;0.217732;-0.930152;-0.422701;
0.175993;1.000002;-0.210095;1.000155;0.976168;0.217728;-0.930139;-0.422685;
0.375985;1.000000;-0.210078;1.000161;0.976174;0.217727;-0.930137;-0.422664;
0.516042;1.000000;-0.210068;1.000164;0.976177;0.217726;-0.930136;-0.422652;
0.540526;1.000000;-0.210066;1.000164;0.976178;0.217726;-0.930136;-0.422649;
0.589494;1.000000;-0.210062;1.000165;0.976179;0.217726;-0.930136;-0.422645;
0.687430;1.000000;-0.210055;1.000168;0.976182;0.217726;-0.930136;-0.422636;
0.883301;1.000000;-0.210042;1.000172;0.976186;0.217725;-0.930135;-0.422621;
1.275045;1.000000;-0.210026;1.000177;0.976191;0.217725;-0.930135;-0.422601;
2.000000;1.000000;-0.210012;1.000181;0.976196;0.217724;-0.930134;-0.422584;
2.000182;0.999999;-0.210012;1.000181;0.976196;0.217724;-0.930133;-0.422584;
2.000546;0.999981;-0.210016;1.000181;0.976197;0.217720;-0.930117;-0.422580;
2.001275;0.999817;-0.210054;1.000179;0.976204;0.217679;-0.929968;-0.422543;
2.002733;0.998502;-0.210327;1.000170;0.976269;0.217348;-0.928776;-0.422215;
2.004000;0.994525;-0.210999;1.000194;0.976515;0.216344;-0.925163;-0.421041;
2.004000;0.994526;-0.210998;1.000193;0.976515;0.216345;-0.925163;-0.421040;
2.004145;0.994240;-0.211049;1.000194;0.976532;0.216273;-0.924904;-0.420959;
2.004436;0.993617;-0.211159;1.000196;0.976568;0.216115;-0.924338;-0.420782;
2.004727;0.992939;-0.211277;1.000198;0.976609;0.215945;-0.923723;-0.420588;
2.005308;0.991374;-0.211545;1.000206;0.976703;0.215550;-0.922301;-0.420134;
2.005890;0.989608;-0.211837;1.000217;0.976813;0.215104;-0.920696;-0.419611;
2.006471;0.987650;-0.212148;1.000232;0.976938;0.214609;-0.918917;-0.419019;
2.007635;0.983071;-0.212809;1.000289;0.977250;0.213450;-0.914753;-0.417563;
2.008798;0.977923;-0.213471;1.000375;0.977622;0.212144;-0.910070;-0.415843;
2.011124;0.965986;-0.214647;1.000678;0.978586;0.209106;-0.899196;-0.411486;
2.013450;0.952901;-0.215570;1.001107;0.979734;0.205766;-0.887264;-0.406374;
2.018103;0.924568;-0.216579;1.002291;0.982437;0.198506;-0.861386;-0.394498;
2.022756;0.895585;-0.216959;1.003621;0.985268;0.191064;-0.834878;-0.382103;
2.032061;0.840497;-0.217225;1.006079;0.990401;0.176920;-0.784432;-0.359457;
2.041367;0.790614;-0.217537;1.008065;0.994593;0.164133;-0.738700;-0.340624;
2.050672;0.746780;-0.218007;1.009580;0.997890;0.152916;-0.698480;-0.325502;
2.059978;0.708984;-0.218450;1.010741;1.000480;0.143254;-0.663771;-0.313388;
2.060409;0.707489;-0.218477;1.010783;1.000575;0.142872;-0.662398;-0.312936;
2.060409;0.707622;-0.218081;1.010837;1.000686;0.142894;-0.662508;-0.312535;
2.061726;0.702418;-0.218126;1.010990;1.001029;0.141564;-0.657726;-0.310917;
2.064359;0.692490;-0.218214;1.011274;1.001672;0.139027;-0.648602;-0.307872;
2.069625;0.674438;-0.218363;1.011775;1.002806;0.134416;-0.632008;-0.302466;
2.080157;0.644523;-0.218579;1.012555;1.004587;0.126777;-0.604494;-0.293867;
2.090689;0.619801;-0.218795;1.013143;1.005948;0.120470;-0.581745;-0.287170;
2.101221;0.599427;-0.218937;1.013601;1.007013;0.115273;-0.562988;-0.281858;
2.111754;0.582653;-0.219019;1.013962;1.007855;0.110996;-0.547539;-0.277613;
2.122286;0.568843;-0.219061;1.014249;1.008525;0.107475;-0.534814;-0.274202;
2.132818;0.557468;-0.219074;1.014480;1.009062;0.104574;-0.524330;-0.271446;
2.143350;0.548087;-0.219069;1.014667;1.009497;0.102183;-0.515682;-0.269206;
2.164415;0.534861;-0.218940;1.014944;1.010123;0.098808;-0.503482;-0.265996;
2.185479;0.525437;-0.218891;1.015131;1.010541;0.096405;-0.494788;-0.263810;
2.206543;0.518663;-0.218807;1.015275;1.010848;0.094677;-0.488538;-0.262216;
2.227608;0.513738;-0.218701;1.015390;1.011081;0.093419;-0.483990;-0.261022;
2.269737;0.507978;-0.218427;1.015563;1.011392;0.091943;-0.478667;-0.259481;
2.311865;0.504593;-0.218136;1.015703;1.011611;0.091073;-0.475535;-0.258443;
2.353994;0.502655;-0.217821;1.015825;1.011779;0.090569;-0.473736;-0.257692;
2.438252;0.501306;-0.217150;1.016040;1.012028;0.090205;-0.472469;-0.256682;
2.494889;0.501061;-0.216698;1.016174;1.012169;0.090129;-0.472229;-0.256142;
2.494889;0.501062;-0.216698;1.016174;1.012169;0.090129;-0.472229;-0.256143;
2.517394;0.500954;-0.216518;1.016227;1.012226;0.090096;-0.472124;-0.255926;
2.562404;0.500886;-0.216162;1.016331;1.012332;0.090068;-0.472050;-0.255527;
2.652424;0.500878;-0.215481;1.016528;1.012532;0.090046;-0.472020;-0.254792;
2.832465;0.500858;-0.214310;1.016865;1.012874;0.090005;-0.471964;-0.253525;
3.192547;0.500826;-0.212699;1.017329;1.013345;0.089947;-0.471881;-0.251783;
3.912711;0.500793;-0.211175;1.017768;1.013790;0.089893;-0.471801;-0.250137;
5.353038;0.500744;-0.210312;1.018016;1.014043;0.089854;-0.471728;-0.249199;
