time;WT3A_WT_controlMeasurements_PPuSnRef;WT3A_WT_controlMeasurements_QPuSnRef;WT3A_WT_controlMeasurements_UPu;InfBus_infiniteBus_PPu;InfBus_infiniteBus_QPu;InfBus_infiniteBus_UPu;WT3A_WT_terminal_V_re;WT3A_WT_terminal_V_im;WT3A_WT_terminal_i_re;WT3A_WT_terminal_i_im;
0.000000;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000001;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000002;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000003;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000004;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000008;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000010;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000011;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000012;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000014;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000017;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000021;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000024;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000028;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000031;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000035;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000038;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000042;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000045;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
0.000049;0.600000;0.100000;1.000000;0.600000;0.100000;1.000000;1.000000;0.000000;-0.600000;0.100000;
