"time","generatorSynchronous.omegaPu.value","generatorSynchronous.UPu","generatorSynchronous.efdPu_in","pss.UpssPu","avr.EfdPu"
0,1,0.9918760530602477,2.50789,0,2.50789
0.0006894778591056776,0.9999999886847067,0.9918755799748986,2.507987217699524,-8.935175152514664e-06,2.507987217699524
0.0006894778591056776,0.9999999886847067,0.9918755799748986,2.507987217699524,-8.935175152514664e-06,2.507987217699524
0.02,0.9999997046571614,0.9918654964628676,2.508990345624857,-0.0001021404184034057,2.508990345624857
0.04,0.9999994566769953,0.9918595188706403,2.509506526406573,-8.271844841292354e-05,2.509506526406573
0.06,0.9999992337605441,0.9918567809919007,2.510411060859089,-5.887394740004544e-05,2.510411060859089
0.08,0.9999990205591806,0.991856699689065,2.511400232971948,-4.708664524434217e-05,2.511400232971948
0.1,0.9999988041953007,0.9918587146945123,2.512171725190575,-4.603473852032684e-05,2.512171725190575
0.1000000001100008,0.9999988041952995,0.9918587146945299,2.512171725193915,-4.603473855162781e-05,2.512171725193915
0.1000000001100008,0.9999988041952995,0.4097852736079537,2.512171725193915,-4.603473855162781e-05,2.512171725193915
0.100010359905461,1.0000000000025,0.4097653218712119,2.519409303262445,0.0003297721429960793,2.519409303262445
0.100010359905461,1.0000000000025,0.4097653218712119,2.519409303262445,0.0003297721429960793,2.519409303262445
0.1019265925216675,1.00022120760303,0.4061996716401697,4,0.1,4
0.1019265925216675,1.00022120760303,0.4061996716401697,4,0.1,4
0.12,1.002308743418723,0.3798085670427681,4,0.1,4
0.14,1.004618378566281,0.3610279884625032,4,0.1,4
0.16,1.006924357374922,0.3490123378213417,4,0.1,4
0.18,1.009224401972157,0.3411119407061701,4,0.1,4
0.2,1.011516871163951,0.3357270873563374,4,0.1,4
0.2000000001200023,1.011516871177681,0.335727087329424,4,0.1,4
0.2000000001200023,1.011516871177681,0.8426977377076521,4,0.1,4
0.22,1.010940888485618,0.8670844285526833,4,-0.1,4
0.24,1.010114893883905,0.8793308062814201,4,-0.1,4
0.26,1.009091839879315,0.8841497524729468,4,-0.1,4
0.2650028016436752,1.00881019162014,0.8845753292408105,4,-0.1,4
0.2650028016436752,1.00881019162014,0.8845753292408105,4,-0.1,4
0.28,1.00791340922757,0.8845762981309718,3.997856040466757,-0.1,3.997856040466757
0.2871120431060314,1.007463633717077,0.8840781847563489,3.999999999500003,-0.1,3.999999999500003
0.2871120431060314,1.007463633717077,0.8840781847563489,3.999999999500003,-0.1,3.999999999500003
0.3,1.006614202760536,0.8826600608450337,3.999999999500003,-0.1,3.999999999500003
0.32,1.005223738624235,0.8798406143371519,3.999999999500003,-0.1,3.999999999500003
0.34,1.003767494299614,0.8771560230455475,3.999999999500003,-0.1,3.999999999500003
0.36,1.002267917198472,0.8753648154731628,3.999999999500003,-0.1,3.999999999500003
0.38,1.000745028073293,0.875007571625972,3.999999999500003,-0.1,3.999999999500003
0.4,0.9992170041855795,0.8764430569276416,3.999999999500003,-0.1,3.999999999500003
0.42,0.9977013334290905,0.8798783869544858,3.999999999500003,-0.1,3.999999999500003
0.4381526069737908,0.9963508855023165,0.8847856862849677,3.999999999500003,-0.1,3.999999999500003
0.4381526069737908,0.9963508855023165,0.8847856862849677,3.999999999500003,-0.1,3.999999999500003
0.44,0.9962153448334855,0.8853799089648371,3.999339054881654,-0.1,3.999339054881654
0.46,0.9947771988112821,0.8928663488390186,3.911783826578396,-0.1,3.911783826578396
0.48,0.9934071457696632,0.9020703772731629,3.685517871062815,-0.1,3.685517871062815
0.5,0.9921287073647849,0.9125928934641999,3.33547692329448,-0.1,3.33547692329448
0.52,0.9909687262576651,0.923936893802112,2.880524758215524,-0.1,2.880524758215524
0.54,0.989956752203394,0.9355365700584587,2.343840832498987,-0.1,2.343840832498987
0.5600000000000001,0.9891237696402378,0.9467942210806507,1.752537499421319,-0.1,1.752537499421319
0.5645106015823684,0.9889638064317897,0.9492250261171576,1.614669409598051,-0.1,1.614669409598051
0.5645106015823684,0.9889638064317897,0.9492250261171576,1.614669409598051,-0.1,1.614669409598051
0.58,0.9884984019081765,0.9571457118505647,1.294257380099533,-0.07311940132445738,1.294257380099533
