"time","generatorSynchronous.omegaPu.value","generatorSynchronous.PmPu_in","generatorSynchronous.UPu","generatorSynchronous.PmPu.value"
0,1,0.7999999999999999,0.9999998954013304,0.7999999999999999
0.03,1.000000000846235,0.7999999998571659,0.99999981569811,0.7999999998571659
0.06,1.000000001903934,0.7999999991932631,0.9999998136157001,0.7999999991932631
0.09,1.000000002840123,0.7999999982467059,0.9999998333175517,0.7999999982467059
0.1000000001100015,1.000000003090415,0.7999999978848282,0.9999998423035844,0.7999999978848282
0.1000000001100015,1.000000003090415,0.7999999978848282,0.9984862282845923,0.7999999978848282
0.12,0.9998890282880128,0.8000132518035508,0.9977316706424322,0.8000132518035508
0.15,0.9997265714822868,0.8000803034353348,0.9972225600110494,0.8000803034353348
0.18,0.9995660245174516,0.8002004848345716,0.9971607933028153,0.8002004848345716
0.21,0.9994055341278564,0.8003707780617769,0.9973407077790052,0.8003707780617769
0.24,0.9992442225347452,0.8005888085158634,0.9976361724842778,0.8005888085158634
0.27,0.9990818189674148,0.800852534819853,0.9979665492087054,0.800852534819853
0.3,0.9989184369950939,0.8011600574024664,0.9982811155882857,0.8011600574024664
0.33,0.9987544222743399,0.8015095041403588,0.9985505535020618,0.8015095041403588
0.36,0.9985902418172182,0.8018989671565659,0.9987611600654318,0.8018989671565659
0.39,0.9984264070327351,0.8023264615431189,0.9989103737404385,0.8023264615431189
0.42,0.998263412818581,0.802789937917571,0.9990030744109518,0.802789937917571
0.45,0.9981017047935882,0.8032872776678014,0.9990485091636228,0.8032872776678014
0.48,0.997941643934535,0.8038164240713124,0.9990572802765493,0.8038164240713124
0.51,0.9977835201931801,0.8043753510599762,0.9990400019240567,0.8043753510599762
0.54,0.9976275707461021,0.8049619318865008,0.9990070575363008,0.8049619318865008
0.57,0.9974739623687631,0.8055741082448157,0.9989670392489851,0.8055741082448157
0.6,0.9973228065647995,0.8062098956134671,0.9989264723018978,0.8062098956134671
0.63,0.9971741741994864,0.8068673887173664,0.9988898753151453,0.8068673887173664
0.66,0.9970281069558388,0.8075448121519844,0.9988599352610678,0.8075448121519844
0.6899999999999999,0.996884629536764,0.8082404342716296,0.99883795483585,0.8082404342716296
0.72,0.9967437561494403,0.8089526224955903,0.9988240920503022,0.8089526224955903
0.75,0.996605497302545,0.809679757177455,0.9988176634852742,0.809679757177455
0.78,0.9964698622510297,0.810420490586637,0.9988176388498342,0.810420490586637
0.8100000000000001,0.9963368634694028,0.811173384824557,0.9988226622852036,0.811173384824557
0.84,0.996206517048325,0.8119370685163593,0.9988313198859847,0.8119370685163593
0.87,0.9960788421217046,0.8127102820558376,0.9988423529306781,0.8127102820558376
0.9,0.9959538602416468,0.8134918320879793,0.9988547019041397,0.8134918320879793
0.93,0.9958315948775582,0.814280560758091,0.9988675211866516,0.814280560758091
0.96,0.9957120702011149,0.8150753470847637,0.9988802024083144,0.8150753470847637
0.99,0.9955953086257906,0.8158751573985972,0.9988923744736357,0.8158751573985972
1.02,0.9954813309902918,0.8166789884756811,0.9989038351514409,0.8166789884756811
1.05,0.9953701555536257,0.8174858736565777,0.9989145243908193,0.8174858736565777
1.08,0.995261797358543,0.8182948739411979,0.9989244876633229,0.8182948739411979
1.11,0.9951562683994191,0.8191049388570626,0.9989338620412589,0.8191049388570626
1.14,0.9950535739567845,0.8199153072001739,0.9989427726701714,0.8199153072001739
1.17,0.994953715730111,0.8207253328995745,0.9989513311788428,0.8207253328995745
1.2,0.9948566937476512,0.821534241768092,0.998959665633659,0.821534241768092
1.23,0.9947625045876111,0.8223413135726436,0.9989678853286662,0.8223413135726436
1.26,0.994671141725323,0.8231458603570201,0.9989760784520958,0.8231458603570201
1.29,0.9945825952218035,0.8239472016256327,0.9989843110148897,0.8239472016256327
1.32,0.99449685280502,0.8247447285269279,0.9989926205630262,0.8247447285269279
1.35,0.9944139008376134,0.825537891119251,0.9990010257122819,0.825537891119251
1.38,0.9943337229233655,0.8263261324935076,0.9990095313308556,0.8263261324935076
1.41,0.994256300661626,0.8271089273681811,0.9990181284402548,0.8271089273681811
1.44,0.994181613836349,0.8278857809952485,0.9990267984193428,0.8278857809952485
1.47,0.9941096405765726,0.8286562280435532,0.9990355169743907,0.8286562280435532
1.5,0.9940403574899278,0.8294198314911985,0.9990442575203079,0.8294198314911985
1.53,0.9939737375827865,0.830176149572765,0.9990529917299029,0.830176149572765
1.56,0.9939097572635301,0.8309248427718332,0.9990616986036711,0.8309248427718332
1.59,0.9938483894574636,0.8316655526495114,0.9990703572240912,0.8316655526495114
1.62,0.9937896057502229,0.8323979425643827,0.9990789499844586,0.8323979425643827
1.65,0.9937333766109108,0.8331216993035959,0.9990874629750437,0.8331216993035959
1.68,0.9936796714559095,0.8338365321619869,0.9990958857947282,0.8338365321619869
1.71,0.9936284587109062,0.8345421720568731,0.999104211100235,0.8345421720568731
1.74,0.9935797045035366,0.8352383612887953,0.9991124338668359,0.8352383612887953
1.77,0.9935333452712027,0.8359247056458748,0.999120549643021,0.8359247056458748
1.8,0.9934893768312766,0.8366011787901853,0.9991285586501713,0.8366011787901853
1.83,0.9934477516305313,0.8372675498401561,0.9991364597446862,0.8372675498401561
