time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;NETWORK_Load_P;NETWORK_Load_Q;NETWORK_Load_state;NETWORK_line1_P1;NETWORK_line1_Q1;NETWORK_line1_P2;NETWORK_line1_Q2;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
1.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
2.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
3.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
4.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
5.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
6.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
7.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
8.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
9.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.004998;0.002498;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
10.000000;1.001585;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;2.000000;-0.003000;-0.000484;0.003002;0.000502;1.001585;0.337743;
10.000000;1.007486;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007963;-0.002888;0.007978;0.003032;1.007486;0.872932;
11.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
12.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
13.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
14.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
15.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
16.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
17.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
18.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
19.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
20.000000;1.007427;1.000000;0.003000;0.008000;1.000000;0.000000;0.000000;1.000000;-0.007986;-0.002856;0.008000;0.003000;1.007427;0.875884;
