time;Model_TEST_u;Model_TEST_v;Model_TEST_x;Model_TEST_y;
0.000000;2.000000;1.000000;1.000000;2.000000;
0.010000;1.990000;0.990000;1.009900;1.970100;
0.020000;1.980000;0.980000;1.019600;1.940400;
0.030000;1.970000;0.970000;1.029100;1.910900;
0.040000;1.960000;0.960000;1.038400;1.881600;
0.050000;1.950000;0.950000;1.047500;1.852500;
0.060000;1.940000;0.940000;1.056400;1.823600;
0.070000;1.930000;0.930000;1.065100;1.794900;
0.080000;1.920000;0.920000;1.073600;1.766400;
0.090000;1.910000;0.910000;1.081900;1.738100;
0.100000;1.900000;0.900000;1.090000;1.710000;
0.110000;1.890000;0.890000;1.097900;1.682100;
0.120000;1.880000;0.880000;1.105600;1.654400;
0.130000;1.870000;0.870000;1.113100;1.626900;
0.140000;1.860000;0.860000;1.120400;1.599600;
0.150000;1.850000;0.850000;1.127500;1.572500;
0.160000;1.840000;0.840000;1.134400;1.545600;
0.170000;1.830000;0.830000;1.141100;1.518900;
0.180000;1.820000;0.820000;1.147600;1.492400;
0.190000;1.810000;0.810000;1.153900;1.466100;
0.200000;1.800000;0.800000;1.160000;1.440000;
0.210000;1.790000;0.790000;1.165900;1.414100;
0.220000;1.780000;0.780000;1.171600;1.388400;
0.230000;1.770000;0.770000;1.177100;1.362900;
0.240000;1.760000;0.760000;1.182400;1.337600;
0.250000;1.750000;0.750000;1.187500;1.312500;
0.260000;1.740000;0.740000;1.192400;1.287600;
0.270000;1.730000;0.730000;1.197100;1.262900;
0.280000;1.720000;0.720000;1.201600;1.238400;
0.290000;1.710000;0.710000;1.205900;1.214100;
0.300000;1.700000;0.700000;1.210000;1.190000;
0.310000;1.690000;0.690000;1.213900;1.166100;
0.320000;1.680000;0.680000;1.217600;1.142400;
0.330000;1.670000;0.670000;1.221100;1.118900;
0.340000;1.660000;0.660000;1.224400;1.095600;
0.350000;1.650000;0.650000;1.227500;1.072500;
0.360000;1.640000;0.640000;1.230400;1.049600;
0.370000;1.630000;0.630000;1.233100;1.026900;
0.380000;1.620000;0.620000;1.235600;1.004400;
0.390000;1.610000;0.610000;1.237900;0.982100;
0.400000;1.600000;0.600000;1.240000;0.960000;
0.410000;1.590000;0.590000;1.241900;0.938100;
0.420000;1.580000;0.580000;1.243600;0.916400;
0.430000;1.570000;0.570000;1.245100;0.894900;
0.440000;1.560000;0.560000;1.246400;0.873600;
0.450000;1.550000;0.550000;1.247500;0.852500;
0.460000;1.540000;0.540000;1.248400;0.831600;
0.470000;1.530000;0.530000;1.249100;0.810900;
0.480000;1.520000;0.520000;1.249600;0.790400;
0.490000;1.510000;0.510000;1.249900;0.770100;
0.500000;1.500000;0.500000;1.250000;0.750000;
0.510000;1.490000;0.490000;1.249900;0.730100;
0.520000;1.480000;0.480000;1.249600;0.710400;
0.530000;1.470000;0.470000;1.249100;0.690900;
0.540000;1.460000;0.460000;1.248400;0.671600;
0.550000;1.450000;0.450000;1.247500;0.652500;
0.560000;1.440000;0.440000;1.246400;0.633600;
0.570000;1.430000;0.430000;1.245100;0.614900;
0.580000;1.420000;0.420000;1.243600;0.596400;
0.590000;1.410000;0.410000;1.241900;0.578100;
0.600000;1.400000;0.400000;1.240000;0.560000;
0.610000;1.390000;0.390000;1.237900;0.542100;
0.620000;1.380000;0.380000;1.235600;0.524400;
0.630000;1.370000;0.370000;1.233100;0.506900;
0.640000;1.360000;0.360000;1.230400;0.489600;
0.650000;1.350000;0.350000;1.227500;0.472500;
0.660000;1.340000;0.340000;1.224400;0.455600;
0.670000;1.330000;0.330000;1.221100;0.438900;
0.680000;1.320000;0.320000;1.217600;0.422400;
0.690000;1.310000;0.310000;1.213900;0.406100;
0.700000;1.300000;0.300000;1.210000;0.390000;
0.710000;1.290000;0.290000;1.205900;0.374100;
0.720000;1.280000;0.280000;1.201600;0.358400;
0.730000;1.270000;0.270000;1.197100;0.342900;
0.740000;1.260000;0.260000;1.192400;0.327600;
0.750000;1.250000;0.250000;1.187500;0.312500;
0.760000;1.240000;0.240000;1.182400;0.297600;
0.770000;1.230000;0.230000;1.177100;0.282900;
0.780000;1.220000;0.220000;1.171600;0.268400;
0.790000;1.210000;0.210000;1.165900;0.254100;
0.800000;1.200000;0.200000;1.160000;0.240000;
0.810000;1.190000;0.190000;1.153900;0.226100;
0.820000;1.180000;0.180000;1.147600;0.212400;
0.830000;1.170000;0.170000;1.141100;0.198900;
0.840000;1.160000;0.160000;1.134400;0.185600;
0.850000;1.150000;0.150000;1.127500;0.172500;
0.860000;1.140000;0.140000;1.120400;0.159600;
0.870000;1.130000;0.130000;1.113100;0.146900;
0.880000;1.120000;0.120000;1.105600;0.134400;
0.890000;1.110000;0.110000;1.097900;0.122100;
0.900000;1.100000;0.100000;1.090000;0.110000;
0.910000;1.090000;0.090000;1.081900;0.098100;
0.920000;1.080000;0.080000;1.073600;0.086400;
0.930000;1.070000;0.070000;1.065100;0.074900;
0.940000;1.060000;0.060000;1.056400;0.063600;
0.950000;1.050000;0.050000;1.047500;0.052500;
0.960000;1.040000;0.040000;1.038400;0.041600;
0.970000;1.030000;0.030000;1.029100;0.030900;
0.980000;1.020000;0.020000;1.019600;0.020400;
0.990000;1.010000;0.010000;1.009900;0.010100;
1.000000;1.000000;-0.000000;1.000000;-0.000000;
1.010000;0.990000;-0.010000;0.989900;-0.009900;
1.020000;0.980000;-0.020000;0.979600;-0.019600;
1.030000;0.970000;-0.030000;0.969100;-0.029100;
1.040000;0.960000;-0.040000;0.958400;-0.038400;
1.050000;0.950000;-0.050000;0.947500;-0.047500;
1.060000;0.940000;-0.060000;0.936400;-0.056400;
