time;Generator_generator_UPu;Generator_generator_QGenPu;Generator_generator_QMaxPu;Generator_generator_QMinPu;Generator_generator_PGenPu;Generator_generator_PGenRawPu;Generator_generator_PMinPu;Generator_generator_PMaxPu;Generator_generator_running;Generator_generator_omegaRefPu;
0.000000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.001000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.002000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.004000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.008000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.016000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.026000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.036000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.046000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.056000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.066000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.076000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.086000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.096000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.106000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.116000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.126000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.136000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.146000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.156000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.166000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.176000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.186000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.196000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.206000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.216000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.226000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.236000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.246000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.256000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.266000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.276000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.286000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.296000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.306000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.316000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.326000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.336000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.346000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.356000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.366000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.376000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.386000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.396000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.406000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.416000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.426000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.436000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.446000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.456000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.466000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.476000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.486000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.496000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.506000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.516000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.526000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.536000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.546000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.556000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.566000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.576000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.586000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.596000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.606000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.616000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.626000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.636000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.646000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.656000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.666000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.676000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.686000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.696000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.706000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.716000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.726000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.736000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.746000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.756000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.766000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.776000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.786000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.796000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.806000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.816000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.826000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.836000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.846000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.856000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.866000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.876000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.886000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.896000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
0.906000;1.013640;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
