time;PhaseShifter_phaseShifter_PMonitored;PhaseShifter_phaseShifter_tap;PhaseShifter_phaseShifter_PTarget;PhaseShifter_phaseShifter_increaseTapToIncreaseValue;PhaseShifterBis_phaseShifter_PMonitored;PhaseShifterBis_phaseShifter_tap;PhaseShifterBis_phaseShifter_PTarget;PhaseShifterBis_phaseShifter_increaseTapToIncreaseValue;NETWORK_Line_P1_value;Load_load_PPu;Generator_generator_PGenPu;
0.000000;0.008178;13.000000;0.300000;-1.000000;0.008178;13.000000;0.000000;1.000000;-0.015996;0.000000;0.000360;
10.000000;0.008178;13.000000;0.300000;-1.000000;0.008178;13.000000;0.000000;1.000000;-0.015996;0.000000;0.000360;
10.000000;0.511884;13.000000;0.300000;-1.000000;0.511884;13.000000;0.000000;1.000000;0.476612;1.500000;1.500380;
20.000000;0.511884;13.000000;0.300000;-1.000000;0.511884;13.000000;0.000000;1.000000;0.476612;1.500000;1.500380;
30.000000;0.511884;13.000000;0.300000;-1.000000;0.511884;13.000000;0.000000;1.000000;0.476612;1.500000;1.500380;
40.000000;0.511884;13.000000;0.300000;-1.000000;0.511884;13.000000;0.000000;1.000000;0.476612;1.500000;1.500380;
50.000000;0.511884;13.000000;0.300000;-1.000000;0.511884;13.000000;0.000000;1.000000;0.476612;1.500000;1.500380;
50.000000;0.473384;14.000000;0.300000;-1.000000;0.531346;13.000000;0.000000;1.000000;0.495645;1.500000;1.500376;
60.000000;0.473384;14.000000;0.300000;-1.000000;0.531346;13.000000;0.000000;1.000000;0.495645;1.500000;1.500376;
60.000000;0.492848;14.000000;0.300000;-1.000000;0.492848;12.000000;0.000000;1.000000;0.514680;1.500000;1.500377;
70.000000;0.492848;14.000000;0.300000;-1.000000;0.492848;12.000000;0.000000;1.000000;0.514680;1.500000;1.500377;
70.000000;0.454350;15.000000;0.300000;-1.000000;0.512312;12.000000;0.000000;1.000000;0.533716;1.500000;1.500378;
80.000000;0.454350;15.000000;0.300000;-1.000000;0.512312;12.000000;0.000000;1.000000;0.533716;1.500000;1.500378;
80.000000;0.473814;15.000000;0.300000;-1.000000;0.473814;11.000000;0.000000;1.000000;0.552751;1.500000;1.500380;
90.000000;0.473814;15.000000;0.300000;-1.000000;0.473814;11.000000;0.000000;1.000000;0.552751;1.500000;1.500380;
90.000000;0.416067;16.000000;0.300000;-1.000000;0.503011;11.000000;0.000000;1.000000;0.581304;1.500000;1.500382;
100.000000;0.416067;16.000000;0.300000;-1.000000;0.503011;11.000000;0.000000;1.000000;0.581304;1.500000;1.500382;
100.000000;0.445264;16.000000;0.300000;-1.000000;0.445264;10.000000;0.000000;1.000000;0.609857;1.500000;1.500384;
110.000000;0.445264;16.000000;0.300000;-1.000000;0.445264;10.000000;0.000000;1.000000;0.609857;1.500000;1.500384;
110.000000;0.387517;17.000000;0.300000;-1.000000;0.474460;10.000000;0.000000;1.000000;0.638410;1.500000;1.500386;
120.000000;0.387517;17.000000;0.300000;-1.000000;0.474460;10.000000;0.000000;1.000000;0.638410;1.500000;1.500386;
120.000000;0.416713;17.000000;0.300000;-1.000000;0.416713;9.000000;0.000000;1.000000;0.666963;1.500000;1.500388;
130.000000;0.416713;17.000000;0.300000;-1.000000;0.416713;9.000000;0.000000;1.000000;0.666963;1.500000;1.500388;
140.000000;0.416713;17.000000;0.300000;-1.000000;0.416713;9.000000;0.000000;1.000000;0.666963;1.500000;1.500388;
140.000000;0.441043;17.000000;0.300000;-1.000000;0.368590;8.000000;0.000000;1.000000;0.690757;1.500000;1.500390;
150.000000;0.441043;17.000000;0.300000;-1.000000;0.368590;8.000000;0.000000;1.000000;0.690757;1.500000;1.500390;
160.000000;0.441043;17.000000;0.300000;-1.000000;0.368590;8.000000;0.000000;1.000000;0.690757;1.500000;1.500390;
160.000000;0.417251;18.000000;0.300000;-1.000000;0.344798;7.000000;0.000000;1.000000;0.738345;1.500000;1.500395;
170.000000;0.417251;18.000000;0.300000;-1.000000;0.344798;7.000000;0.000000;1.000000;0.738345;1.500000;1.500395;
180.000000;0.417251;18.000000;0.300000;-1.000000;0.344798;7.000000;0.000000;1.000000;0.738345;1.500000;1.500395;
180.000000;0.393459;19.000000;0.300000;-1.000000;0.321006;6.000000;0.000000;1.000000;0.785934;1.500000;1.500399;
190.000000;0.393459;19.000000;0.300000;-1.000000;0.321006;6.000000;0.000000;1.000000;0.785934;1.500000;1.500399;
200.000000;0.393459;19.000000;0.300000;-1.000000;0.321006;6.000000;0.000000;1.000000;0.785934;1.500000;1.500399;
200.000000;0.417789;19.000000;0.300000;-1.000000;0.272884;5.000000;0.000000;1.000000;0.809728;1.500000;1.500402;
210.000000;0.417789;19.000000;0.300000;-1.000000;0.272884;5.000000;0.000000;1.000000;0.809728;1.500000;1.500402;
220.000000;0.417789;19.000000;0.300000;-1.000000;0.272884;5.000000;0.000000;1.000000;0.809728;1.500000;1.500402;
220.000000;0.442119;19.000000;0.300000;-1.000000;0.224762;4.000000;0.000000;1.000000;0.833522;1.500000;1.500404;
230.000000;0.442119;19.000000;0.300000;-1.000000;0.224762;4.000000;0.000000;1.000000;0.833522;1.500000;1.500404;
240.000000;0.442119;19.000000;0.300000;-1.000000;0.224762;4.000000;0.000000;1.000000;0.833522;1.500000;1.500404;
240.000000;0.418327;20.000000;0.300000;-1.000000;0.200970;3.000000;0.000000;1.000000;0.881111;1.500000;1.500409;
250.000000;0.418327;20.000000;0.300000;-1.000000;0.200970;3.000000;0.000000;1.000000;0.881111;1.500000;1.500409;
260.000000;0.418327;20.000000;0.300000;-1.000000;0.200970;3.000000;0.000000;1.000000;0.881111;1.500000;1.500409;
260.000000;0.394536;21.000000;0.300000;-1.000000;0.177179;2.000000;0.000000;1.000000;0.928700;1.500000;1.500414;
270.000000;0.394536;21.000000;0.300000;-1.000000;0.177179;2.000000;0.000000;1.000000;0.928700;1.500000;1.500414;
280.000000;0.394536;21.000000;0.300000;-1.000000;0.177179;2.000000;0.000000;1.000000;0.928700;1.500000;1.500414;
280.000000;0.418866;21.000000;0.300000;-1.000000;0.129057;1.000000;0.000000;1.000000;0.952494;1.500000;1.500417;
290.000000;0.418866;21.000000;0.300000;-1.000000;0.129057;1.000000;0.000000;1.000000;0.952494;1.500000;1.500417;
300.000000;0.418866;21.000000;0.300000;-1.000000;0.129057;1.000000;0.000000;1.000000;0.952494;1.500000;1.500417;
310.000000;0.418866;21.000000;0.300000;-1.000000;0.129057;1.000000;0.000000;1.000000;0.952494;1.500000;1.500417;
320.000000;0.418866;21.000000;0.300000;-1.000000;0.129057;1.000000;0.000000;1.000000;0.952494;1.500000;1.500417;
320.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
330.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
340.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
350.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
360.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
370.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
380.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
390.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
400.000000;0.370744;22.000000;0.300000;-1.000000;0.153388;1.000000;0.000000;1.000000;0.976288;1.500000;1.500420;
400.000000;-0.300876;22.000000;0.300000;-1.000000;-0.518235;1.000000;0.000000;1.000000;0.319471;-0.500000;-0.499640;
410.000000;-0.300876;22.000000;0.300000;-1.000000;-0.518235;1.000000;0.000000;1.000000;0.319471;-0.500000;-0.499640;
420.000000;-0.300876;22.000000;0.300000;-1.000000;-0.518235;1.000000;0.000000;1.000000;0.319471;-0.500000;-0.499640;
430.000000;-0.300876;22.000000;0.300000;-1.000000;-0.518235;1.000000;0.000000;1.000000;0.319471;-0.500000;-0.499640;
440.000000;-0.300876;22.000000;0.300000;-1.000000;-0.518235;1.000000;0.000000;1.000000;0.319471;-0.500000;-0.499640;
440.000000;-0.252750;21.000000;0.300000;-1.000000;-0.542563;1.000000;0.000000;1.000000;0.295679;-0.500000;-0.499634;
450.000000;-0.252750;21.000000;0.300000;-1.000000;-0.542563;1.000000;0.000000;1.000000;0.295679;-0.500000;-0.499634;
450.000000;-0.277080;21.000000;0.300000;-1.000000;-0.494440;2.000000;0.000000;1.000000;0.271886;-0.500000;-0.499635;
460.000000;-0.277080;21.000000;0.300000;-1.000000;-0.494440;2.000000;0.000000;1.000000;0.271886;-0.500000;-0.499635;
460.000000;-0.228957;20.000000;0.300000;-1.000000;-0.518771;2.000000;0.000000;1.000000;0.248092;-0.500000;-0.499636;
470.000000;-0.228957;20.000000;0.300000;-1.000000;-0.518771;2.000000;0.000000;1.000000;0.248092;-0.500000;-0.499636;
470.000000;-0.253287;20.000000;0.300000;-1.000000;-0.470648;3.000000;0.000000;1.000000;0.224298;-0.500000;-0.499637;
480.000000;-0.253287;20.000000;0.300000;-1.000000;-0.470648;3.000000;0.000000;1.000000;0.224298;-0.500000;-0.499637;
480.000000;-0.205164;19.000000;0.300000;-1.000000;-0.494978;3.000000;0.000000;1.000000;0.200505;-0.500000;-0.499637;
490.000000;-0.205164;19.000000;0.300000;-1.000000;-0.494978;3.000000;0.000000;1.000000;0.200505;-0.500000;-0.499637;
490.000000;-0.229494;19.000000;0.300000;-1.000000;-0.446855;4.000000;0.000000;1.000000;0.176711;-0.500000;-0.499638;
500.000000;-0.229494;19.000000;0.300000;-1.000000;-0.446855;4.000000;0.000000;1.000000;0.176711;-0.500000;-0.499638;
500.000000;-0.181371;18.000000;0.300000;-1.000000;-0.471185;4.000000;0.000000;1.000000;0.152917;-0.500000;-0.499639;
510.000000;-0.181371;18.000000;0.300000;-1.000000;-0.471185;4.000000;0.000000;1.000000;0.152917;-0.500000;-0.499639;
510.000000;-0.205701;18.000000;0.300000;-1.000000;-0.423062;5.000000;0.000000;1.000000;0.129124;-0.500000;-0.499639;
520.000000;-0.205701;18.000000;0.300000;-1.000000;-0.423062;5.000000;0.000000;1.000000;0.129124;-0.500000;-0.499639;
520.000000;-0.157577;17.000000;0.300000;-1.000000;-0.447392;5.000000;0.000000;1.000000;0.105330;-0.500000;-0.499639;
530.000000;-0.157577;17.000000;0.300000;-1.000000;-0.447392;5.000000;0.000000;1.000000;0.105330;-0.500000;-0.499639;
530.000000;-0.181907;17.000000;0.300000;-1.000000;-0.399269;6.000000;0.000000;1.000000;0.081537;-0.500000;-0.499640;
540.000000;-0.181907;17.000000;0.300000;-1.000000;-0.399269;6.000000;0.000000;1.000000;0.081537;-0.500000;-0.499640;
540.000000;-0.124159;16.000000;0.300000;-1.000000;-0.428465;6.000000;0.000000;1.000000;0.052984;-0.500000;-0.499640;
550.000000;-0.124159;16.000000;0.300000;-1.000000;-0.428465;6.000000;0.000000;1.000000;0.052984;-0.500000;-0.499640;
550.000000;-0.148489;16.000000;0.300000;-1.000000;-0.380341;7.000000;0.000000;1.000000;0.029191;-0.500000;-0.499640;
560.000000;-0.148489;16.000000;0.300000;-1.000000;-0.380342;7.000000;0.000000;1.000000;0.029191;-0.500000;-0.499640;
560.000000;-0.090741;15.000000;0.300000;-1.000000;-0.409538;7.000000;0.000000;1.000000;0.000639;-0.500000;-0.499640;
570.000000;-0.090741;15.000000;0.300000;-1.000000;-0.409538;7.000000;0.000000;1.000000;0.000639;-0.500000;-0.499640;
570.000000;-0.115071;15.000000;0.300000;-1.000000;-0.361414;8.000000;0.000000;1.000000;-0.023155;-0.500000;-0.499640;
580.000000;-0.115071;15.000000;0.300000;-1.000000;-0.361415;8.000000;0.000000;1.000000;-0.023155;-0.500000;-0.499640;
580.000000;-0.076572;14.000000;0.300000;-1.000000;-0.380879;8.000000;0.000000;1.000000;-0.042190;-0.500000;-0.499640;
590.000000;-0.076572;14.000000;0.300000;-1.000000;-0.380879;8.000000;0.000000;1.000000;-0.042189;-0.500000;-0.499640;
590.000000;-0.100902;14.000000;0.300000;-1.000000;-0.332755;9.000000;0.000000;1.000000;-0.065983;-0.500000;-0.499640;
600.000000;-0.100902;14.000000;0.300000;-1.000000;-0.332755;9.000000;0.000000;1.000000;-0.065983;-0.500000;-0.499640;
600.000000;-0.062403;13.000000;0.300000;-1.000000;-0.352219;9.000000;0.000000;1.000000;-0.085018;-0.500000;-0.499640;
610.000000;-0.062403;13.000000;0.300000;-1.000000;-0.352219;9.000000;0.000000;1.000000;-0.085017;-0.500000;-0.499640;
610.000000;-0.091599;13.000000;0.300000;-1.000000;-0.294471;10.000000;0.000000;1.000000;-0.113570;-0.500000;-0.499640;
620.000000;-0.091599;13.000000;0.300000;-1.000000;-0.294471;10.000000;0.000000;1.000000;-0.113570;-0.500000;-0.499640;
620.000000;-0.053100;12.000000;0.300000;-1.000000;-0.313935;10.000000;0.000000;1.000000;-0.132604;-0.500000;-0.499640;
630.000000;-0.053100;12.000000;0.300000;-1.000000;-0.313935;10.000000;0.000000;1.000000;-0.132604;-0.500000;-0.499639;
630.000000;-0.082296;12.000000;0.300000;-1.000000;-0.256186;11.000000;0.000000;1.000000;-0.161156;-0.500000;-0.499639;
640.000000;-0.082296;12.000000;0.300000;-1.000000;-0.256186;11.000000;0.000000;1.000000;-0.161156;-0.500000;-0.499639;
640.000000;-0.043797;11.000000;0.300000;-1.000000;-0.275651;11.000000;0.000000;1.000000;-0.180191;-0.500000;-0.499639;
650.000000;-0.043797;11.000000;0.300000;-1.000000;-0.275651;11.000000;0.000000;1.000000;-0.180191;-0.500000;-0.499639;
650.000000;-0.063261;11.000000;0.300000;-1.000000;-0.237152;12.000000;0.000000;1.000000;-0.199226;-0.500000;-0.499638;
660.000000;-0.063261;11.000000;0.300000;-1.000000;-0.237152;12.000000;0.000000;1.000000;-0.199225;-0.500000;-0.499638;
660.000000;-0.005512;10.000000;0.300000;-1.000000;-0.266348;12.000000;0.000000;1.000000;-0.227777;-0.500000;-0.499638;
670.000000;-0.005512;10.000000;0.300000;-1.000000;-0.266348;12.000000;0.000000;1.000000;-0.227777;-0.500000;-0.499637;
670.000000;-0.024977;10.000000;0.300000;-1.000000;-0.227849;13.000000;0.000000;1.000000;-0.246812;-0.500000;-0.499637;
680.000000;-0.024977;10.000000;0.300000;-1.000000;-0.227849;13.000000;0.000000;1.000000;-0.246812;-0.500000;-0.499637;
680.000000;0.032772;9.000000;0.300000;-1.000000;-0.257045;13.000000;0.000000;1.000000;-0.275363;-0.500000;-0.499636;
690.000000;0.032772;9.000000;0.300000;-1.000000;-0.257045;13.000000;0.000000;1.000000;-0.275363;-0.500000;-0.499636;
690.000000;0.013308;9.000000;0.300000;-1.000000;-0.218546;14.000000;0.000000;1.000000;-0.294398;-0.500000;-0.499636;
700.000000;0.013308;9.000000;0.300000;-1.000000;-0.218546;14.000000;0.000000;1.000000;-0.294398;-0.500000;-0.499635;
700.000000;0.061432;8.000000;0.300000;-1.000000;-0.242876;14.000000;0.000000;1.000000;-0.318191;-0.500000;-0.499635;
710.000000;0.061432;8.000000;0.300000;-1.000000;-0.242876;14.000000;0.000000;1.000000;-0.318191;-0.500000;-0.499635;
710.000000;0.041968;8.000000;0.300000;-1.000000;-0.204377;15.000000;0.000000;1.000000;-0.337225;-0.500000;-0.499634;
720.000000;0.041968;8.000000;0.300000;-1.000000;-0.204377;15.000000;0.000000;1.000000;-0.337225;-0.500000;-0.499634;
720.000000;0.090092;7.000000;0.300000;-1.000000;-0.228708;15.000000;0.000000;1.000000;-0.361018;-0.500000;-0.499633;
730.000000;0.090092;7.000000;0.300000;-1.000000;-0.228708;15.000000;0.000000;1.000000;-0.361018;-0.500000;-0.499633;
730.000000;0.060896;7.000000;0.300000;-1.000000;-0.170958;16.000000;0.000000;1.000000;-0.389569;-0.500000;-0.499632;
740.000000;0.060896;7.000000;0.300000;-1.000000;-0.170958;16.000000;0.000000;1.000000;-0.389569;-0.500000;-0.499632;
740.000000;0.109020;6.000000;0.300000;-1.000000;-0.195289;16.000000;0.000000;1.000000;-0.413362;-0.500000;-0.499631;
750.000000;0.109020;6.000000;0.300000;-1.000000;-0.195289;16.000000;0.000000;1.000000;-0.413362;-0.500000;-0.499631;
750.000000;0.079824;6.000000;0.300000;-1.000000;-0.137540;17.000000;0.000000;1.000000;-0.441914;-0.500000;-0.499629;
760.000000;0.079824;6.000000;0.300000;-1.000000;-0.137540;17.000000;0.000000;1.000000;-0.441914;-0.500000;-0.499629;
760.000000;0.127949;5.000000;0.300000;-1.000000;-0.161870;17.000000;0.000000;1.000000;-0.465706;-0.500000;-0.499628;
770.000000;0.127949;5.000000;0.300000;-1.000000;-0.161870;17.000000;0.000000;1.000000;-0.465706;-0.500000;-0.499628;
770.000000;0.103618;5.000000;0.300000;-1.000000;-0.113746;18.000000;0.000000;1.000000;-0.489499;-0.500000;-0.499626;
780.000000;0.103618;5.000000;0.300000;-1.000000;-0.113746;18.000000;0.000000;1.000000;-0.489499;-0.500000;-0.499626;
780.000000;0.151743;4.000000;0.300000;-1.000000;-0.138076;18.000000;0.000000;1.000000;-0.513291;-0.500000;-0.499625;
790.000000;0.151743;4.000000;0.300000;-1.000000;-0.138076;18.000000;0.000000;1.000000;-0.513291;-0.500000;-0.499625;
790.000000;0.127412;4.000000;0.300000;-1.000000;-0.089952;19.000000;0.000000;1.000000;-0.537084;-0.500000;-0.499624;
800.000000;0.127412;4.000000;0.300000;-1.000000;-0.089952;19.000000;0.000000;1.000000;-0.537084;-0.500000;-0.499624;
800.000000;0.175537;3.000000;0.300000;-1.000000;-0.114282;19.000000;0.000000;1.000000;-0.560876;-0.500000;-0.499622;
810.000000;0.175537;3.000000;0.300000;-1.000000;-0.114282;19.000000;0.000000;1.000000;-0.560876;-0.500000;-0.499622;
820.000000;0.175537;3.000000;0.300000;-1.000000;-0.114282;19.000000;0.000000;1.000000;-0.560876;-0.500000;-0.499622;
820.000000;0.223661;2.000000;0.300000;-1.000000;-0.138613;19.000000;0.000000;1.000000;-0.584669;-0.500000;-0.499620;
830.000000;0.223661;2.000000;0.300000;-1.000000;-0.138613;19.000000;0.000000;1.000000;-0.584669;-0.500000;-0.499620;
840.000000;0.223661;2.000000;0.300000;-1.000000;-0.138613;19.000000;0.000000;1.000000;-0.584669;-0.500000;-0.499620;
850.000000;0.223661;2.000000;0.300000;-1.000000;-0.138613;19.000000;0.000000;1.000000;-0.584669;-0.500000;-0.499620;
850.000000;0.199331;2.000000;0.300000;-1.000000;-0.090488;20.000000;0.000000;1.000000;-0.608461;-0.500000;-0.499619;
860.000000;0.199331;2.000000;0.300000;-1.000000;-0.090488;20.000000;0.000000;1.000000;-0.608461;-0.500000;-0.499619;
870.000000;0.199331;2.000000;0.300000;-1.000000;-0.090488;20.000000;0.000000;1.000000;-0.608461;-0.500000;-0.499619;
880.000000;0.199331;2.000000;0.300000;-1.000000;-0.090488;20.000000;0.000000;1.000000;-0.608461;-0.500000;-0.499619;
890.000000;0.199331;2.000000;0.300000;-1.000000;-0.090488;20.000000;0.000000;1.000000;-0.608461;-0.500000;-0.499619;
890.000000;0.247455;1.000000;0.300000;-1.000000;-0.114819;20.000000;0.000000;1.000000;-0.632253;-0.500000;-0.499617;
900.000000;0.247455;1.000000;0.300000;-1.000000;-0.114819;20.000000;0.000000;1.000000;-0.632253;-0.500000;-0.499617;
910.000000;0.247455;1.000000;0.300000;-1.000000;-0.114819;20.000000;0.000000;1.000000;-0.632253;-0.500000;-0.499617;
