model;variable;value;
Generator;generator_UPu;0.9999997915;
Generator;generator_PGen;9.0849086868;
Generator;generator_QGen;1.5087753387;
Generator;generator_PGenPu;0.0908490869;
Generator;generator_QGenPu;0.0150877534;
NETWORK;Load_P;0.0900000000;
NETWORK;Load_Q;0.0100000000;
NETWORK;Transformer_i1;0.0920925644;
NETWORK;Transformer_i2;0.0920934331;
NETWORK;Transformer_P1;-0.0900000000;
NETWORK;Transformer_P2;0.0908490869;
NETWORK;Transformer_Q1;-0.0100000000;
NETWORK;Transformer_Q2;0.0150877534;
NETWORK;Transformer_iS1ToS2Side1;-5316.9666860110;
NETWORK;Transformer_iS2ToS1Side1;5316.9666860110;
NETWORK;Transformer_iS1ToS2Side2;-5317.0168402902;
NETWORK;Transformer_iS2ToS1Side2;5317.0168402902;
NETWORK;Transformer_iSide1;5316.9666860110;
NETWORK;Transformer_iSide2;5317.0168402902;
