time;Measurements_measurements_PPu;WTG4B_WTG4B_HvMeasurements_PPu;Measurements_measurements_QPu;WTG4B_WTG4B_HvMeasurements_QPu;Measurements_measurements_UPu;WTG4B_WTG4B_HvMeasurements_UPu;WTG4B_WTG4B_LvMeasurements_PPu;WTG4B_WTG4B_LvMeasurements_QPu;WTG4B_WTG4B_LvMeasurements_UPu;WTG4B_WTG4B_injector_PInjPuSn;WTG4B_WTG4B_injector_QInjPuSn;WTG4B_WTG4B_injector_UPu;WTG4B_WTG4B_injector_idPu;WTG4B_WTG4B_injector_iqPu;
0.000000;-0.700038;0.352897;-0.200010;0.143168;1.000000;1.004010;0.355158;0.152165;0.997238;0.355160;0.152167;0.997243;0.356149;-0.152570;
0.003000;-0.700046;0.352901;-0.199976;0.143151;0.999999;1.004003;0.355162;0.152148;0.997231;0.355164;0.152150;0.997236;0.356149;-0.152570;
0.006000;-0.700046;0.352901;-0.199975;0.143150;0.999999;1.004003;0.355162;0.152147;0.997230;0.355164;0.152149;0.997235;0.356149;-0.152570;
0.009000;-0.700046;0.352901;-0.199975;0.143150;0.999999;1.004003;0.355162;0.152147;0.997230;0.355164;0.152149;0.997235;0.356149;-0.152570;
0.012000;-0.700046;0.352900;-0.199975;0.143150;0.999999;1.004003;0.355162;0.152147;0.997230;0.355164;0.152149;0.997235;0.356149;-0.152570;
0.015000;-0.700045;0.352900;-0.199975;0.143150;0.999999;1.004003;0.355162;0.152147;0.997230;0.355163;0.152149;0.997235;0.356148;-0.152570;
0.018000;-0.700045;0.352900;-0.199975;0.143150;0.999999;1.004003;0.355162;0.152147;0.997230;0.355163;0.152149;0.997235;0.356148;-0.152570;
0.021000;-0.700045;0.352900;-0.199975;0.143150;0.999999;1.004003;0.355162;0.152147;0.997230;0.355163;0.152149;0.997235;0.356148;-0.152570;
0.024000;-0.700044;0.352900;-0.199975;0.143150;0.999999;1.004003;0.355161;0.152147;0.997230;0.355163;0.152149;0.997235;0.356148;-0.152570;
0.027000;-0.700044;0.352899;-0.199975;0.143150;0.999999;1.004003;0.355161;0.152147;0.997230;0.355163;0.152149;0.997235;0.356147;-0.152570;
0.030000;-0.700043;0.352899;-0.199975;0.143150;0.999999;1.004003;0.355161;0.152147;0.997230;0.355162;0.152149;0.997235;0.356147;-0.152570;
0.033000;-0.700042;0.352899;-0.199976;0.143150;0.999999;1.004003;0.355160;0.152147;0.997230;0.355162;0.152149;0.997235;0.356147;-0.152570;
0.036000;-0.700042;0.352898;-0.199976;0.143150;0.999999;1.004003;0.355160;0.152147;0.997230;0.355162;0.152149;0.997235;0.356146;-0.152570;
0.039000;-0.700041;0.352898;-0.199976;0.143151;0.999999;1.004003;0.355160;0.152147;0.997230;0.355161;0.152149;0.997235;0.356146;-0.152570;
0.042000;-0.700040;0.352897;-0.199976;0.143151;0.999999;1.004003;0.355159;0.152147;0.997230;0.355161;0.152149;0.997236;0.356145;-0.152570;
0.045000;-0.700039;0.352897;-0.199977;0.143151;0.999999;1.004003;0.355159;0.152147;0.997230;0.355160;0.152149;0.997236;0.356145;-0.152570;
0.048000;-0.700038;0.352896;-0.199977;0.143151;0.999999;1.004003;0.355158;0.152148;0.997231;0.355160;0.152149;0.997236;0.356144;-0.152570;
0.051000;-0.700037;0.352896;-0.199978;0.143151;0.999999;1.004003;0.355158;0.152148;0.997231;0.355159;0.152149;0.997236;0.356144;-0.152570;
0.054000;-0.700036;0.352895;-0.199978;0.143151;0.999999;1.004003;0.355157;0.152148;0.997231;0.355159;0.152149;0.997236;0.356143;-0.152570;
0.057000;-0.700035;0.352895;-0.199978;0.143151;0.999999;1.004003;0.355156;0.152148;0.997231;0.355158;0.152149;0.997236;0.356143;-0.152570;
0.060000;-0.700034;0.352894;-0.199979;0.143151;0.999999;1.004003;0.355156;0.152148;0.997231;0.355157;0.152149;0.997236;0.356142;-0.152570;
0.063000;-0.700032;0.352894;-0.199979;0.143151;0.999999;1.004003;0.355155;0.152148;0.997231;0.355157;0.152149;0.997236;0.356142;-0.152570;
0.066000;-0.700031;0.352893;-0.199980;0.143151;0.999999;1.004003;0.355155;0.152148;0.997231;0.355156;0.152150;0.997236;0.356141;-0.152571;
0.069000;-0.700030;0.352892;-0.199980;0.143152;0.999999;1.004003;0.355154;0.152148;0.997231;0.355156;0.152150;0.997236;0.356140;-0.152571;
0.072000;-0.700029;0.352892;-0.199981;0.143152;0.999999;1.004003;0.355153;0.152148;0.997231;0.355155;0.152150;0.997236;0.356140;-0.152571;
0.075000;-0.700028;0.352891;-0.199981;0.143152;0.999999;1.004003;0.355153;0.152148;0.997231;0.355154;0.152150;0.997236;0.356139;-0.152571;
0.078000;-0.700027;0.352891;-0.199982;0.143152;0.999999;1.004004;0.355152;0.152148;0.997231;0.355154;0.152150;0.997236;0.356138;-0.152571;
0.081000;-0.700026;0.352890;-0.199982;0.143152;0.999999;1.004004;0.355152;0.152149;0.997231;0.355153;0.152150;0.997236;0.356138;-0.152571;
0.084000;-0.700024;0.352890;-0.199983;0.143152;0.999999;1.004004;0.355151;0.152149;0.997231;0.355153;0.152150;0.997236;0.356137;-0.152571;
0.087000;-0.700023;0.352889;-0.199983;0.143152;0.999999;1.004004;0.355151;0.152149;0.997231;0.355152;0.152150;0.997236;0.356137;-0.152571;
0.090000;-0.700022;0.352889;-0.199984;0.143152;0.999999;1.004004;0.355150;0.152149;0.997231;0.355152;0.152150;0.997236;0.356136;-0.152571;
0.093000;-0.700021;0.352888;-0.199984;0.143153;0.999999;1.004004;0.355150;0.152149;0.997231;0.355151;0.152150;0.997236;0.356136;-0.152571;
0.096000;-0.700020;0.352888;-0.199984;0.143153;0.999999;1.004004;0.355149;0.152149;0.997231;0.355151;0.152151;0.997237;0.356135;-0.152571;
0.099000;-0.700019;0.352887;-0.199985;0.143153;0.999999;1.004004;0.355149;0.152149;0.997231;0.355150;0.152151;0.997237;0.356135;-0.152572;
0.102000;-0.700019;0.352887;-0.199985;0.143153;0.999999;1.004004;0.355148;0.152149;0.997232;0.355150;0.152151;0.997237;0.356134;-0.152572;
0.105000;-0.700018;0.352886;-0.199986;0.143153;0.999999;1.004004;0.355148;0.152149;0.997232;0.355149;0.152151;0.997237;0.356134;-0.152572;
0.108000;-0.700017;0.352886;-0.199986;0.143153;0.999999;1.004004;0.355147;0.152149;0.997232;0.355149;0.152151;0.997237;0.356133;-0.152572;
0.111000;-0.700016;0.352885;-0.199986;0.143153;0.999999;1.004004;0.355147;0.152149;0.997232;0.355148;0.152151;0.997237;0.356133;-0.152572;
0.114000;-0.700016;0.352885;-0.199987;0.143153;0.999999;1.004004;0.355147;0.152150;0.997232;0.355148;0.152151;0.997237;0.356132;-0.152572;
0.117000;-0.700015;0.352885;-0.199987;0.143153;0.999999;1.004004;0.355146;0.152150;0.997232;0.355148;0.152151;0.997237;0.356132;-0.152572;
0.120000;-0.700014;0.352884;-0.199987;0.143153;0.999999;1.004004;0.355146;0.152150;0.997232;0.355147;0.152151;0.997237;0.356132;-0.152572;
0.123000;-0.700014;0.352884;-0.199988;0.143153;0.999999;1.004004;0.355146;0.152150;0.997232;0.355147;0.152151;0.997237;0.356132;-0.152572;
0.126000;-0.700013;0.352884;-0.199988;0.143154;0.999999;1.004004;0.355145;0.152150;0.997232;0.355147;0.152151;0.997237;0.356131;-0.152572;
0.129000;-0.700013;0.352884;-0.199988;0.143154;0.999999;1.004004;0.355145;0.152150;0.997232;0.355147;0.152151;0.997237;0.356131;-0.152572;
0.132000;-0.700012;0.352884;-0.199988;0.143154;0.999999;1.004004;0.355145;0.152150;0.997232;0.355147;0.152151;0.997237;0.356131;-0.152572;
0.135000;-0.700012;0.352883;-0.199988;0.143154;0.999999;1.004005;0.355145;0.152150;0.997232;0.355146;0.152152;0.997237;0.356131;-0.152572;
0.138000;-0.700012;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355145;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152572;
0.141000;-0.700012;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355145;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152572;
0.144000;-0.700011;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152572;
0.147000;-0.700011;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.150000;-0.700011;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.153000;-0.700011;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.156000;-0.700011;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.159000;-0.700011;0.352883;-0.199989;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.162000;-0.700010;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.165000;-0.700010;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355145;0.152152;0.997237;0.356130;-0.152573;
0.168000;-0.700010;0.352882;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355145;0.152152;0.997237;0.356130;-0.152573;
0.171000;-0.700010;0.352882;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355145;0.152152;0.997237;0.356130;-0.152573;
0.174000;-0.700010;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152150;0.997232;0.355145;0.152152;0.997237;0.356130;-0.152573;
0.177000;-0.700010;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.180000;-0.700010;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.183000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.186000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.189000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.192000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.195000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.198000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.201000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.204000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.207000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.210000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.213000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.216000;-0.700011;0.352883;-0.199990;0.143154;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.219000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.222000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.225000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.228000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.231000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.234000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.237000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355145;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.240000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355145;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.243000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355145;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.246000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.249000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.252000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.255000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.258000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.261000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.264000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.267000;-0.700011;0.352883;-0.199990;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997237;0.356130;-0.152573;
0.270000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997238;0.356130;-0.152573;
0.273000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152152;0.997238;0.356130;-0.152573;
0.276000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152153;0.997238;0.356130;-0.152573;
0.279000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152153;0.997238;0.356130;-0.152573;
0.282000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152153;0.997238;0.356130;-0.152573;
0.285000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152153;0.997238;0.356130;-0.152573;
0.288000;-0.700011;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152153;0.997238;0.356130;-0.152573;
0.291000;-0.700010;0.352883;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355146;0.152153;0.997238;0.356130;-0.152573;
0.294000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355145;0.152153;0.997238;0.356130;-0.152573;
0.297000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997232;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.300000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.303000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.306000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.309000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.312000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.315000;-0.700010;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.318000;-0.700009;0.352882;-0.199991;0.143155;0.999999;1.004005;0.355144;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.321000;-0.700009;0.352882;-0.199991;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.324000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152573;
0.327000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.330000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.333000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.336000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.339000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.342000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.345000;-0.700009;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355145;0.152153;0.997238;0.356129;-0.152574;
0.348000;-0.700008;0.352882;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355144;0.152153;0.997238;0.356129;-0.152574;
0.351000;-0.700008;0.352881;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355144;0.152153;0.997238;0.356128;-0.152574;
0.354000;-0.700008;0.352881;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355144;0.152153;0.997238;0.356128;-0.152574;
0.357000;-0.700008;0.352881;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355144;0.152153;0.997238;0.356128;-0.152574;
0.360000;-0.700008;0.352881;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355144;0.152153;0.997238;0.356128;-0.152574;
0.363000;-0.700008;0.352881;-0.199992;0.143155;1.000000;1.004005;0.355143;0.152151;0.997233;0.355144;0.152153;0.997238;0.356128;-0.152574;
