           (-2.74145e-16,0)            (-5.30661e-17,0)             (5.33062e-05,0)       (-0.698184,-0.295829)        (-0.698184,0.295829)   (1.11033e-13,2.98896e-14)  (1.11033e-13,-2.98896e-14)               (6.738e-16,0)            (-0.000288347,0)            (-0.000186797,0)            (-1.61015e-17,0)              (5.8947e-05,0)            (-5.20297e-05,0)            (-8.74826e-05,0)
            (1.30137e-16,0)            (-4.05734e-17,0)             (-0.00086713,0)       (-0.154101,-0.632155)        (-0.154101,0.632155)   (3.63877e-14,9.17729e-14)  (3.63877e-14,-9.17729e-14)             (1.77254e-16,0)                 (0.02885,0)                (0.018878,0)             (1.72236e-16,0)             (-0.00594284,0)              (0.00521873,0)              (0.00878143,0)
           (-1.56613e-16,0)             (1.76759e-16,0)            (-1.23607e-17,0)   (1.18761e-18,3.55917e-18)  (1.18761e-18,-3.55917e-18)   (2.97251e-18,1.08578e-17)  (2.97251e-18,-1.08578e-17)            (-4.45889e-17,0)               (-0.861561,0)               (-0.563093,0)             (1.45337e-16,0)                (0.177314,0)               (-0.155803,0)               (-0.262143,0)
            (3.84218e-18,0)            (-4.42762e-18,0)             (2.66167e-17,0)  (-7.1193e-19,-5.90475e-18)   (-7.1193e-19,5.90475e-18) (-1.26569e-18,-4.35774e-17)  (-1.26569e-18,4.35774e-17)             (6.55037e-17,0)              (-0.0774423,0)                (0.300739,0)            (-8.65963e-18,0)                (0.750258,0)                (0.504788,0)                (0.255025,0)
            (-5.5737e-21,0)            (-3.98738e-16,0)            (-1.01244e-16,0)  (-4.07426e-18,4.56058e-17) (-4.07426e-18,-4.56058e-17)  (2.58941e-16,-7.05561e-16)   (2.58941e-16,7.05561e-16)              (1.7192e-14,0)             (8.90696e-17,0)             (1.18587e-16,0)                      (-1,0)             (2.65167e-18,0)             (7.86278e-17,0)             (1.45343e-16,0)
           (-4.53894e-17,0)            (-2.55354e-15,0)               (-0.995097,0)       (0.0250774,0.0077591)      (0.0250774,-0.0077591) (-3.98097e-15,-6.14911e-16)  (-3.98097e-15,6.14911e-16)            (-2.52902e-16,0)               (0.0382746,0)              (-0.0588022,0)             (8.74856e-17,0)               (0.0121513,0)              (0.00113578,0)             (-0.00105143,0)
            (1.88934e-28,0)            (-2.26235e-21,0)            (-7.95747e-22,0)  (-7.5416e-19,-1.12256e-18)   (-7.5416e-19,1.12256e-18)  (-4.31754e-17,6.08309e-18) (-4.31754e-17,-6.08309e-18)             (-4.9656e-17,0)               (-0.499417,0)                (0.767247,0)               (2.461e-17,0)               (-0.158549,0)              (-0.0148214,0)               (0.0137163,0)
            (9.36707e-05,0)            (-0.000883205,0)             (-0.00038941,0)      (-0.0161844,0.0170068)     (-0.0161844,-0.0170068)         (0.264169,0.707359)        (0.264169,-0.707359)             (0.000126433,0)            (-2.07499e-07,0)             (3.18749e-07,0)             (2.30854e-15,0)            (-3.14295e-05,0)            (-6.82213e-05,0)            (-0.000175893,0)
             (0.00118903,0)               (0.0471192,0)              (0.00627645,0)    (-0.0202579,-0.00246112)     (-0.0202579,0.00246112)         (-0.35533,0.550995)        (-0.35533,-0.550995)             (0.000117475,0)            (-2.88781e-06,0)             (4.43611e-06,0)             (1.56247e-15,0)              (0.00318769,0)              (0.00693506,0)               (0.0178829,0)
            (4.70218e-47,0)            (-1.02069e-36,0)            (-6.82499e-37,0)  (8.45744e-32,-2.11296e-32)   (8.45744e-32,2.11296e-32)  (5.75117e-31,-2.75844e-30)   (5.75117e-31,2.75844e-30)             (7.01366e-27,0)            (-3.29587e-12,0)              (5.0634e-12,0)             (5.68822e-17,0)              (-0.0951893,0)               (-0.207034,0)               (-0.533854,0)
                      (0,0)                       (0,0)                       (0,0)                       (0,0)                      (0,-0)                       (0,0)                      (0,-0)                       (0,0)                       (0,0)                       (0,0)                       (0,0)                (0.609329,0)               (-0.823259,0)               (-0.762008,0)
              (0.0034336,0)                (0.136946,0)               (0.0183663,0) (-0.000183408,-4.32381e-05)  (-0.000183408,4.32381e-05)   (-0.000808555,0.00131214)  (-0.000808555,-0.00131214)               (-0.999368,0)            (-8.33914e-06,0)             (1.28102e-05,0)            (-1.80794e-14,0)             (-2.6471e-06,0)            (-2.47481e-07,0)             (2.29067e-07,0)
              (-0.688461,0)                (0.717539,0)               (0.0707353,0)  (-6.55416e-05,5.50149e-05) (-6.55416e-05,-5.50149e-05)   (0.000243572,0.000607534)  (0.000243572,-0.000607534)              (-0.0251711,0)            (-0.000257014,0)             (0.000394812,0)            (-3.69941e-16,0)            (-8.15817e-05,0)            (-7.62205e-06,0)             (7.07375e-06,0)
               (0.725264,0)                (0.681294,0)               (0.0663405,0)     (-6.103e-05,5.1338e-05)    (-6.103e-05,-5.1338e-05)   (0.000240438,0.000605508)  (0.000240438,-0.000605508)              (-0.0251096,0)            (-0.000416957,0)             (0.000640509,0)            (-3.73992e-16,0)            (-0.000132355,0)            (-1.23741e-05,0)             (1.14533e-05,0)
