time;NETWORK_1011_131_Upu_value;NETWORK_4011_401_Upu_value;NETWORK_B11___21_Upu_value;NETWORK_BG09__11_Upu_value;NETWORK_1012_131_Upu_value;NETWORK_4012_401_Upu_value;NETWORK_B12___21_Upu_value;NETWORK_BG01__11_Upu_value;NETWORK_BG10__11_Upu_value;NETWORK_1013_131_Upu_value;NETWORK_B13___21_Upu_value;NETWORK_BG02__11_Upu_value;NETWORK_1014_131_Upu_value;NETWORK_BG03__11_Upu_value;NETWORK_1021_131_Upu_value;NETWORK_BG04__11_Upu_value;NETWORK_1022_131_Upu_value;NETWORK_4022_401_Upu_value;NETWORK_B22___21_Upu_value;NETWORK_BG05__11_Upu_value;NETWORK_1041_131_Upu_value;NETWORK_B01___21_Upu_value;NETWORK_1042_131_Upu_value;NETWORK_B02___21_Upu_value;NETWORK_BG06__11_Upu_value;NETWORK_1043_131_Upu_value;NETWORK_B03___21_Upu_value;NETWORK_BG07__11_Upu_value;NETWORK_1044_131_Upu_value;NETWORK_4044_401_Upu_value;NETWORK_B04___21_Upu_value;NETWORK_1045_131_Upu_value;NETWORK_4045_401_Upu_value;NETWORK_B05___21_Upu_value;NETWORK_2031_221_Upu_value;NETWORK_4031_401_Upu_value;NETWORK_B31___21_Upu_value;NETWORK_BG12__11_Upu_value;NETWORK_2032_221_Upu_value;NETWORK_B32___21_Upu_value;NETWORK_BG08__11_Upu_value;NETWORK_4021_401_Upu_value;NETWORK_BG11__11_Upu_value;NETWORK_4032_401_Upu_value;NETWORK_4041_401_Upu_value;NETWORK_B41___21_Upu_value;NETWORK_BG13__11_Upu_value;NETWORK_4042_401_Upu_value;NETWORK_B42___21_Upu_value;NETWORK_BG14__11_Upu_value;NETWORK_4043_401_Upu_value;NETWORK_B43___21_Upu_value;NETWORK_4046_401_Upu_value;NETWORK_B46___21_Upu_value;NETWORK_4047_401_Upu_value;NETWORK_B47___21_Upu_value;NETWORK_BG15__11_Upu_value;NETWORK_4051_401_Upu_value;NETWORK_B51___21_Upu_value;NETWORK_BG16__11_Upu_value;NETWORK_4061_401_Upu_value;NETWORK_B61___21_Upu_value;NETWORK_4062_401_Upu_value;NETWORK_B62___21_Upu_value;NETWORK_BG17__11_Upu_value;NETWORK_4063_401_Upu_value;NETWORK_B63___21_Upu_value;NETWORK_BG18__11_Upu_value;NETWORK_4071_401_Upu_value;NETWORK_B71___21_Upu_value;NETWORK_BG19__11_Upu_value;NETWORK_4072_401_Upu_value;NETWORK_B72___21_Upu_value;NETWORK_BG20__11_Upu_value;
12.000000;1.063050;1.023119;1.003771;1.002541;1.065936;1.025078;0.999903;1.072345;1.019529;1.057953;0.998696;1.060467;1.064585;1.063561;1.037385;1.041802;1.048580;0.989880;0.992696;1.032732;0.991256;0.977887;1.009419;0.996163;1.011792;1.007788;0.978277;1.016120;0.979568;1.009965;0.972738;0.989216;1.030400;0.974512;1.011705;1.016830;0.988344;1.021387;1.067203;0.995647;1.053193;1.029759;1.022597;1.026018;1.017442;0.965203;1.005798;1.009883;0.963688;1.045728;1.010857;0.976009;1.014715;0.978725;1.045686;0.982376;1.048055;1.054774;0.987294;1.055804;1.025813;0.982507;1.052707;0.997060;1.016814;1.056295;1.001805;1.038542;1.048977;1.003270;1.030169;1.059216;0.997601;1.018636;
14.000000;1.062557;1.022671;1.003304;1.001879;1.065368;1.024593;0.999369;1.071659;1.018862;1.057330;0.998107;1.059775;1.063936;1.062857;1.036146;1.040399;1.048107;0.989559;0.992247;1.032076;0.990590;0.977228;1.008710;0.995461;1.011055;1.007148;0.977655;1.015431;0.979043;1.009447;0.972215;0.988567;1.029731;0.973870;1.011416;1.016605;0.988060;1.020831;1.066626;0.995107;1.052525;1.029510;1.022034;1.025779;1.017294;0.965062;1.006433;1.009466;0.963289;1.045164;1.010327;0.975496;1.014144;0.978173;1.045056;0.981782;1.047357;1.054066;0.986629;1.055094;1.024865;0.981596;1.051384;0.995805;1.015297;1.054830;1.000412;1.037031;1.048821;1.003120;1.030149;1.059184;0.997571;1.018636;
16.000000;1.062099;1.022253;1.002871;1.001274;1.064846;1.024145;0.998878;1.071035;1.018253;1.056761;0.997568;1.059146;1.063345;1.062218;1.035017;1.039125;1.047656;0.989243;0.991819;1.031477;0.989961;0.976606;1.008062;0.994819;1.010391;1.006544;0.977066;1.014799;0.978537;1.008946;0.971711;0.987954;1.029100;0.973264;1.011120;1.016363;0.987770;1.020315;1.066090;0.994606;1.051917;1.029252;1.021513;1.025523;1.017105;0.964883;1.006907;1.009053;0.962894;1.044621;1.009819;0.975004;1.013602;0.977649;1.044465;0.981226;1.046719;1.053410;0.986013;1.054448;1.023985;0.980751;1.050181;0.994662;1.013928;1.053506;0.999154;1.035673;1.048676;1.002981;1.030132;1.059153;0.997542;1.018634;
18.000000;1.061685;1.021873;1.002479;1.000732;1.064376;1.023739;0.998437;1.070477;1.017707;1.056251;0.997085;1.058584;1.062815;1.061649;1.034008;1.037989;1.047243;0.988948;0.991427;1.030940;0.989387;0.976038;1.007481;0.994244;1.009800;1.005992;0.976529;1.014230;0.978070;1.008481;0.971246;0.987394;1.028524;0.972712;1.010837;1.016127;0.987494;1.019847;1.065606;0.994153;1.051372;1.029003;1.021040;1.025274;1.016907;0.964695;1.007270;1.008664;0.962522;1.044117;1.009350;0.974550;1.013106;0.977169;1.043929;0.980721;1.046146;1.052816;0.985456;1.053870;1.023190;0.979988;1.049108;0.993643;1.012715;1.052330;0.998036;1.034470;1.048543;1.002853;1.030117;1.059123;0.997514;1.018631;
18.000000;1.061685;1.021873;1.002479;1.000732;1.064376;1.023739;0.998437;1.070477;1.017707;1.056251;0.997085;1.058584;1.062815;1.061649;1.034008;1.037989;1.047243;0.988948;0.991427;1.030940;0.989387;0.976038;1.007481;0.994244;1.009800;1.005992;0.976529;1.014230;0.978070;1.008481;0.971246;0.987394;1.028524;0.972712;1.010837;1.016127;0.987494;1.019847;1.065606;0.994153;1.051372;1.029003;1.021040;1.025274;1.016907;0.964695;1.007270;1.008664;0.962522;1.044117;1.009350;0.974550;1.013106;0.977169;1.043929;0.980721;1.046146;1.052816;0.985456;1.053870;1.023190;0.979988;1.049108;0.993643;1.012715;1.052330;0.998036;1.034470;1.048543;1.002853;1.030117;1.059123;0.997514;1.018631;
20.000000;1.061316;1.021534;1.002129;1.000251;1.063959;1.023378;0.998045;1.069983;1.017224;1.055799;0.996658;1.058087;1.062347;1.061146;1.033117;1.036987;1.046871;0.988679;0.991074;1.030463;0.988871;0.975528;1.006966;0.993735;1.009281;1.005496;0.976046;1.013725;0.977648;1.008061;0.970826;0.986893;1.028007;0.972216;1.010577;1.015904;0.987239;1.019427;1.065174;0.993749;1.050890;1.028771;1.020617;1.025041;1.016714;0.964510;1.007551;1.008309;0.962182;1.043660;1.008926;0.974140;1.012659;0.976737;1.043449;0.980270;1.045640;1.052287;0.984960;1.053359;1.022483;0.979309;1.048162;0.992745;1.011651;1.051297;0.997054;1.033415;1.048423;1.002739;1.030103;1.059096;0.997488;1.018627;
20.000000;1.061316;1.021534;1.002129;1.000251;1.063959;1.023378;0.998045;1.069983;1.017224;1.055799;0.996658;1.058087;1.062347;1.061146;1.033117;1.036987;1.046871;0.988679;0.991074;1.030463;0.988871;0.975528;1.006966;0.993735;1.009281;1.005496;0.976046;1.013725;0.977648;1.008061;0.970826;0.986893;1.028007;0.972216;1.010577;1.015904;0.987239;1.019427;1.065174;0.993749;1.050890;1.028771;1.020617;1.025041;1.016714;0.964510;1.007551;1.008309;0.962182;1.043660;1.008926;0.974140;1.012659;0.976737;1.043449;0.980270;1.045640;1.052287;0.984960;1.053359;1.022483;0.979309;1.048162;0.992745;1.011651;1.051297;0.997054;1.033415;1.048423;1.002739;1.030103;1.059096;0.997488;1.018627;
22.000000;1.060989;1.021234;1.001820;0.999829;1.063592;1.023058;0.997699;1.069550;1.016799;1.055402;0.996282;1.057652;1.061936;1.060706;1.032336;1.036110;1.046540;0.988438;0.990760;1.030044;0.988414;0.975076;1.006515;0.993288;1.008827;1.005057;0.975618;1.013281;0.977271;1.007685;0.970451;0.986448;1.027549;0.971777;1.010341;1.015701;0.987008;1.019055;1.064792;0.993392;1.050467;1.028559;1.020242;1.024827;1.016531;0.964337;1.007770;1.007989;0.961876;1.043250;1.008548;0.973775;1.012263;0.976354;1.043025;0.979870;1.045195;1.051821;0.984523;1.052912;1.021862;0.978712;1.047336;0.991960;1.010725;1.050396;0.996197;1.032496;1.048317;1.002637;1.030091;1.059070;0.997464;1.018623;
24.000000;1.060703;1.020970;1.001549;0.999460;1.063271;1.022778;0.997397;1.069173;1.016428;1.055056;0.995955;1.057273;1.061579;1.060323;1.031657;1.035348;1.046248;0.988223;0.990483;1.029678;0.988013;0.974679;1.006122;0.992899;1.008434;1.004671;0.975242;1.012895;0.976940;1.007354;0.970120;0.986059;1.027147;0.971393;1.010131;1.015516;0.986802;1.018727;1.064459;0.993080;1.050098;1.028368;1.019912;1.024634;1.016364;0.964177;1.007943;1.007705;0.961604;1.042889;1.008216;0.973453;1.011914;0.976017;1.042654;0.979520;1.044808;1.051414;0.984141;1.052523;1.021319;0.978192;1.046619;0.991280;1.009926;1.049616;0.995455;1.031702;1.048223;1.002547;1.030081;1.059047;0.997442;1.018618;
26.000000;1.060454;1.020740;1.001313;0.999140;1.062992;1.022534;0.997136;1.068847;1.016107;1.054757;0.995671;1.056946;1.061269;1.059993;1.031072;1.034691;1.045992;0.988032;0.990240;1.029362;0.987664;0.974334;1.005783;0.992564;1.008096;1.004336;0.974916;1.012561;0.976650;1.007064;0.969832;0.985720;1.026798;0.971058;1.009944;1.015352;0.986619;1.018442;1.064170;0.992810;1.049780;1.028198;1.019625;1.024462;1.016212;0.964034;1.008081;1.007455;0.961365;1.042573;1.007925;0.973171;1.011611;0.975724;1.042332;0.979217;1.044474;1.051062;0.983810;1.052188;1.020851;0.977742;1.046002;0.990694;1.009240;1.048946;0.994818;1.031021;1.048141;1.002468;1.030072;1.059026;0.997422;1.018612;
