time;Generator1_generator_UPu;Generator1_generator_UStatorPu;Generator1_generator_UStatorRefPu;Generator1_generator_PGenPu;Generator1_generator_QGenPu;Generator1_generator_QMaxPu;Generator1_generator_QMinPu;Generator1_reactivePowerControlLoop_level;Generator1_reactivePowerControlLoop_QStatorPu;Generator1_reactivePowerControlLoop_UStatorRefPu;Generator2_generator_UPu;Generator2_generator_UStatorPu;Generator2_generator_UStatorRefPu;Generator2_generator_PGenPu;Generator2_generator_QGenPu;Generator2_generator_QMaxPu;Generator2_generator_QMinPu;Generator2_reactivePowerControlLoop_level;Generator2_reactivePowerControlLoop_QStatorPu;Generator2_reactivePowerControlLoop_UStatorRefPu;SVC_UpPu;SVC_UpRefPu;SVC_level;Generator3_generator_UPu;Generator3_generator_UStatorPu;Generator3_generator_UStatorRefPu;Generator3_generator_PGenPu;Generator3_generator_QGenPu;Generator3_generator_QMaxPu;Generator3_generator_QMinPu;Generator3_reactivePowerControlLoop_level;Generator3_reactivePowerControlLoop_QStatorPu;Generator3_reactivePowerControlLoop_UStatorRefPu;Generator4_generator_UPu;Generator4_generator_UStatorPu;Generator4_generator_UStatorRefPu;Generator4_generator_PGenPu;Generator4_generator_QGenPu;Generator4_generator_QMaxPu;Generator4_generator_QMinPu;Generator4_reactivePowerControlLoop_level;Generator4_reactivePowerControlLoop_QStatorPu;Generator4_reactivePowerControlLoop_UStatorRefPu;SVC2_UpPu;SVC2_UpRefPu;SVC2_level;
0.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;1.049436;1.075000;1.075000;1.500000;0.486641;0.620000;-2.000000;0.219064;0.299771;1.075000;1.049436;1.075000;1.075000;1.500000;0.486641;2.000000;-1.250000;0.219064;0.299771;1.075000;1.049436;1.050000;0.219064;
10.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;1.049436;1.075000;1.075000;1.500000;0.486641;0.620000;-2.000000;0.219064;0.299771;1.075000;1.049436;1.075000;1.075000;1.500000;0.486641;2.000000;-1.250000;0.219064;0.299771;1.075000;1.049436;1.050000;0.219934;
20.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;1.049436;1.075000;1.075000;1.500000;0.486641;0.620000;-2.000000;0.219934;0.299771;1.075000;1.049436;1.075000;1.075000;1.500000;0.486641;2.000000;-1.250000;0.219934;0.299771;1.075000;1.049436;1.050000;0.220108;
30.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;1.049436;1.075000;1.075000;1.500000;0.486641;0.620000;-2.000000;0.220108;0.299771;1.075000;1.049436;1.075000;1.075000;1.500000;0.486641;2.000000;-1.250000;0.220108;0.299771;1.075000;1.049436;1.050000;0.220282;
40.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;1.049436;1.075000;1.075000;1.500000;0.486641;0.620000;-2.000000;0.220282;0.299771;1.075000;1.049436;1.075000;1.075000;1.500000;0.486641;2.000000;-1.250000;0.220282;0.299771;1.075000;1.049436;1.050000;0.220457;
50.000000;1.050000;1.076183;1.076183;1.500000;0.500000;0.620000;-2.000000;0.219064;0.306689;1.076183;1.050000;1.076183;1.076183;1.500000;0.500000;2.000000;-1.250000;0.219064;0.306689;1.076183;1.050000;1.050000;0.219064;1.049436;1.075000;1.075000;1.500000;0.486641;0.620000;-2.000000;0.220457;0.299771;1.075000;1.049436;1.075000;1.075000;1.500000;0.486641;2.000000;-1.250000;0.220457;0.299771;1.075000;1.049436;1.050000;0.220631;
50.000000;1.055540;1.076183;1.076183;1.500000;0.386203;0.620000;-2.000000;0.219064;0.246934;1.076183;1.055540;1.076183;1.076183;1.500000;0.386203;2.000000;-1.250000;0.219064;0.246934;1.076183;1.055540;1.050000;0.219064;1.054772;1.075000;1.075000;1.500000;0.377061;0.620000;-2.000000;0.220631;0.242285;1.075000;1.054772;1.075000;1.075000;1.500000;0.377061;2.000000;-1.250000;0.220631;0.242285;1.075000;1.054772;1.050000;0.220631;
60.000000;1.056840;1.078183;1.078183;1.500000;0.401676;0.620000;-2.000000;0.219064;0.254807;1.078183;1.056840;1.078183;1.078183;1.500000;0.401676;2.000000;-1.250000;0.219064;0.254807;1.078183;1.056840;1.050000;0.208508;1.054772;1.075000;1.075000;1.500000;0.377061;0.620000;-2.000000;0.220631;0.242285;1.075000;1.054772;1.075000;1.075000;1.500000;0.377061;2.000000;-1.250000;0.220631;0.242285;1.075000;1.054772;1.050000;0.212570;
70.000000;1.058140;1.080183;1.080183;1.500000;0.417205;0.620000;-2.000000;0.208508;0.262722;1.080183;1.058140;1.080183;1.080183;1.500000;0.417205;2.000000;-1.250000;0.208508;0.262722;1.080183;1.058140;1.050000;0.204391;1.054772;1.075000;1.075000;1.500000;0.377061;0.620000;-2.000000;0.212570;0.242285;1.075000;1.054772;1.075000;1.075000;1.500000;0.377061;2.000000;-1.250000;0.212570;0.242285;1.075000;1.054772;1.050000;0.211098;
70.000000;1.048313;1.080000;1.080000;1.600000;0.607761;0.620000;-2.000000;0.204391;0.370520;1.080000;1.048313;1.052029;1.080000;1.600000;0.019802;0.019802;-1.200000;0.204391;0.068147;1.080000;1.048313;1.050000;0.204391;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.211098;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.211098;0.068415;1.075000;1.045910;1.050000;0.211098;
80.000000;1.048313;1.080000;1.080000;1.600000;0.607761;0.620000;-2.000000;0.204391;0.370520;1.080000;1.048313;1.052029;1.080000;1.600000;0.019802;0.019802;-1.200000;0.204391;0.068147;1.080000;1.048313;1.050000;0.217044;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.211098;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.211098;0.068415;1.075000;1.045910;1.050000;0.223300;
80.000000;1.047440;1.078183;1.078183;1.600000;0.587288;0.620000;-2.000000;0.217044;0.359837;1.078183;1.047440;1.051163;1.080000;1.600000;0.019802;0.019802;-1.200000;0.217044;0.068244;1.080000;1.047440;1.050000;0.217044;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.223300;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.223300;0.068415;1.075000;1.045910;1.050000;0.223300;
90.000000;1.046478;1.076183;1.076183;1.600000;0.564776;0.620000;-2.000000;0.217044;0.348101;1.076183;1.046478;1.050211;1.080000;1.600000;0.019802;0.019802;-1.200000;0.217044;0.068351;1.080000;1.046478;1.050000;0.220396;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.223300;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.223300;0.068415;1.075000;1.045910;1.050000;0.224563;
100.000000;1.045517;1.074183;1.074183;1.600000;0.542325;0.620000;-2.000000;0.220396;0.336427;1.074183;1.045517;1.049258;1.080000;1.600000;0.019802;0.019802;-1.200000;0.220396;0.068459;1.080000;1.045517;1.050000;0.222966;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.224563;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.224563;0.068415;1.075000;1.045910;1.050000;0.225825;
100.000000;1.045517;1.074183;1.074183;1.600000;0.542345;0.620000;-2.000000;0.220396;0.336449;1.074183;1.045517;1.049258;1.080000;1.600000;0.019802;0.019802;-1.200000;0.220396;0.068459;1.080000;1.045517;1.050000;0.222966;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.224563;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.224563;0.068415;1.075000;1.045910;1.050000;0.225825;
110.000000;1.044956;1.073016;1.073016;1.600000;0.529261;0.620000;-2.000000;0.222966;0.329652;1.073016;1.044956;1.048702;1.080000;1.600000;0.019802;0.019802;-1.200000;0.222966;0.068522;1.080000;1.044956;1.050000;0.225215;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.225825;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.225825;0.068415;1.075000;1.045910;1.050000;0.227088;
120.000000;1.044625;1.072326;1.072326;1.600000;0.521539;0.620000;-2.000000;0.225215;0.325649;1.072326;1.044625;1.048374;1.080000;1.600000;0.019802;0.019802;-1.200000;0.225215;0.068559;1.080000;1.044625;1.050000;0.227283;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.227088;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.227088;0.068415;1.075000;1.045910;1.050000;0.228350;
130.000000;1.044453;1.071968;1.071968;1.600000;0.517530;0.620000;-2.000000;0.227283;0.323571;1.071968;1.044453;1.048203;1.080000;1.600000;0.019802;0.019802;-1.200000;0.227283;0.068578;1.080000;1.044453;1.050000;0.229208;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.228350;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.228350;0.068415;1.075000;1.045910;1.050000;0.229612;
140.000000;1.044391;1.071839;1.071839;1.600000;0.516088;0.620000;-2.000000;0.229208;0.322824;1.071839;1.044391;1.048141;1.080000;1.600000;0.019802;0.019802;-1.200000;0.229208;0.068585;1.080000;1.044391;1.050000;0.231016;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.229612;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.229612;0.068415;1.075000;1.045910;1.050000;0.230875;
150.000000;1.044405;1.071868;1.071868;1.600000;0.516410;0.620000;-2.000000;0.231016;0.322991;1.071868;1.044405;1.048155;1.080000;1.600000;0.019802;0.019802;-1.200000;0.231016;0.068584;1.080000;1.044405;1.050000;0.232726;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.230875;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.230875;0.068415;1.075000;1.045910;1.050000;0.232137;
160.000000;1.044470;1.072004;1.072004;1.600000;0.517930;0.620000;-2.000000;0.232726;0.323779;1.072004;1.044470;1.048220;1.080000;1.600000;0.019802;0.019802;-1.200000;0.232726;0.068576;1.080000;1.044470;1.050000;0.234352;1.045910;1.075000;1.075000;1.600000;0.551517;0.620000;-2.000000;0.232137;0.341214;1.075000;1.045910;1.049647;1.075000;1.600000;0.019802;0.019802;-1.200000;0.232137;0.068415;1.075000;1.045910;1.050000;0.233399;
