time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
2.238519;0.759775;-0.222071;1.007861;0.995654;0.156370;-0.710537;-0.334632;
2.293529;0.697177;-0.226426;1.008707;0.998868;0.140480;-0.653168;-0.318544;
2.348539;0.635123;-0.231109;1.009135;1.001380;0.124762;-0.596238;-0.305076;
2.403548;0.573644;-0.235923;1.009220;1.003276;0.109216;-0.539775;-0.293912;
2.458558;0.512713;-0.240696;1.009023;1.004633;0.093831;-0.483752;-0.284768;
2.499000;0.468534;-0.244623;1.008672;1.005158;0.082702;-0.443106;-0.279825;
2.499000;0.468633;-0.243802;1.008793;1.005398;0.082702;-0.443171;-0.278948;
2.502638;0.464739;-0.244089;1.008764;1.005449;0.081720;-0.439585;-0.278495;
2.506276;0.461121;-0.244357;1.008736;1.005494;0.080807;-0.436253;-0.278082;
2.513553;0.455443;-0.244823;1.008676;1.005547;0.079377;-0.431025;-0.277497;
2.520829;0.451243;-0.245259;1.008603;1.005558;0.078322;-0.427160;-0.277174;
2.535382;0.446493;-0.246162;1.008400;1.005445;0.077141;-0.422802;-0.277267;
2.549935;0.443831;-0.247141;1.008146;1.005240;0.076494;-0.420375;-0.277842;
2.564488;0.442431;-0.248171;1.007862;1.004980;0.076170;-0.419115;-0.278707;
2.593594;0.442149;-0.250243;1.007259;1.004376;0.076161;-0.418920;-0.280919;
2.622700;0.443178;-0.252231;1.006664;1.003754;0.076484;-0.419935;-0.283286;
2.680912;0.446920;-0.255688;1.005601;1.002607;0.077542;-0.423501;-0.287777;
2.739123;0.451075;-0.258621;1.004683;1.001597;0.078689;-0.427432;-0.291789;
2.855547;0.458645;-0.262843;1.003334;1.000080;0.080745;-0.434556;-0.297907;
2.971971;0.465028;-0.265847;1.002355;0.998956;0.082462;-0.440544;-0.302491;
3.088395;0.470507;-0.267957;1.001648;0.998126;0.083921;-0.445668;-0.305931;
3.204818;0.475143;-0.269425;1.001142;0.997513;0.085147;-0.449993;-0.308508;
3.437666;0.482011;-0.270932;1.000585;0.996800;0.086942;-0.456380;-0.311607;
3.670513;0.486646;-0.271688;1.000285;0.996393;0.088145;-0.460681;-0.313425;
3.903360;0.490284;-0.272025;1.000125;0.996149;0.089082;-0.464048;-0.314575;
4.369055;0.494568;-0.272142;1.000018;0.995943;0.090177;-0.468004;-0.315625;
4.834750;0.496581;-0.272115;0.999991;0.995871;0.090689;-0.469860;-0.316031;
5.300445;0.498091;-0.272049;0.999985;0.995829;0.091071;-0.471251;-0.316286;
5.999999;0.499002;-0.271983;0.999989;0.995812;0.091301;-0.472090;-0.316411;
5.999999;0.368054;-0.178507;0.719770;0.712839;0.099647;-0.472090;-0.316411;
6.000069;0.367973;-0.178625;0.719726;0.712798;0.099626;-0.471993;-0.316567;
6.000208;0.367836;-0.178856;0.719640;0.712716;0.099590;-0.471827;-0.316879;
6.000348;0.367722;-0.179081;0.719555;0.712634;0.099561;-0.471689;-0.317194;
6.000627;0.367578;-0.179520;0.719386;0.712468;0.099531;-0.471521;-0.317840;
6.000768;0.367547;-0.179737;0.719301;0.712382;0.099529;-0.471488;-0.318178;
6.000768;0.367547;-0.179737;0.719301;0.712382;0.099529;-0.471488;-0.318178;
6.000769;0.367547;-0.179738;0.719301;0.712381;0.099529;-0.471488;-0.318179;
6.000769;0.367547;-0.179738;0.719301;0.712381;0.099529;-0.471488;-0.318179;
6.000769;0.367547;-0.179738;0.719301;0.712381;0.099529;-0.471488;-0.318179;
6.000769;0.367547;-0.179738;0.719301;0.712381;0.099529;-0.471488;-0.318179;
6.000943;0.367485;-0.180012;0.719194;0.712275;0.099519;-0.471417;-0.318595;
6.001291;0.367369;-0.180577;0.718974;0.712055;0.099502;-0.471286;-0.319457;
6.001639;0.367258;-0.181162;0.718745;0.711826;0.099488;-0.471164;-0.320355;
6.001776;0.367219;-0.181410;0.718648;0.711729;0.099485;-0.471121;-0.320739;
6.001776;0.367220;-0.181410;0.718648;0.711729;0.099485;-0.471122;-0.320739;
6.001910;0.367178;-0.181642;0.718557;0.711638;0.099480;-0.471076;-0.321096;
6.002178;0.367099;-0.182119;0.718370;0.711450;0.099473;-0.470990;-0.321835;
6.002715;0.366953;-0.183125;0.717975;0.711052;0.099463;-0.470832;-0.323402;
6.003068;0.366869;-0.183846;0.717690;0.710765;0.099463;-0.470747;-0.324534;
6.003068;0.366871;-0.183845;0.717690;0.710765;0.099463;-0.470749;-0.324534;
6.003068;0.366871;-0.183846;0.717690;0.710764;0.099463;-0.470749;-0.324536;
6.003068;0.366871;-0.183846;0.717690;0.710764;0.099463;-0.470749;-0.324536;
6.003068;0.366871;-0.183846;0.717690;0.710764;0.099463;-0.470749;-0.324536;
6.003068;0.366871;-0.183846;0.717690;0.710764;0.099463;-0.470749;-0.324536;
6.003195;0.366838;-0.184093;0.717592;0.710666;0.099462;-0.470714;-0.324922;
6.003448;0.366774;-0.184598;0.717393;0.710465;0.099460;-0.470647;-0.325713;
6.003946;0.366657;-0.185627;0.716986;0.710054;0.099461;-0.470528;-0.327335;
6.003946;0.366657;-0.185627;0.716986;0.710054;0.099461;-0.470528;-0.327335;
6.003946;0.366657;-0.185627;0.716986;0.710054;0.099461;-0.470528;-0.327336;
6.003946;0.366657;-0.185627;0.716986;0.710054;0.099461;-0.470528;-0.327336;
6.003946;0.366657;-0.185627;0.716986;0.710054;0.099461;-0.470528;-0.327336;
6.003946;0.366657;-0.185627;0.716986;0.710054;0.099461;-0.470528;-0.327336;
6.004088;0.366624;-0.185923;0.716869;0.709936;0.099461;-0.470494;-0.327803;
6.004371;0.366561;-0.186525;0.716630;0.709694;0.099463;-0.470431;-0.328755;
6.004416;0.366551;-0.186625;0.716590;0.709654;0.099464;-0.470421;-0.328913;
6.004416;0.366552;-0.186625;0.716591;0.709654;0.099464;-0.470422;-0.328913;
6.004474;0.366539;-0.186749;0.716541;0.709604;0.099464;-0.470409;-0.329110;
6.004474;0.366539;-0.186749;0.716541;0.709604;0.099464;-0.470409;-0.329110;
6.004479;0.366538;-0.186759;0.716537;0.709600;0.099464;-0.470408;-0.329126;
6.004479;0.366538;-0.186759;0.716537;0.709600;0.099464;-0.470408;-0.329126;
6.004479;0.366538;-0.186759;0.716537;0.709600;0.099464;-0.470408;-0.329126;
6.004479;0.366538;-0.186759;0.716537;0.709600;0.099464;-0.470408;-0.329126;
6.004632;0.366522;-0.186981;0.716449;0.709510;0.099467;-0.470394;-0.329481;
6.004939;0.366523;-0.187242;0.716344;0.709403;0.099478;-0.470403;-0.329906;
6.005552;0.366667;-0.187017;0.716429;0.709483;0.099516;-0.470577;-0.329601;
6.006218;0.367086;-0.185453;0.717039;0.710089;0.099593;-0.471061;-0.327238;
6.006218;0.367083;-0.185454;0.717039;0.710089;0.099592;-0.471057;-0.327237;
