time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000127;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000381;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000888;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.000888;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.000888;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.001036;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;
0.001332;1.000162;-0.210037;1.000164;0.976169;0.217767;-0.930283;-0.422695;
0.001925;1.000160;-0.210039;1.000163;0.976168;0.217766;-0.930281;-0.422697;
0.003109;1.000154;-0.210045;1.000162;0.976167;0.217765;-0.930276;-0.422700;
0.004293;1.000147;-0.210051;1.000160;0.976166;0.217763;-0.930269;-0.422704;
0.005477;1.000139;-0.210057;1.000159;0.976165;0.217762;-0.930262;-0.422708;
0.006661;1.000131;-0.210064;1.000157;0.976164;0.217760;-0.930255;-0.422711;
0.009030;1.000114;-0.210073;1.000155;0.976162;0.217756;-0.930240;-0.422715;
0.010505;1.000105;-0.210077;1.000155;0.976162;0.217754;-0.930232;-0.422715;
0.010505;1.000105;-0.210077;1.000155;0.976162;0.217754;-0.930232;-0.422715;
0.011005;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011005;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011006;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011006;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011006;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011006;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011006;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011006;1.000102;-0.210079;1.000154;0.976162;0.217753;-0.930229;-0.422716;
0.011547;1.000098;-0.210080;1.000154;0.976162;0.217752;-0.930226;-0.422716;
0.012017;1.000096;-0.210081;1.000154;0.976162;0.217751;-0.930224;-0.422715;
0.012017;1.000096;-0.210081;1.000154;0.976162;0.217751;-0.930224;-0.422715;
0.012017;1.000096;-0.210081;1.000154;0.976162;0.217751;-0.930224;-0.422715;
0.012314;1.000094;-0.210082;1.000154;0.976162;0.217751;-0.930222;-0.422715;
0.012314;1.000094;-0.210082;1.000154;0.976162;0.217751;-0.930222;-0.422715;
0.012314;1.000094;-0.210082;1.000154;0.976162;0.217751;-0.930222;-0.422715;
0.012940;1.000090;-0.210083;1.000154;0.976162;0.217750;-0.930219;-0.422715;
0.014193;1.000083;-0.210085;1.000154;0.976162;0.217748;-0.930213;-0.422713;
0.016699;1.000072;-0.210085;1.000154;0.976164;0.217745;-0.930202;-0.422708;
0.019205;1.000062;-0.210083;1.000155;0.976165;0.217743;-0.930193;-0.422701;
0.021711;1.000053;-0.210081;1.000156;0.976167;0.217740;-0.930185;-0.422694;
0.026723;1.000040;-0.210076;1.000159;0.976170;0.217737;-0.930173;-0.422681;
0.031735;1.000030;-0.210072;1.000161;0.976173;0.217734;-0.930163;-0.422671;
0.036747;1.000022;-0.210068;1.000162;0.976175;0.217732;-0.930156;-0.422663;
0.046770;1.000012;-0.210065;1.000164;0.976177;0.217729;-0.930147;-0.422654;
0.056794;1.000007;-0.210060;1.000166;0.976179;0.217728;-0.930142;-0.422646;
0.076841;1.000003;-0.210054;1.000168;0.976182;0.217726;-0.930138;-0.422636;
0.092904;1.000002;-0.210048;1.000170;0.976184;0.217726;-0.930137;-0.422628;
0.092904;1.000002;-0.210048;1.000170;0.976184;0.217726;-0.930137;-0.422628;
0.117811;1.000001;-0.210041;1.000172;0.976186;0.217726;-0.930136;-0.422619;
