time;SM_generator_cePu;SM_generator_PePu;SM_generator_cmPu;SM_generator_PmPu;SM_generator_ufPu;SM_generator_efdPu;SM_generator_omegaPu;SM_generator_theta;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_PGen;SM_generator_QGen;SM_generator_UPu;SM_generator_IStatorPu;SM_generator_IRotorPu;SM_generator_UStatorPu;SM_generator_QStatorPu;SM_generator_thetaInternal;
1.000000;0.902995;0.902994;0.903001;0.903001;0.001119;2.557972;1.000000;1.185239;19.979873;9.679111;1997.987311;967.911133;1.000007;22.200767;2.558035;1.000007;9.679111;0.690750;
1.000000;0.025710;0.902994;0.903001;0.903001;0.002187;5.000000;1.000000;1.185239;-0.000000;28.509701;1997.987311;967.911133;1.000007;22.200767;2.558035;0.438680;28.509701;0.690750;
1.000001;0.025710;0.025710;0.903000;0.903000;0.002187;5.000000;1.000000;1.185239;0.000000;28.509318;0.000000;2850.931840;0.438677;64.989251;3.874347;0.438677;28.509318;0.472356;
1.000002;0.025709;0.025709;0.903000;0.903000;0.002187;5.000000;1.000000;1.185239;0.000000;28.508936;0.000000;2850.893552;0.438674;64.988814;3.874378;0.438674;28.508936;0.472350;
1.000004;0.025709;0.025709;0.902998;0.902999;0.002187;5.000000;1.000000;1.185239;0.000000;28.508170;0.000000;2850.816980;0.438669;64.987942;3.874439;0.438669;28.508170;0.472338;
1.000008;0.025707;0.025707;0.902995;0.902996;0.002187;5.000000;1.000001;1.185239;0.000000;28.506639;0.000000;2850.663857;0.438657;64.986196;3.874562;0.438657;28.506639;0.472315;
1.000016;0.025705;0.025705;0.902989;0.902991;0.002187;5.000000;1.000002;1.185239;0.000000;28.503577;0.000000;2850.357692;0.438633;64.982706;3.874806;0.438633;28.503577;0.472268;
1.000032;0.025699;0.025699;0.902977;0.902981;0.002187;5.000000;1.000004;1.185239;-0.000000;28.497457;-0.000000;2849.745693;0.438586;64.975730;3.875296;0.438586;28.497457;0.472174;
1.000064;0.025688;0.025688;0.902954;0.902961;0.002187;5.000000;1.000008;1.185239;0.000000;28.485230;0.000000;2848.523009;0.438492;64.961789;3.876274;0.438492;28.485230;0.471987;
1.000128;0.025666;0.025666;0.902906;0.902921;0.002187;5.000000;1.000016;1.185239;-0.000000;28.460829;-0.000000;2846.082900;0.438304;64.933960;3.878226;0.438304;28.460829;0.471613;
1.000256;0.025621;0.025622;0.902812;0.902841;0.002187;5.000000;1.000032;1.185240;-0.000000;28.412236;-0.000000;2841.223627;0.437930;64.878503;3.882115;0.437930;28.412236;0.470865;
1.000512;0.025534;0.025535;0.902622;0.902680;0.002187;5.000000;1.000064;1.185244;0.000000;28.315882;0.000000;2831.588209;0.437187;64.768399;3.889836;0.437187;28.315882;0.469372;
1.001024;0.025361;0.025365;0.902244;0.902360;0.002187;5.000000;1.000128;1.185259;-0.000000;28.126447;-0.000000;2812.644686;0.435722;64.551383;3.905048;0.435722;28.126447;0.466400;
1.002048;0.025028;0.025034;0.901487;0.901718;0.002187;5.000000;1.000256;1.185321;-0.000000;27.760265;-0.000000;2776.026493;0.432876;64.129805;3.934577;0.432876;27.760265;0.460505;
1.003072;0.024709;0.024719;0.900731;0.901077;0.002187;5.000000;1.000385;1.185424;0.000000;27.410396;0.000000;2741.039588;0.430140;63.724405;3.962945;0.430140;27.410396;0.454681;
1.004096;0.024405;0.024417;0.899975;0.900437;0.002187;5.000000;1.000513;1.185569;-0.000000;27.076086;-0.000000;2707.608609;0.427509;63.334612;3.990193;0.427509;27.076086;0.448930;
1.005120;0.024114;0.024129;0.899220;0.899797;0.002187;5.000000;1.000641;1.185754;-0.000000;26.756607;-0.000000;2675.660651;0.424979;62.959854;4.016367;0.424979;26.756607;0.443252;
1.006144;0.023835;0.023854;0.898466;0.899157;0.002187;5.000000;1.000769;1.185981;0.000000;26.451256;0.000000;2645.125647;0.422547;62.599574;4.041507;0.422547;26.451256;0.437651;
1.007168;0.023569;0.023591;0.897712;0.898517;0.002187;5.000000;1.000897;1.186249;-0.000000;26.159369;-0.000000;2615.936912;0.420209;62.253229;4.065654;0.420209;26.159369;0.432126;
1.008192;0.023315;0.023339;0.896959;0.897878;0.002187;5.000000;1.001024;1.186558;-0.000000;25.880310;-0.000000;2588.031044;0.417962;61.920294;4.088848;0.417962;25.880310;0.426680;
1.009216;0.023072;0.023098;0.896206;0.897239;0.002187;5.000000;1.001152;1.186908;0.000000;25.613478;0.000000;2561.347790;0.415802;61.600263;4.111126;0.415802;25.613478;0.421314;
1.010240;0.022839;0.022868;0.895455;0.896601;0.002187;5.000000;1.001280;1.187299;-0.000000;25.358299;-0.000000;2535.829897;0.413725;61.292646;4.132524;0.413725;25.358299;0.416027;
1.011264;0.022616;0.022648;0.894703;0.895963;0.002187;5.000000;1.001408;1.187731;0.000000;25.114230;0.000000;2511.422957;0.411730;60.996970;4.153078;0.411729;25.114230;0.410822;
1.012288;0.022403;0.022438;0.893953;0.895325;0.002187;5.000000;1.001535;1.188205;0.000000;24.880753;0.000000;2488.075267;0.409811;60.712778;4.172820;0.409811;24.880753;0.405698;
1.013312;0.022199;0.022236;0.893203;0.894688;0.002187;5.000000;1.001663;1.188719;-0.000000;24.657377;-0.000000;2465.737682;0.407968;60.439630;4.191784;0.407967;24.657377;0.400657;
1.014336;0.022004;0.022043;0.892453;0.894051;0.002187;5.000000;1.001790;1.189274;0.000000;24.443635;0.000000;2444.363488;0.406195;60.177102;4.210000;0.406195;24.443635;0.395698;
1.015360;0.021817;0.021859;0.891705;0.893414;0.002187;5.000000;1.001917;1.189871;-0.000000;24.239083;-0.000000;2423.908272;0.404492;59.924784;4.227497;0.404492;24.239083;0.390821;
1.016384;0.021638;0.021682;0.890957;0.892778;0.002187;5.000000;1.002044;1.190508;0.000000;24.043298;0.000000;2404.329808;0.402855;59.682282;4.244306;0.402855;24.043298;0.386027;
1.017408;0.021467;0.021513;0.890210;0.892143;0.002187;5.000000;1.002172;1.191186;-0.000000;23.855879;-0.000000;2385.587936;0.401282;59.449215;4.260452;0.401282;23.855879;0.381316;
1.018432;0.021303;0.021351;0.889463;0.891507;0.002187;5.000000;1.002299;1.191905;0.000000;23.676445;0.000000;2367.644463;0.399770;59.225217;4.275962;0.399770;23.676445;0.376688;
1.019456;0.021145;0.021197;0.888717;0.890873;0.002187;5.000000;1.002426;1.192665;-0.000000;23.504631;-0.000000;2350.463057;0.398317;59.009935;4.290862;0.398317;23.504631;0.372142;
1.020480;0.020995;0.021048;0.887972;0.890238;0.002187;5.000000;1.002552;1.193466;0.000000;23.340091;0.000000;2334.009150;0.396920;58.803030;4.305176;0.396920;23.340091;0.367677;
1.021504;0.020850;0.020906;0.887227;0.889604;0.002187;5.000000;1.002679;1.194307;-0.000000;23.182499;-0.000000;2318.249853;0.395578;58.604175;4.318928;0.395578;23.182499;0.363295;
1.022528;0.020712;0.020770;0.886484;0.888971;0.002187;5.000000;1.002806;1.195189;0.000000;23.031539;0.000000;2303.153863;0.394288;58.413055;4.332140;0.394288;23.031539;0.358993;
1.023552;0.020579;0.020639;0.885740;0.888338;0.002187;5.000000;1.002932;1.196112;-0.000000;22.886914;-0.000000;2288.691388;0.393048;58.229366;4.344833;0.393048;22.886914;0.354773;
1.024576;0.020452;0.020515;0.884998;0.887705;0.002187;5.000000;1.003059;1.197076;0.000000;22.748341;0.000000;2274.834064;0.391857;58.052819;4.357029;0.391856;22.748341;0.350632;
