time;WD_weightedDifference_u;WD_weightedDifference_Target;PI_piAntiWindupTable_y;
0.000000;1.000000;1.090000;1.000000;
10.000000;1.020000;1.090000;1.020000;
20.000000;1.050000;1.090000;1.050000;
30.000000;1.050000;1.090000;1.050000;
40.000000;1.080000;1.090000;1.080000;
50.000000;1.080000;1.090000;1.080000;
60.000000;1.080000;1.090000;1.080000;
70.000000;1.080000;1.090000;1.080000;
80.000000;1.080000;1.090000;1.080000;
90.000000;1.080000;1.090000;1.080000;
100.000000;1.080000;1.090000;1.080000;
