time;Generator_generator_PGenPu;Generator_generator_QGenPu;HvdcVSCDanglingP_hvdc_Conv1_UPu;HvdcVSCDanglingP_hvdc_Conv1_UPhase;HvdcVSCDanglingP_hvdc_Conv1_PInjPu;HvdcVSCDanglingP_hvdc_Conv1_QInjPu;HvdcVSCDanglingP_hvdc_Conv2_PInjPu;HvdcVSCDanglingP_hvdc_Conv2_QInjPu;
0.000000;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000001;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000002;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000004;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000008;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000016;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000032;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000064;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000128;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000256;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.000512;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.001024;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.002048;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.004096;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.008192;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.016384;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.032768;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.065536;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.131072;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.262144;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
0.524288;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
1.000000;9.000621;-0.899019;0.984438;0.044130;1.000015;0.902199;0.000000;0.000000;
1.000000;9.056562;1.238340;0.909511;0.019011;0.944220;0.833533;0.000000;0.000000;
1.000001;9.056546;1.238410;0.909510;0.019007;0.944209;0.833534;0.000000;0.000000;
1.000002;9.056542;1.238406;0.909510;0.019007;0.944212;0.833537;0.000000;0.000000;
1.000004;9.056536;1.238394;0.909510;0.019007;0.944221;0.833544;0.000000;0.000000;
1.000008;9.056520;1.238382;0.909509;0.019007;0.944234;0.833557;0.000000;0.000000;
1.000016;9.056492;1.238350;0.909508;0.019007;0.944263;0.833583;0.000000;0.000000;
1.000032;9.056434;1.238286;0.909506;0.019007;0.944320;0.833637;0.000000;0.000000;
1.000064;9.056319;1.238156;0.909501;0.019008;0.944435;0.833744;0.000000;0.000000;
1.000128;9.056090;1.237894;0.909491;0.019009;0.944665;0.833961;0.000000;0.000000;
1.000256;9.055633;1.237358;0.909472;0.019012;0.945121;0.834411;0.000000;0.000000;
1.000512;9.054731;1.236240;0.909436;0.019018;0.946023;0.835364;0.000000;0.000000;
1.001024;9.052967;1.233821;0.909372;0.019032;0.947787;0.837490;0.000000;0.000000;
1.002048;9.049589;1.228280;0.909273;0.019067;0.951165;0.842581;0.000000;0.000000;
1.004096;9.043391;1.214581;0.909190;0.019165;0.957362;0.855889;0.000000;0.000000;
1.008192;9.032894;1.178191;0.909421;0.019466;0.967858;0.893314;0.000000;0.000000;
1.012288;9.024562;1.131533;0.910123;0.019895;0.976189;0.943141;0.000000;0.000000;
1.016384;9.017966;1.076801;0.911212;0.020436;0.982786;1.002809;0.000000;0.000000;
1.020480;9.012748;1.015987;0.912613;0.021073;0.988004;1.069984;0.000000;0.000000;
1.024576;9.008629;0.950836;0.914257;0.021788;0.992125;1.142615;0.000000;0.000000;
1.032768;9.002651;0.814806;0.917981;0.023379;0.998094;1.295644;0.000000;0.000000;
1.040960;8.999020;0.676372;0.922067;0.025113;1.001743;1.452833;0.000000;0.000000;
1.049152;8.996961;0.541781;0.926250;0.026909;1.003828;1.606722;0.000000;0.000000;
1.057344;8.995929;0.415486;0.930336;0.028706;1.004864;1.751940;0.000000;0.000000;
1.065536;8.995551;0.300334;0.934192;0.030458;1.005236;1.885029;0.000000;0.000000;
1.073728;8.995580;0.197838;0.937739;0.032135;1.005196;2.004086;0.000000;0.000000;
1.090112;8.996152;0.031159;0.943766;0.035190;1.004596;2.199036;0.000000;0.000000;
1.100000;8.996680;-0.046655;0.946742;0.036839;1.004035;2.290863;0.000000;0.000000;
1.100000;8.938592;-2.474068;1.023781;0.060742;1.062050;2.477278;0.000000;0.000000;
1.100001;8.938597;-2.474067;1.023781;0.060742;1.062045;2.477277;0.000000;0.000000;
1.100002;8.938601;-2.474066;1.023781;0.060742;1.062041;2.477276;0.000000;0.000000;
1.100004;8.938610;-2.474063;1.023782;0.060742;1.062032;2.477274;0.000000;0.000000;
1.100008;8.938627;-2.474058;1.023783;0.060743;1.062015;2.477269;0.000000;0.000000;
1.100016;8.938661;-2.474049;1.023785;0.060743;1.061981;2.477259;0.000000;0.000000;
1.100032;8.938730;-2.474030;1.023789;0.060744;1.061912;2.477240;0.000000;0.000000;
1.100064;8.938868;-2.473990;1.023798;0.060746;1.061775;2.477201;0.000000;0.000000;
1.100128;8.939142;-2.473908;1.023815;0.060749;1.061501;2.477118;0.000000;0.000000;
1.100256;8.939686;-2.473729;1.023849;0.060756;1.060956;2.476940;0.000000;0.000000;
1.100512;8.940761;-2.473316;1.023914;0.060770;1.059881;2.476527;0.000000;0.000000;
1.101024;8.942858;-2.472271;1.024038;0.060798;1.057784;2.475482;0.000000;0.000000;
1.102048;8.946849;-2.469337;1.024260;0.060849;1.053794;2.472549;0.000000;0.000000;
1.104096;8.954087;-2.460328;1.024601;0.060939;1.046556;2.463541;0.000000;0.000000;
