time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;Load_load_PPu;Load_load_QPu;Load_load_PRefPu;Load_load_QRefPu;
0.997931;0.902999;0.902999;0.903001;0.903001;0.00105881;2.42062;1;1.22406;19.98;9.67915;1998;967.915;1.00001;22.2009;2.42069;1.00001;9.67915;0.729567;0;0;0;0;
0.999186;0.902999;0.902999;0.903001;0.903001;0.00105881;2.42062;1;1.22406;19.98;9.67915;1998;967.915;1.00001;22.2009;2.42069;1.00001;9.67915;0.729567;0;0;0;0;
0.999814;0.902999;0.902999;0.903001;0.903001;0.00105881;2.42062;1;1.22406;19.98;9.67915;1998;967.915;1.00001;22.2009;2.42069;1.00001;9.67915;0.729567;0;0;0;0;
1;0.901611;0.901611;0.903;0.903;0.00107351;2.45424;1;1.22406;19.9487;9.81895;1994.87;981.895;0.998325;22.2722;2.42502;0.998325;9.81895;0.729503;0;0.233079;0;0.234754;
1;0.900043;0.900043;0.903;0.903;0.00109006;2.49207;1;1.22406;19.9134;9.97726;1991.34;997.726;0.996434;22.3528;2.42985;0.996434;9.97726;0.729435;0;0.496438;0;0.5;
1;0.900043;0.900043;0.903;0.903;0.00109006;2.49207;1;1.22406;19.9134;9.97726;1991.34;997.726;0.996434;22.3528;2.42985;0.996434;9.97726;0.729435;0;0.49644;0;0.5;
1;0.900043;0.900043;0.903;0.903;0.00109006;2.49207;1;1.22406;19.9134;9.97726;1991.34;997.726;0.996434;22.3528;2.42985;0.996434;9.97726;0.729435;0;0.49644;0;0.5;
1.00001;0.900043;0.900043;0.903;0.903;0.00109007;2.49208;1;1.22406;19.9134;9.97725;1991.34;997.725;0.996433;22.3528;2.42985;0.996433;9.97725;0.729435;0;0.49644;0;0.5;
1.00002;0.900043;0.900043;0.903;0.903;0.00109007;2.49208;1;1.22406;19.9134;9.97724;1991.34;997.724;0.996433;22.3528;2.42986;0.996433;9.97724;0.729435;0;0.49644;0;0.5;
1.00003;0.900043;0.900043;0.903;0.903;0.00109007;2.49209;1;1.22406;19.9134;9.97721;1991.34;997.721;0.996433;22.3528;2.42986;0.996433;9.97721;0.729435;0;0.496439;0;0.5;
1.00006;0.900043;0.900043;0.903;0.903;0.00109008;2.49212;1;1.22406;19.9134;9.97716;1991.34;997.716;0.996432;22.3528;2.42987;0.996432;9.97716;0.729434;0;0.496438;0;0.5;
1.00013;0.900043;0.900043;0.903;0.903;0.0010901;2.49216;1;1.22406;19.9134;9.97705;1991.34;997.705;0.996429;22.3528;2.42989;0.996429;9.97705;0.729433;0;0.496436;0;0.5;
1.00026;0.900043;0.900043;0.903;0.903;0.00109014;2.49225;1;1.22406;19.9134;9.97684;1991.34;997.684;0.996425;22.3528;2.42992;0.996425;9.97684;0.729431;0;0.496431;0;0.5;
1.00051;0.900042;0.900042;0.902999;0.902999;0.00109022;2.49243;1;1.22406;19.9134;9.97642;1991.34;997.642;0.996416;22.3528;2.43;0.996416;9.97642;0.729426;0;0.496422;0;0.5;
1.00102;0.900041;0.900041;0.902998;0.902998;0.00109037;2.49278;1;1.22406;19.9134;9.97559;1991.34;997.559;0.996398;22.3528;2.43014;0.996398;9.97559;0.729418;0;0.496405;0;0.5;
1.00205;0.900039;0.900039;0.902995;0.902996;0.00109067;2.49347;1;1.22406;19.9134;9.97398;1991.34;997.398;0.996364;22.3528;2.43041;0.996364;9.97398;0.7294;0;0.49637;0;0.5;
1.0041;0.900038;0.900039;0.90299;0.902992;0.00109125;2.49479;1;1.22406;19.9133;9.97093;1991.33;997.093;0.996298;22.3529;2.43094;0.996298;9.97093;0.729366;0;0.496305;0;0.5;
1.00819;0.900045;0.900048;0.90298;0.902983;0.0010923;2.49719;1;1.22406;19.9136;9.96546;1991.36;996.546;0.996178;22.3534;2.4319;0.996178;9.96546;0.729298;0;0.496185;0;0.5;
1.01229;0.900065;0.90007;0.90297;0.902974;0.00109324;2.49933;1.00001;1.22407;19.914;9.96078;1991.4;996.078;0.996071;22.3541;2.43275;0.996071;9.96078;0.729233;0;0.496079;0;0.5;
1.01638;0.900095;0.900102;0.90296;0.902966;0.00109406;2.50122;1.00001;1.22408;19.9147;9.95679;1991.47;995.679;0.995976;22.355;2.4335;0.995976;9.95679;0.729171;0;0.495985;0;0.5;
1.02048;0.900135;0.900142;0.90295;0.902958;0.0010948;2.50289;1.00001;1.22409;19.9156;9.95341;1991.56;995.341;0.995893;22.3562;2.43416;0.995893;9.95341;0.729111;0;0.495901;0;0.5;
1.02458;0.900182;0.900191;0.90294;0.90295;0.00109544;2.50437;1.00001;1.2241;19.9167;9.95056;1991.67;995.056;0.995819;22.3575;2.43476;0.995819;9.95056;0.729054;0;0.495828;0;0.5;
1.03277;0.900294;0.900306;0.902922;0.902934;0.00109653;2.50686;1.00001;1.22413;19.9192;9.94618;1991.92;994.618;0.995694;22.3606;2.43579;0.995694;9.94618;0.728948;0;0.495704;0;0.5;
1.04014;0.900412;0.900427;0.902906;0.90292;0.00109731;2.50863;1.00002;1.22416;19.9219;9.94353;1992.19;994.353;0.995606;22.3638;2.43655;0.995606;9.94353;0.728862;0;0.495616;0;0.5;
1.04751;0.900544;0.90056;0.902891;0.902908;0.00109792;2.51004;1.00002;1.2242;19.9248;9.94186;1992.48;994.186;0.995535;22.3673;2.4372;0.995535;9.94186;0.728783;0;0.495545;0;0.5;
1.05489;0.900685;0.900704;0.902877;0.902896;0.00109842;2.51117;1.00002;1.22425;19.928;9.94097;1992.8;994.097;0.995479;22.371;2.43777;0.995479;9.94097;0.728713;0;0.495489;0;0.5;
1.06226;0.900834;0.900855;0.902864;0.902885;0.00109881;2.51206;1.00002;1.2243;19.9313;9.94071;1993.13;994.071;0.995435;22.3749;2.43828;0.995435;9.94071;0.728649;0;0.495445;0;0.5;
1.06963;0.900989;0.901012;0.902852;0.902874;0.00109911;2.51276;1.00003;1.22435;19.9348;9.94096;1993.48;994.096;0.995399;22.3789;2.43873;0.995399;9.94096;0.728592;0;0.49541;0;0.5;
1.077;0.901149;0.901174;0.902841;0.902865;0.00109935;2.51331;1.00003;1.22441;19.9383;9.94162;1993.83;994.162;0.995372;22.383;2.43916;0.995372;9.94162;0.728541;0;0.495383;0;0.5;
1.08438;0.901313;0.901339;0.902831;0.902857;0.00109954;2.51374;1.00003;1.22448;19.942;9.9426;1994.2;994.26;0.995351;22.3872;2.43956;0.995351;9.9426;0.728495;0;0.495361;0;0.5;
1.09175;0.901479;0.901506;0.902822;0.902849;0.00109968;2.51406;1.00003;1.22455;19.9457;9.94384;1994.57;994.384;0.995334;22.3915;2.43994;0.995334;9.94384;0.728454;0;0.495345;0;0.5;
1.1065;0.901816;0.901846;0.902807;0.902837;0.00109988;2.5145;1.00003;1.22469;19.9532;9.94688;1995.32;994.688;0.995312;22.4001;2.44067;0.995312;9.94688;0.728384;0;0.495323;0;0.5;
1.12124;0.902158;0.902189;0.902797;0.902828;0.00109997;2.51472;1.00003;1.22485;19.9607;9.95049;1996.07;995.049;0.995301;22.4087;2.44137;0.995301;9.95049;0.728328;0;0.495313;0;0.5;
1.13599;0.9025;0.902532;0.902791;0.902823;0.00109999;2.51477;1.00004;1.22501;19.9683;9.95447;1996.83;995.447;0.995299;22.4174;2.44205;0.995299;9.95447;0.728282;0;0.49531;0;0.5;
1.15073;0.90284;0.902872;0.90279;0.902822;0.00109997;2.51471;1.00004;1.22517;19.9758;9.95866;1997.58;995.866;0.995302;22.4259;2.44272;0.995302;9.95866;0.728244;0;0.495313;0;0.5;
1.16548;0.903174;0.903206;0.902792;0.902824;0.00109991;2.51457;1.00004;1.22534;19.9832;9.96298;1998.32;996.298;0.995309;22.4343;2.44338;0.995309;9.96298;0.728212;0;0.49532;0;0.5;
1.18022;0.9035;0.903531;0.902799;0.90283;0.00109982;2.51437;1.00003;1.2255;19.9903;9.96734;1999.03;996.734;0.995319;22.4425;2.44402;0.995319;9.96734;0.728183;0;0.49533;0;0.5;
1.19497;0.903815;0.903844;0.90281;0.902839;0.0010997;2.51411;1.00003;1.22565;19.9972;9.97168;1999.72;997.168;0.995332;22.4503;2.44465;0.995332;9.97168;0.728155;0;0.495343;0;0.5;
1.20972;0.904116;0.904143;0.902824;0.902851;0.00109957;2.5138;1.00003;1.22579;20.0038;9.97597;2000.38;997.597;0.995347;22.4578;2.44525;0.995347;9.97597;0.728128;0;0.495358;0;0.5;
1.23921;0.904664;0.904686;0.902862;0.902883;0.00109924;2.51304;1.00002;1.22604;20.0158;9.98422;2001.58;998.422;0.995385;22.4715;2.44639;0.995385;9.98422;0.728067;0;0.495396;0;0.5;
1.2687;0.905131;0.905145;0.902912;0.902925;0.00109882;2.51208;1.00002;1.22621;20.0259;9.99195;2002.59;999.195;0.995433;22.4829;2.44739;0.995433;9.99195;0.727992;0;0.495444;0;0.5;
1.29819;0.905503;0.905507;0.90297;0.902975;0.0010983;2.5109;1.00001;1.2263;20.0339;9.99903;2003.39;999.903;0.995493;22.492;2.44825;0.995493;9.99903;0.727897;0;0.495503;0;0.5;
1.32768;0.905769;0.905763;0.903035;0.90303;0.00109768;2.50948;0.999994;1.22629;20.0395;10.0054;2003.95;1000.54;0.995564;22.4983;2.44893;0.995564;10.0054;0.727777;0;0.495573;0;0.5;
1.35717;0.905922;0.905906;0.903103;0.903088;0.00109695;2.50781;0.999983;1.22618;20.0427;10.0109;2004.27;1001.09;0.995647;22.5017;2.44942;0.995647;10.0109;0.727627;0;0.495656;0;0.5;
1.38666;0.90596;0.905934;0.903172;0.903146;0.00109611;2.5059;0.999971;1.22597;20.0433;10.0157;2004.33;1001.57;0.995742;22.5022;2.44971;0.995742;10.0157;0.727446;0;0.495751;0;0.5;
1.41615;0.905885;0.905849;0.903239;0.903203;0.00109517;2.50375;0.99996;1.22565;20.0414;10.0196;2004.14;1001.96;0.99585;22.4999;2.44981;0.99585;10.0196;0.727234;0;0.495858;0;0.5;
1.45529;0.905625;0.905576;0.90332;0.903271;0.00109378;2.50058;0.999946;1.22507;20.0354;10.0237;2003.54;1002.37;0.996008;22.4927;2.44965;0.996008;10.0237;0.726906;0;0.496016;0;0.5;
1.49442;0.905202;0.905142;0.903386;0.903327;0.00109226;2.4971;0.999935;1.22434;20.0259;10.0265;2002.59;1002.65;0.996182;22.4815;2.44919;0.996182;10.0265;0.726531;0;0.496189;0;0.5;
1.53356;0.904649;0.904582;0.903435;0.903369;0.00109066;2.49342;0.999926;1.22349;20.0135;10.0283;2001.35;1002.83;0.996366;22.4671;2.44848;0.996366;10.0283;0.72612;0;0.496373;0;0.5;
1.5727;0.904007;0.903936;0.903464;0.903393;0.001089;2.48965;0.999922;1.22257;19.9993;10.0293;1999.93;1002.93;0.996555;22.4505;2.44759;0.996555;10.0293;0.725684;0;0.496561;0;0.5;
1.60792;0.903387;0.903315;0.90347;0.903398;0.00108752;2.48627;0.99992;1.2217;19.9856;10.0297;1998.56;1002.97;0.996724;22.4346;2.44669;0.996724;10.0297;0.725281;0;0.496729;0;0.5;
1.64314;0.902763;0.902693;0.903458;0.903388;0.00108609;2.48299;0.999922;1.22084;19.9719;10.0299;1997.19;1002.99;0.996888;22.4187;2.44576;0.996888;10.0299;0.72488;0;0.496893;0;0.5;
1.67484;0.902224;0.902158;0.903433;0.903367;0.00108487;2.48019;0.999927;1.22009;19.9601;10.0299;1996.01;1002.99;0.997028;22.405;2.44493;0.997028;10.0299;0.724531;0;0.497032;0;0.5;
1.70654;0.901731;0.901671;0.903395;0.903335;0.00108374;2.47761;0.999933;1.2194;19.9493;10.0301;1994.93;1003.01;0.997157;22.3926;2.44416;0.997157;10.0301;0.724199;0;0.497161;0;0.5;
1.73824;0.901304;0.901251;0.903346;0.903293;0.00108272;2.47528;0.999941;1.21878;19.9401;10.0305;1994.01;1003.05;0.997274;22.3818;2.44348;0.997274;10.0305;0.723893;0;0.497277;0;0.5;
1.76994;0.900959;0.900915;0.903288;0.903244;0.00108182;2.47324;0.999951;1.21825;19.9327;10.0313;1993.27;1003.13;0.997375;22.3732;2.44292;0.997375;10.0313;0.723619;0;0.497379;0;0.5;
1.80164;0.900709;0.900675;0.903224;0.90319;0.00108107;2.47151;0.999962;1.21782;19.9274;10.0324;1992.74;1003.24;0.997462;22.3671;2.44251;0.997462;10.0324;0.723381;0;0.497465;0;0.5;
1.83334;0.900562;0.900538;0.903156;0.903133;0.00108046;2.47012;0.999974;1.21751;19.9244;10.034;1992.44;1003.4;0.997531;22.3636;2.44226;0.997531;10.034;0.723182;0;0.497534;0;0.5;
1.86504;0.900521;0.900508;0.903088;0.903075;0.00108;2.46905;0.999985;1.2173;19.9237;10.0361;1992.37;1003.61;0.997585;22.3627;2.44218;0.997585;10.0361;0.723024;0;0.497588;0;0.5;
1.89674;0.900585;0.900582;0.903022;0.903019;0.00107967;2.46831;0.999996;1.21721;19.9253;10.0388;1992.53;1003.88;0.997622;22.3645;2.44228;0.997622;10.0388;0.722907;0;0.497625;0;0.5;
1.93858;0.900817;0.900826;0.902943;0.902952;0.00107943;2.46776;1.00001;1.21724;19.9307;10.0429;1993.07;1004.29;0.997649;22.3706;2.44266;0.997649;10.0429;0.722812;0;0.497652;0;0.5;
1.98042;0.901196;0.901215;0.902877;0.902896;0.00107938;2.46764;1.00002;1.21744;19.9393;10.0478;1993.93;1004.78;0.997655;22.3803;2.4433;0.997655;10.0478;0.722779;0;0.497658;0;0.5;
2.02226;0.901687;0.901714;0.902828;0.902855;0.00107947;2.46785;1.00003;1.21776;19.9503;10.0533;1995.03;1005.33;0.997645;22.3929;2.44414;0.997645;10.0533;0.722796;0;0.497647;0;0.5;
2.0641;0.902252;0.902283;0.902799;0.90283;0.00107966;2.46828;1.00003;1.21817;19.9628;10.0591;1996.28;1005.91;0.997623;22.4072;2.44513;0.997623;10.0591;0.72285;0;0.497626;0;0.5;
2.10176;0.902789;0.902821;0.902791;0.902823;0.00107986;2.46875;1.00004;1.21857;19.9747;10.0644;1997.47;1006.44;0.9976;22.4208;2.44608;0.9976;10.0644;0.72292;0;0.497603;0;0.5;
2.13942;0.903319;0.903349;0.902799;0.90283;0.00108007;2.46922;1.00003;1.21897;19.9863;10.0696;1998.63;1006.96;0.997577;22.4341;2.44705;0.997577;10.0696;0.722996;0;0.497579;0;0.5;
2.17331;0.903764;0.903791;0.90282;0.902847;0.00108022;2.46956;1.00003;1.21931;19.9961;10.0741;1999.61;1007.41;0.99756;22.4452;2.44788;0.99756;10.0741;0.723061;0;0.497562;0;0.5;
2.2072;0.904157;0.90418;0.902851;0.902874;0.00108031;2.46977;1.00003;1.2196;20.0047;10.0782;2000.47;1007.82;0.997549;22.455;2.44863;0.997549;10.0782;0.723116;0;0.497552;0;0.5;
2.24109;0.904481;0.904497;0.902892;0.902909;0.00108032;2.4698;1.00002;1.21983;20.0117;10.0819;2001.17;1008.19;0.997547;22.463;2.44929;0.997547;10.0819;0.723152;0;0.49755;0;0.5;
2.27499;0.904722;0.904731;0.90294;0.902949;0.00108025;2.46964;1.00001;1.21998;20.0168;10.0851;2001.68;1008.51;0.997556;22.4688;2.4498;0.997556;10.0851;0.723166;0;0.497559;0;0.5;
2.30888;0.904871;0.904872;0.902991;0.902993;0.00108008;2.46924;1;1.22004;20.0199;10.0877;2001.99;1008.77;0.997575;22.4723;2.45017;0.997575;10.0877;0.723153;0;0.497578;0;0.5;
2.34277;0.904924;0.904917;0.903044;0.903038;0.0010798;2.46861;0.999993;1.22001;20.0209;10.0897;2002.09;1008.97;0.997607;22.4734;2.45038;0.997607;10.0897;0.723111;0;0.49761;0;0.5;
2.37666;0.904881;0.904867;0.903096;0.903081;0.00107943;2.46775;0.999984;1.21988;20.0198;10.0911;2001.98;1009.11;0.99765;22.4721;2.45043;0.99765;10.0911;0.723038;0;0.497653;0;0.5;
2.42308;0.90468;0.904656;0.903159;0.903135;0.00107877;2.46625;0.999973;1.21957;20.0152;10.0921;2001.52;1009.21;0.997725;22.4667;2.45024;0.997725;10.0921;0.722894;0;0.497727;0;0.5;
2.4695;0.904339;0.904307;0.90321;0.903178;0.00107798;2.46445;0.999965;1.21912;20.0075;10.0921;2000.75;1009.21;0.997815;22.4577;2.44979;0.997815;10.0921;0.722702;0;0.497817;0;0.5;
2.51592;0.903892;0.903855;0.903244;0.903206;0.0010771;2.46245;0.999959;1.21857;19.9975;10.0913;1999.75;1009.13;0.997915;22.4462;2.44915;0.997915;10.0913;0.722476;0;0.497917;0;0.5;
2.5577;0.903435;0.903396;0.903258;0.903218;0.00107628;2.46057;0.999956;1.21802;19.9874;10.0902;1998.74;1009.02;0.998009;22.4346;2.44845;0.998009;10.0902;0.722253;0;0.498011;0;0.5;
2.59948;0.902963;0.902924;0.903255;0.903216;0.00107547;2.45872;0.999957;1.21746;19.977;10.0889;1997.7;1008.89;0.998102;22.4226;2.44771;0.998102;10.0889;0.722025;0;0.498103;0;0.5;
2.63708;0.902552;0.902515;0.90324;0.903203;0.00107479;2.45714;0.999959;1.21698;19.968;10.0877;1996.8;1008.77;0.99818;22.4122;2.44704;0.99818;10.0877;0.721823;0;0.498182;0;0.5;
2.67468;0.90218;0.902147;0.903213;0.90318;0.00107417;2.45573;0.999964;1.21653;19.9599;10.0866;1995.99;1008.66;0.998251;22.4029;2.44643;0.998251;10.0866;0.721634;0;0.498252;0;0.5;
2.71228;0.901869;0.901842;0.903176;0.903149;0.00107364;2.45452;0.99997;1.21615;19.9531;10.0858;1995.31;1008.58;0.998311;22.3951;2.44589;0.998311;10.0858;0.721466;0;0.498313;0;0.5;
