time;svarc_SVarC_UPu;svarc_SVarC_BPu;svarc_SVarC_QInjPu;svarc_SVarC_URefPu;
0.000000;0.992641;-0.268070;-0.264140;0.990000;
10.000000;0.992641;-0.268070;-0.264140;0.990000;
10.000000;1.032043;1.122741;1.195829;1.044000;
20.000000;1.032042;1.122701;1.195801;1.044000;
20.000000;1.016089;0.572570;0.591141;1.022000;
30.000000;1.016089;0.572570;0.591141;1.022000;
