"time","busA.U","busB.U","busE.U","busF.U"
0,1.0218363406605178,1.01845,1.0687,1.03739
4.25484574857862e-4,1.2081831424845557,1.222069193121236,1.1685984060220942,1.0971226389400648
4.25484574857862e-4,1.2081831424845557,1.222069193121236,1.1685984060220942,1.0971226389400648
5e-4,1.194062602972432,1.2055736160488273,1.2085883250931988,1.1272885520477247
6.22674333957392e-4,1.181464110719591,1.184791806201341,1.2708418701838575,1.182263053969946
6.22674333957392e-4,1.181464110719591,1.184791806201341,1.2708418701838575,1.182263053969946
8.72541093441491e-4,1.1733056359442728,1.163564276990256,1.3350645698473012,1.2497132132042614
8.72541093441491e-4,1.1733056359442728,1.163564276990256,1.3350645698473012,1.2497132132042614
9.372889327183353e-4,1.1787171052010652,1.172923243011598,1.333230797635169,1.2487854328905792
9.372889327183353e-4,1.1787171052010652,1.172923243011598,1.333230797635169,1.2487854328905792
0.001,1.1891722478353062,1.1887416719971928,1.3243862429593765,1.2414211365430767
0.001004057009689375,1.1899221892777299,1.1898487676192244,1.3235954771707938,1.2407671439956705
0.001004057009689375,1.1899221892777299,1.1898487676192244,1.3235954771707938,1.2407671439956705
0.001010755949997233,1.1897493973572573,1.189826311902086,1.322235894919504,1.2396472577093136
0.001010755949997233,1.1897493973572573,1.189826311902086,1.322235894919504,1.2396472577093136
0.0011952001470672798,1.2295296798896267,1.2344543229076217,1.2669936985200578,1.1993904994728246
0.0011952001470672798,1.2295296798896267,1.2344543229076217,1.2669936985200578,1.1993904994728246
0.0012964002333594779,1.246019301419069,1.245822075896274,1.2355043828770371,1.1806525562162369
0.0012964002333594779,1.246019301419069,1.245822075896274,1.2355043828770371,1.1806525562162369
0.0015,1.240665355994478,1.236710860734437,1.2137165002234425,1.1726267612568058
0.002,1.1654122852767188,1.1450763203504881,1.2961511071748268,1.228811556094419
0.0025,1.2595915306140455,1.2492345672799137,1.2701879085429852,1.1684477963159217
0.002824903345516409,1.2511493835101493,1.2419248664080835,1.3478336280855379,1.2580801751665807
0.002824903345516409,1.2511493835101493,1.2419248664080835,1.3478336280855379,1.2580801751665807
0.003,1.2493660301090355,1.2398470207998096,1.3979596143247692,1.3177373316303
0.0034912187583422084,1.340465495722541,1.3475883189021554,1.4108975371781594,1.3446055845293066
0.0034912187583422084,1.340465495722541,1.3475883189021554,1.4108975371781594,1.3446055845293066
0.0035,1.3416511378463127,1.3485047245327373,1.4105497141189065,1.3444726001209353
0.004,1.3318108583918715,1.3356221533024442,1.4667118949241276,1.410155631536425
0.0045,1.3669018292424278,1.3741394586943068,1.484094376500215,1.399937327448
0.005,1.369950056369857,1.3800969381485404,1.4878235893443323,1.4187403235331817
0.005421168556054337,1.3833642459722741,1.3980545945741134,1.522923356456481,1.4802839498515266
0.005421168556054337,1.3833642459722741,1.3980545945741134,1.522923356456481,1.4802839498515266
