"time","sVarCStandard.injector.QInjPu"
0,0
2.55824810271305e-11,0
2.55824810271305e-11,0
0.006,0
0.012,0
0.018,0
0.024,0
0.03,0
0.036,0
0.042,0
0.048,0
0.054,0
0.06,0
0.066,0
0.07199999999999999,0
0.078,0
0.08400000000000001,0
0.09,0
0.096,0
0.102,0
0.108,0
0.114,0
0.12,0
0.126,0
0.132,0
0.138,0
0.144,0
0.15,0
0.156,0
0.162,0
0.168,0
0.174,0
0.18,0
0.186,0
0.192,0
0.198,0
0.204,0
0.21,0
0.216,0
0.222,0
0.228,0
0.234,0
0.24,0
0.246,0
0.252,0
0.258,0
0.264,0
0.27,0
0.276,0
0.282,0
0.288,0
0.294,0
0.3,0
0.306,0
0.312,0
0.318,0
0.324,0
0.33,0
0.336,0
0.342,0
0.348,0
0.354,0
0.36,0
0.366,0
0.372,0
0.378,0
0.384,0
0.39,0
0.396,0
0.402,0
0.408,0
0.414,0
0.42,0
0.426,0
0.432,0
0.438,0
0.444,0
0.45,0
0.456,0
0.462,0
0.468,0
0.474,0
0.48,0
0.486,0
0.492,0
0.498,0
0.504,0
0.51,0
0.516,0
0.522,0
0.528,0
0.534,0
0.54,0
0.546,0
0.552,0
0.5580000000000001,0
0.5639999999999999,0
0.57,0
0.576,0
0.582,0
0.588,0
0.594,0
0.6,0
0.606,0
0.612,0
0.618,0
0.624,0
0.63,0
0.636,0
0.642,0
0.648,0
0.654,0
0.66,0
0.666,0
0.672,0
0.678,0
0.6840000000000001,0
0.6899999999999999,0
0.696,0
0.702,0
0.708,0
0.714,0
0.72,0
0.726,0
0.732,0
0.738,0
0.744,0
0.75,0
0.756,0
0.762,0
0.768,0
0.774,0
0.78,0
0.786,0
0.792,0
0.798,0
0.804,0
0.8100000000000001,0
0.8159999999999999,0
0.822,0
0.828,0
0.834,0
0.84,0
0.846,0
0.852,0
0.858,0
0.864,0
0.87,0
0.876,0
0.882,0
0.888,0
0.894,0
0.9,0
0.906,0
0.912,0
0.918,0
0.924,0
0.93,0
0.9360000000000001,0
0.9419999999999999,0
0.948,0
0.954,0
0.96,0
0.966,0
0.972,0
0.978,0
0.984,0
0.99,0
0.996,0
1.000000000200007,0
1.000000000200007,0.08577286021193403
1.002,0.1105158506371456
1.008,0.1792956932248128
1.014,0.2405198784697467
1.02,0.2949603391586036
1.026,0.3433196916301833
1.032,0.3862382107820389
1.038,0.4242959227191932
1.044,0.458019420662402
1.05,0.4878832196176661
1.056,0.5143140055074541
1.062,0.537694630196958
1.068,0.5583677073680099
1.074,0.5766401792141945
1.08,0.5927850979730273
1.086,0.6070459250660193
1.092,0.6196391697677535
1.098,0.6307572763771794
1.104,0.6405708816446199
1.11,0.6492314491083742
1.116,0.6568733007410951
1.122,0.6636152782871332
1.128,0.6695625820627868
1.134,0.6748082776290069
1.14,0.6794347192317924
1.146,0.6835146388401272
1.152,0.6871123197937644
1.158,0.6902845328954733
1.164,0.6930814617820915
1.17,0.6955473642375049
1.176,0.6977213139553732
1.182,0.6996377859840676
1.188,0.7013272358112497
1.194,0.7028165039738815
1.2,0.7041292708231819
1.206,0.7052864186447165
1.212,0.7063063852281062
1.218,0.7072054131606507
1.224,0.7079978271644228
1.23,0.7086962554242521
1.236,0.7093118448974792
1.242,0.7098544064048752
1.248,0.7103325443563563
1.254,0.7107538584835563
1.26,0.7111250816403005
1.266,0.7114522431006756
1.272,0.7117407786962935
1.278,0.711995256544547
1.284,0.7122195446754713
1.29,0.7124175521659766
1.296,0.7125919906500294
1.302,0.7127457606780006
1.308,0.7128813252170222
1.314,0.7130006213185555
1.32,0.7131058373005573
1.326,0.7131983871022524
1.332,0.7132800067514193
1.338,0.7133518519571506
1.344,0.7134151592142826
1.35,0.7134709467011623
1.356,0.7135200589872297
1.362,0.713563339603421
1.368,0.7136014449872548
1.374,0.7136350034603269
1.38,0.7136645720724245
1.386,0.7136905894225147
1.392,0.71371345567002
1.398,0.7137335305955597
1.404,0.7137511251182159
1.41,0.7137665307305879
1.416,0.7137800835891037
1.422,0.7137920406022881
1.428,0.7138026934783266
1.434,0.7138122044257239
1.44,0.7138204836662538
1.446,0.7138277975267932
1.452,0.7138342503537785
1.458,0.7138399889213204
1.464,0.7138451414575611
1.47,0.7138497357923239
1.476,0.7138538164660277
1.482,0.7138574714501675
1.488,0.7138607465804246
1.494,0.7138636396649476
1.5,0.7138661520931714
1.506,0.7138684090344563
1.512,0.7138704135658117
1.518,0.7138721598883297
1.524,0.7138736532585538
1.53,0.7138749899590731
1.536,0.7138761544042449
1.542,0.7138771615439093
1.548,0.7138780273010957
1.554,0.7138787873920718
1.56,0.7138794478575495
1.566,0.7138800228367826
1.572,0.7138805248428823
1.578,0.7138809647070321
1.584,0.7138813517801764
1.59,0.7138816937645694
1.596,0.7138819967588622
1.602,0.7138822652581028
1.608,0.7138825021537371
1.614,0.7138827087336079
1.62,0.7138828701229325
1.626,0.7138829929103622
1.632,0.7138830920170771
1.638,0.7138831716410056
1.644,0.7138832359800762
1.65,0.7138832892322171
1.656,0.7138833355953571
1.662,0.7138833792674245
1.668,0.7138834244688289
1.674,0.7138834867524639
1.68,0.7138835465112338
1.686,0.7138836037451382
1.692,0.7138836584541773
1.698,0.7138837106383511
1.704,0.7138837602976595
1.71,0.7138838074321027
1.716,0.7138838520416804
1.722,0.713883882270824
1.728,0.7138838954905287
1.734,0.7138839087102332
1.74,0.7138839219299379
1.746,0.7138839351496424
1.752,0.7138839483693471
1.758,0.7138839615890517
1.764,0.7138839748087562
1.77,0.7138839880284609
1.776,0.7138840012481654
1.782,0.7138840144678701
1.788,0.7138840276875746
1.794,0.7138840409072793
1.8,0.7138840541269839
1.806,0.7138840673466884
1.812,0.7138840805663931
1.818,0.7138840937860976
1.824,0.71388410464069
1.83,0.7138841088122769
1.836,0.713884112983864
1.842,0.713884117155451
1.848,0.7138841213270379
1.854,0.713884125498625
1.86,0.713884129670212
1.866,0.7138841338417989
1.872,0.713884138013386
1.878,0.713884142184973
1.884,0.7138841463565601
1.89,0.713884150528147
1.896,0.713884154699734
1.902,0.7138841588713211
1.908,0.713884163042908
1.914,0.713884167214495
1.92,0.7138841713860821
1.926,0.7138841752139958
1.932,0.7138841759962081
1.938,0.7138841767784205
1.944,0.7138841775606329
1.95,0.7138841783428452
1.956,0.7138841791250576
