"time","sVarCStandard.injector.QInjPu"
1.962,0.71388417990727
1.968,0.7138841806894823
1.974,0.7138841814716947
1.98,0.7138841822539072
1.986,0.7138841830361194
1.992,0.7138841838183319
1.998,0.7138841846005443
2.004,0.7138841853827566
2.01,0.713884186164969
2.016,0.7138841869471814
2.022,0.7138841877293937
2.028,0.7138841885116061
2.034,0.7138841892938185
2.04,0.7138841900760308
2.046,0.7138841908582432
2.052,0.7138841916404556
2.058,0.7138841924226679
2.064,0.7138841932048803
2.07,0.7138841939870927
2.076,0.713884194769305
2.082,0.7138841955515174
2.088,0.7138841963337298
2.094,0.7138841971159421
2.1,0.7138841978981545
2.106,0.7138841986803669
2.112,0.7138841994625792
2.118,0.7138842002447916
2.124,0.713884201027004
2.13,0.7138842018092163
2.136,0.7138842020433191
2.142,0.7138842021240914
2.148,0.7138842022048637
2.154,0.7138842022856361
2.16,0.7138842023664084
2.166,0.7138842024471806
2.172,0.713884202527953
2.178,0.7138842026087253
2.184,0.7138842026894976
2.19,0.71388420277027
2.196,0.7138842028510423
2.202,0.7138842029318145
2.208,0.7138842030125869
2.214,0.7138842030933592
2.22,0.7138842031741315
2.226,0.7138842032549039
2.232,0.7138842033356761
2.238,0.7138842034164485
2.244,0.7138842034972208
2.25,0.7138842035779931
2.256,0.7138842036587655
2.262,0.7138842037395378
2.268,0.71388420382031
2.274,0.7138842039010824
2.28,0.7138842039818547
2.286,0.713884204062627
2.292,0.7138842041433994
2.298,0.7138842042241716
2.304,0.7138842043049439
2.31,0.7138842043857163
2.316,0.7138842044664886
2.322,0.713884204547261
2.328,0.7138842046280333
2.334,0.7138842047088055
2.34,0.7138842047895779
2.346,0.7138842048703502
2.352,0.7138842049511225
2.358,0.7138842050318949
2.364,0.7138842051126671
2.37,0.7138842051934394
2.376,0.7138842052742118
2.382,0.7138842053549841
2.388,0.7138842054357564
2.394,0.7138842055165288
2.4,0.713884205597301
2.406,0.7138842056780734
2.412,0.7138842057588457
2.418,0.713884205839618
2.424,0.7138842059203904
2.43,0.7138842060011626
2.436,0.7138842060819349
2.442,0.7138842061627073
2.448,0.7138842062434796
2.454,0.7138842063242519
2.46,0.7138842064050243
2.466,0.7138842064857965
2.472,0.7138842065665688
2.478,0.7138842066473412
2.484,0.7138842067281135
2.49,0.7138842068088858
2.496,0.7138842068896581
2.502,0.7138842069704304
2.508,0.7138842070512028
2.514,0.7138842071319751
2.52,0.7138842072127474
2.526,0.7138842072935198
2.532,0.713884207374292
2.538,0.7138842074550643
2.544,0.7138842075250357
2.55,0.7138842075294348
2.556,0.713884207533834
2.562,0.7138842075382331
2.568,0.7138842075426324
2.574,0.7138842075470315
2.58,0.7138842075514307
2.586,0.7138842075558298
2.592,0.7138842075602291
2.598,0.7138842075646282
2.604,0.7138842075690274
2.61,0.7138842075734265
2.616,0.7138842075778258
2.622,0.7138842075822249
2.628,0.7138842075866241
2.634,0.7138842075910232
2.64,0.7138842075954225
2.646,0.7138842075998216
2.652,0.7138842076042208
2.658,0.7138842076086199
2.664,0.7138842076130192
2.67,0.7138842076174183
2.676,0.7138842076218175
2.682,0.7138842076262166
2.688,0.7138842076306159
2.694,0.713884207635015
2.7,0.7138842076394142
2.706,0.7138842076438133
2.712,0.7138842076482126
2.718,0.7138842076526117
2.724,0.7138842076570109
2.73,0.71388420766141
2.736,0.7138842076658093
2.742,0.7138842076702084
2.748,0.7138842076746076
2.754,0.7138842076790067
2.76,0.713884207683406
2.766,0.7138842076878051
2.772,0.7138842076922043
2.778,0.7138842076966034
2.784,0.7138842077010027
2.79,0.7138842077054018
2.796,0.713884207709801
2.802,0.7138842077142001
2.808,0.7138842077185994
2.814,0.7138842077229985
2.82,0.7138842077273977
2.826,0.7138842077317968
2.832,0.7138842077361961
2.838,0.7138842077405952
2.844,0.7138842077449944
2.85,0.7138842077493935
2.856,0.7138842077537928
2.862,0.7138842077581919
2.868,0.7138842077625911
2.874,0.7138842077669902
2.88,0.7138842077713895
2.886,0.7138842077757886
2.892,0.7138842077801878
2.898,0.7138842077845869
2.904,0.7138842077889862
2.91,0.7138842077933854
2.916,0.7138842077977845
2.922,0.7138842078021836
2.928,0.7138842078065829
2.934,0.7138842078109821
2.94,0.7138842078153812
2.946,0.7138842078197803
2.952,0.7138842078241795
2.958,0.7138842078285788
2.964,0.7138842078329779
2.97,0.713884207837377
2.976,0.7138842078417762
2.982,0.7138842078461755
2.988,0.7138842078505746
2.994,0.7138842078549738
3,0.7138842078593729
3,0.7138842078593729
