"time","busA.U","busB.U","busE.U","busF.U"
0,1.160071492179022,1.1646219242011493,1.2692523431831704,1.2488784205564196
1.5110709023038707e-12,1.1600779154243073,1.1646284340739885,1.269259906917301,1.248886044752058
1.5110709023038707e-12,1.1600779154243073,1.1646284340739885,1.269259906917301,1.248886044752058
3.573017467305975e-4,1.2479877075966113,1.2536311742022637,1.373125440515366,1.3578991674838052
3.573017467305975e-4,1.2479878158900861,1.253631267455998,1.3731494749361082,1.3578992606343285
5e-4,1.2604362206968893,1.2662570987483517,1.388912749730546,1.3757615862280812
0.001,1.2864014230269571,1.292547788577383,1.4240159808758526,1.4152807017396585
0.0015,1.292564311491916,1.2986695879436765,1.4346655333103349,1.4268800037730458
0.002,1.287504918004932,1.2933649995887768,1.4309319656688577,1.4222415915941669
0.002389106412819495,1.279389219947335,1.2849803779729079,1.422480526079241,1.412385373196553
0.002389106412819495,1.279389219947335,1.2849803779729079,1.422480526079241,1.412385373196553
0.0025,1.2766713662131073,1.2821776565853118,1.4195158679317261,1.4089464629110766
0.003,1.263175378285607,1.2682726760243537,1.4043512352879701,1.3913942660327863
0.003311398725092519,1.2542250334556688,1.2590558573434358,1.3940438165130875,1.3794739128919684
0.003311398725092519,1.2542250334556688,1.2590558573434358,1.3940438165130875,1.3794739128919684
0.0035,1.2487446618032059,1.25341295072719,1.3876673016872432,1.3720989186267112
0.004,1.2343166547155582,1.2385588298399617,1.3707063745720987,1.3524821590184801
0.0045,1.220390586359948,1.2242292504603562,1.3541358114942352,1.333357209253699
0.005,1.207211549248278,1.2106819434364517,1.3382979036131823,1.3151615946352193
0.0055,1.1948482454932483,1.1979889302698652,1.323313986428476,1.2980471292025244
0.006,1.1832871014172117,1.186135413305339,1.3091938621040695,1.2820272697242199
0.0065,1.1724732704819356,1.1750630860099995,1.2959040958406083,1.267042263878178
0.007,1.1623392881559644,1.1647002068173165,1.2833646453967835,1.2530053399398065
0.0075,1.1528159327213228,1.1549733711756967,1.2715210075457966,1.2398226036273092
0.008,1.143839614714887,1.1458150658695647,1.2603001730129648,1.2274049026711167
0.0085,1.1353533020693038,1.1371648356792035,1.249646033376568,1.215671240064183
0.009,1.1273071584987848,1.1289698381976552,1.2394980568087033,1.2045499537507252
0.0095,1.1196589621041773,1.1211854335906675,1.2298168694815457,1.1939803094628152
0.01,1.112373304065125,1.1137741969646697,1.2205622675993684,1.1839112234904594
0.0105,1.1054170203913278,1.1067011408339642,1.2116981754169238,1.1742949705614671
0.011,1.098762645845784,1.0999373675307933,1.2031944289140173,1.1650921293133667
0.0115,1.092386695771742,1.0934582222141307,1.1950252038670717,1.1562691806799779
0.012,1.0862689148778248,1.0872424981113886,1.1871680160809326,1.147797365107786
0.0125,1.0803907898457634,1.0812708477985693,1.1796023134706943,1.1396505545419786
0.013,1.0747359235874696,1.0755261811598333,1.1723097959267603,1.1318057499425227
0.0135,1.0692895142434682,1.0699931050200318,1.16527384399851,1.1242423022382257
0.014,1.0640383350715044,1.064657901074628,1.1584794911404748,1.11694187239528
