"time","loadAlphaBetaFrequencyDependent.QPu","loadAlphaBetaFrequencyDependent.PPu"
0,0.9776417107085483,0.9671786996941478
0.024,0.9696564059264781,0.977104687569076
0.048,0.969622959400353,0.9771462414781715
0.072,0.9696242708330176,0.9771446121597067
0.096,0.9696258924023264,0.9771425975283957
0.12,0.969627110071561,0.9771410847006714
0.144,0.9696280397602981,0.9771399296586867
0.168,0.9696287568205219,0.9771390387855192
0.192,0.9696293100900392,0.9771383514053091
0.216,0.9696297466945613,0.9771378089692676
0.24,0.9696300940447674,0.9771373774224765
0.264,0.9696303663996867,0.9771370390495785
0.288,0.9696305768614384,0.97713677757255
0.312,0.969630739472059,0.9771365755456134
0.336,0.9696308650206736,0.9771364195643966
0.36,0.9696309621003548,0.9771362989528947
0.384,0.9696310353707593,0.9771362079219647
0.408,0.9696310901078109,0.9771361399168161
0.432,0.9696311310298416,0.9771360890754082
0.456,0.9696311624292923,0.9771360500648245
0.48,0.9696311891872088,0.9771360168208686
0.504,0.9696312093952247,0.97713599171449
0.528,0.9696312277771181,0.9771359688768804
0.552,0.969631243933355,0.9771359488044196
0.576,0.9696312567023029,0.9771359329403166
0.6,0.9696312679197261,0.9771359190038232
0.624,0.9696312753318124,0.9771359097950695
0.648,0.9696312798881501,0.9771359041342893
0.672,0.969631283651102,0.977135899459209
0.696,0.9696312872570079,0.977135894979242
0.72,0.969631289995261,0.9771358915772446
0.744,0.9696312918658612,0.9771358892532166
0.768,0.9696312928688083,0.9771358880071578
0.792,0.9696312926809443,0.9771358882405594
0.816,0.9696312922662246,0.9771358887558059
0.84,0.9696312918515049,0.9771358892710529
0.864,0.969631291436785,0.9771358897862995
0.888,0.9696312910220651,0.9771358903015458
0.912,0.9696312908607443,0.9771358905019705
0.936,0.9696312907568448,0.9771358906310551
0.96,0.9696312906529454,0.9771358907601393
0.984,0.9696312905490462,0.9771358908892238
1.008,0.9696312904451466,0.977135891018308
1.032,0.969631290341247,0.9771358911473925
1.056,0.9696312902373477,0.9771358912764767
1.08,0.9696312901334483,0.977135891405561
1.104,0.9696312900295487,0.9771358915346456
1.128,0.9696312899256493,0.97713589166373
1.152,0.969631289903571,0.97713589169116
1.176,0.9696312898843036,0.9771358917150976
1.2,0.9696312898650361,0.9771358917390356
1.224,0.9696312898457685,0.9771358917629734
1.248,0.9696312898265009,0.9771358917869115
1.272,0.9696312898072337,0.9771358918108491
1.296,0.9696312897879661,0.9771358918347872
1.32,0.9696312897686985,0.977135891858725
1.344,0.969631289749431,0.9771358918826629
1.368,0.9696312897301635,0.9771358919066008
1.392,0.9696312897108962,0.9771358919305385
1.416,0.9696312896916286,0.9771358919544766
1.44,0.9696312896723611,0.9771358919784144
1.464,0.9696312896530935,0.9771358920023524
1.488,0.9696312896338262,0.97713589202629
1.512,0.9696312896145587,0.9771358920502282
1.536,0.9696312895952911,0.9771358920741656
1.56,0.9696312895760234,0.9771358920981039
1.584,0.969631289556756,0.9771358921220415
1.608,0.9696312895422051,0.9771358921401198
1.632,0.9696312895404163,0.9771358921423422
1.656,0.9696312895386272,0.9771358921445648
1.68,0.9696312895368384,0.9771358921467873
1.704,0.9696312895350496,0.97713589214901
1.728,0.9696312895332608,0.9771358921512323
1.752,0.9696312895314717,0.977135892153455
1.776,0.9696312895296829,0.9771358921556775
1.8,0.9696312895278939,0.9771358921578999
1.824,0.969631289526105,0.9771358921601224
1.848,0.969631289524316,0.977135892162345
1.872,0.9696312895225272,0.9771358921645676
1.896,0.9696312895207384,0.97713589216679
1.92,0.9696312895189493,0.9771358921690128
1.944,0.9696312895171605,0.9771358921712351
1.968,0.9696312895153715,0.9771358921734574
1.992,0.9696312895135826,0.9771358921756804
2.000000000400014,0.9696312895129863,0.977135892176421
2.000000000400014,0.623227421606983,0.6862856435785126
2.016,0.6167505895224208,0.6951496466331346
2.04,0.6163781016948591,0.6956590701664916
2.064,0.6163759613949408,0.6956619971829385
2.088,0.6163781288100402,0.6956590330844937
2.112,0.6163798829509363,0.695656634167757
2.136,0.6163812807936312,0.6956547225144183
2.16,0.616382346852636,0.6956532645994691
2.184,0.616383172223806,0.6956521358428139
2.208,0.6163838161846513,0.6956512551781822
2.232,0.6163843198119611,0.6956505664300789
2.256,0.6163847123635489,0.6956500295863048
2.28,0.6163850196698701,0.6956496093218043
2.304,0.6163852597001742,0.6956492810622978
2.328,0.6163854471870773,0.6956490246598358
2.352,0.6163855949325063,0.695648822606826
2.376,0.6163857117614933,0.6956486628343764
2.4,0.6163858029467705,0.6956485381316314
2.424,0.6163858713471801,0.6956484445889101
2.448,0.6163859251253845,0.6956483710431566
2.472,0.6163859656382558,0.6956483156387469
2.496,0.6163859967342942,0.6956482731125666
2.52,0.6163860199188342,0.6956482414059577
2.544,0.6163860376720327,0.6956482171271181
2.568,0.6163860513392094,0.6956481984362222
2.592,0.6163860619649818,0.6956481839046758
2.616,0.6163860701696086,0.6956481726842291
2.64,0.6163860767539658,0.6956481636796233
2.664,0.6163860824008812,0.6956481559570398
2.688,0.616386087259943,0.695648149311906
2.712,0.6163860913810915,0.6956481436759243
2.736,0.6163860943582773,0.6956481396043981
2.76,0.6163860961773857,0.6956481371166294
2.784,0.6163860971514028,0.695648135784588
2.808,0.6163860973565526,0.6956481355040296
2.832,0.616386097362564,0.6956481354958086
2.856,0.6163860980703147,0.6956481345279062
2.88,0.6163860986881253,0.6956481336830032
2.904,0.6163860992159962,0.6956481329611001
2.928,0.616386099653927,0.6956481323621967
2.952,0.6163861000019176,0.6956481318862932
2.976,0.6163861002599687,0.6956481315333892
3,0.6163861004280793,0.6956481313034851
3.024,0.6163861005062501,0.6956481311965808
3.048,0.6163861003466561,0.6956481314148375
3.072,0.6163861001773999,0.695648131646308
3.096,0.6163861000081436,0.6956481318777787
3.12,0.6163860998388873,0.6956481321092497
3.144,0.6163860996696311,0.6956481323407206
3.168,0.6163860995003747,0.6956481325721913
3.192,0.6163860993311185,0.6956481328036619
3.216,0.616386099161862,0.6956481330351326
3.24,0.6163860989926058,0.6956481332666034
3.264,0.6163860988233495,0.6956481334980741
3.288,0.6163860986540932,0.695648133729545
3.312,0.6163860984848369,0.6956481339610158
3.336,0.6163860983155807,0.6956481341924864
3.36,0.6163860981463243,0.6956481344239572
3.384,0.6163860979770681,0.6956481346554281
3.408,0.6163860978078118,0.695648134886899
3.432,0.6163860976642715,0.6956481350832009
3.456,0.6163860976344122,0.6956481351240359
3.48,0.6163860976045529,0.6956481351648707
3.504,0.6163860975746936,0.6956481352057057
