"time","WTG4A.injector.PInjPu","WTG4A.injector.PInjPuSn","WTG4A.injector.QInjPu","WTG4A.pll.omegaPLLPu","WTG4A.driveTrainPmConstant.PePu"
0,0.7000023409573137,0.7000023409573137,0.2795012059798542,1.00000525512102,0.7000023409573137
0.001,0.7000023817148007,0.7000023817148007,0.2795003677584973,1.000001938754068,0.7000023817148007
0.002,0.7000023160355118,0.7000023160355118,0.2794999926639158,1.000000436430818,0.7000023160355118
0.002602226799353957,0.7000022505519828,0.7000022505519828,0.2794998968331548,1.000000035478096,0.7000022505519828
0.002602226799353957,0.7000022505519828,0.7000022505519828,0.2794998968331547,1.000000035478095,0.7000022505519828
0.003,0.7000021937124932,0.7000021937124932,0.279499892793508,1.000000002537021,0.7000021937124932
0.004,0.7000020562147227,0.7000020562147227,0.2794998953876981,0.9999999579769793,0.7000020562147227
0.005,0.700001927377823,0.700001927377823,0.2794999083182291,0.9999999401097122,0.700001927377823
0.006,0.7000018069261774,0.7000018069261774,0.2794999262372738,0.9999999324094091,0.7000018069261774
0.007,0.7000016947837817,0.7000016947837817,0.2794999480598676,0.9999999315763908,0.7000016947837817
0.008,0.7000015903184056,0.7000015903184056,0.27949997295874,0.9999999363006055,0.7000015903184056
0.008999999999999999,0.7000014913845523,0.7000014913845523,0.2794999967126244,0.9999999376283047,0.7000014913845523
0.01,0.7000013991037893,0.7000013991037893,0.2795000215282048,0.9999999402400969,0.7000013991037893
0.011,0.7000013134761163,0.7000013134761163,0.2795000474054813,0.9999999441359817,0.7000013134761163
0.012,0.7000012345015335,0.7000012345015335,0.2795000743444537,0.9999999493159593,0.7000012345015335
0.013,0.700001161144207,0.700001161144207,0.2795001017027459,0.9999999551885324,0.700001161144207
0.014,0.7000010874702451,0.7000010874702451,0.2795001258004349,0.9999999583652441,0.7000010874702451
0.015,0.7000010179614543,0.7000010179614543,0.2795001494169282,0.999999961405361,0.7000010179614543
0.016,0.7000009526178347,0.7000009526178347,0.2795001725522257,0.9999999643088824,0.7000009526178347
0.017,0.7000008914393864,0.7000008914393864,0.2795001952063278,0.999999967075809,0.7000008914393864
0.018,0.7000008344261095,0.7000008344261095,0.2795002173792342,0.9999999697061404,0.7000008344261095
0.019,0.7000007815780047,0.7000007815780047,0.2795002390709451,0.9999999721998767,0.7000007815780047
0.02,0.7000007328950715,0.7000007328950715,0.2795002602814604,0.9999999745570178,0.7000007328950715
0.021,0.7000006883773099,0.7000006883773099,0.27950028101078,0.9999999767775638,0.7000006883773099
0.022,0.7000006480247204,0.7000006480247204,0.2795003012589041,0.9999999788615146,0.7000006480247204
0.023,0.7000006118373023,0.7000006118373023,0.2795003210258326,0.9999999808088703,0.7000006118373023
0.024,0.7000005683077916,0.7000005683077916,0.2795003392460575,0.99999998277189,0.7000005683077916
0.025,0.7000005257574274,0.7000005257574274,0.2795003566900788,0.9999999846404705,0.7000005257574274
0.026,0.7000004851247893,0.7000004851247893,0.2795003734448036,0.999999986402193,0.7000004851247893
0.027,0.7000004464098777,0.7000004464098777,0.2795003895102319,0.9999999880570576,0.7000004464098777
