"time","BESScb.injector.PInjPuSn","BESScb.injector.QInjPuSn","BESScb.reecC.idCmdPu","BESScb.reecC.iqCmdPu","BESScb.regcBCS.UPu","BESScb.injector.UPu"
0,0.499999999999522,-6.921104999993215e-07,0.5,1.5e-12,1.000000000000002,1.000000000000002
0.001,0.4999999999999345,-2.576701915787702e-07,0.5,1.499999632044657e-12,1.000000000000002,1.000000000000002
0.002,0.4999999999999972,-6.118631443343039e-08,0.4999999999999999,1.499997206327203e-12,1.000000000000002,1.000000000000002
0.003,0.5000000000000002,2.58823395531907e-08,0.5,1.499991130576798e-12,1.000000000000002,1.000000000000002
0.004,0.4999999999999946,7.931782137067501e-08,0.5,1.499979774616283e-12,1.000000000000002,1.000000000000002
0.005,0.4999999999999947,7.889896279766925e-08,0.4999999999999999,1.499963553680187e-12,1.000000000000002,1.000000000000002
0.006,0.4999999999999967,6.51921807543911e-08,0.5,1.499905756981551e-12,1.000000000000002,1.000000000000002
0.007,0.499999999999998,5.378592241316767e-08,0.5,1.499842662367977e-12,1.000000000000002,1.000000000000002
0.008,0.4999999999999992,4.237966407194422e-08,0.5000000000000001,1.499779567754403e-12,1.000000000000002,1.000000000000002
0.008999999999999999,0.5,3.097340573072073e-08,0.5000000000000002,1.499716473140829e-12,1.000000000000002,1.000000000000002
0.01,0.5000000000000006,1.956714738949719e-08,0.5000000000000003,1.499653378527255e-12,1.000000000000002,1.000000000000002
0.011,0.5000000000000008,1.599040740981375e-08,0.5000000000000006,1.499526745694072e-12,1.000000000000002,1.000000000000002
0.012,0.5000000000000009,1.488614691272193e-08,0.5000000000000009,1.49938004815996e-12,1.000000000000002,1.000000000000002
0.013,0.500000000000001,1.37818864156301e-08,0.5000000000000011,1.499233350625849e-12,1.000000000000002,1.000000000000002
0.014,0.5000000000000013,1.267762591853828e-08,0.5000000000000014,1.499086653091737e-12,1.000000000000002,1.000000000000002
0.015,0.5000000000000014,1.157336542144644e-08,0.5000000000000018,1.498939955557626e-12,1.000000000000002,1.000000000000002
0.016,0.5000000000000016,1.046910492435463e-08,0.5000000000000022,1.498793258023515e-12,1.000000000000002,1.000000000000002
0.017,0.5000000000000018,9.364844427262802e-09,0.5000000000000026,1.498646560489403e-12,1.000000000000002,1.000000000000002
0.018,0.5000000000000018,8.260583930170965e-09,0.5000000000000028,1.498499862955291e-12,1.000000000000002,1.000000000000002
0.019,0.5000000000000021,7.15632343307915e-09,0.5000000000000031,1.49835316542118e-12,1.000000000000002,1.000000000000002
