"time","converterVoltageSourceIEC63406.gridMeasurement.firstOrder.y","converterVoltageSourceIEC63406.gridMeasurement.firstOrder1.y","converterVoltageSourceIEC63406.gridMeasurement.firstOrder3.y","PRefPu.y","QRefPu.y","URefPu.y","converterVoltageSourceIEC63406.controlAndProtection.control.qControl.voltageDroop","converterVoltageSourceIEC63406.energyConversion.storageSys.SOClimiter.y","converterVoltageSourceIEC63406.gridMeasurement.fMeasPu","converterVoltageSourceIEC63406.injectorVoltageSource.voltageSourceIEC63406.PInjPu","converterVoltageSourceIEC63406.injectorVoltageSource.voltageSourceIEC63406.QInjPu","converterVoltageSourceIEC63406.energyConversion.storageSys.sOCcontrol.soc","converterVoltageSourceIEC63406.gridMeasurement.PMeasPu","converterVoltageSourceIEC63406.gridMeasurement.QMeasPu","converterVoltageSourceIEC63406.gridMeasurement.UMeasPu","converterVoltageSourceIEC63406.pCmdPu","converterVoltageSourceIEC63406.plantCommunication.pCmdPu","converterVoltageSourceIEC63406.plantCommunication.qCmdPu","converterVoltageSourceIEC63406.plantCommunication.uCmdPu","converterVoltageSourceIEC63406.qCmdPu","converterVoltageSourceIEC63406.uCmdPu"
0,1,-0,1,1,0,1,1,60,2,1.010000147134986,0.09997935740791003,60,1,-0,1,1,1,0,1,0,1
0.001,1.000000029954255,-1.781171726851109e-06,1.000000198262301,1,0,1,0.9999984170905739,59.99749999996585,2.000999989792771,1.010000408741695,0.09998242232341011,59.99749999996585,1.000000029954255,-1.781171726851109e-06,1.000000198262301,1,1,0,1,0,1
0.002,1.000000081112803,-3.132184411880538e-06,1.000000384386724,1,0,1,0.9999972522023122,59.99499999982437,2.001999992415505,1.010000664750462,0.09998509319700621,59.99499999982437,1.000000081112803,-3.132184411880538e-06,1.000000384386724,1,1,0,1,0,1
0.003,1.000000150629656,-4.119389766908644e-06,1.000000558683659,1,0,1,0.999996439293892,59.99249999953137,2.002999998252111,1.010000905475491,0.09998744991298436,59.99249999953137,1.000000150629656,-4.119389766908644e-06,1.000000558683659,1,1,0,1,0,1
0.004,1.000000235106281,-4.801471240676223e-06,1.000000721600956,1,0,1,0.9999959201297149,59.98999999904712,2.004000003403446,1.01000112389451,0.09998955652172394,59.98999999904712,1.000000235106281,-4.801471240676223e-06,1.000000721600956,1,1,0,1,0,1
0.005,1.000000331207361,-5.224863176127597e-06,1.000000873628005,1,0,1,0.9999956487648287,59.98749999834096,2.004638855782746,1.010001315707112,0.09999145806490661,59.98749999834096,1.000000331207361,-5.224863176127597e-06,1.000000873628005,1,1,0,1,0,1
0.006,1.000000434746286,-5.437704932272584e-06,1.000001015437564,1,0,1,0.9999955777326323,59.98499999738456,2.004586325036234,1.010001477974352,0.09999319343405771,59.98499999738456,1.000000434746286,-5.437704932272584e-06,1.000001015437564,1,1,0,1,0,1
0.007,1.000000542251857,-5.473980573745889e-06,1.000001147639162,1,0,1,0.9999956736585887,59.98249999616382,2.004290528975001,1.010001610059006,0.09999478276067456,59.98249999616382,1.000000542251857,-5.473980573745889e-06,1.000001147639162,1,1,0,1,0,1
0.008,1.000000650496884,-5.36357537406515e-06,1.000001270837035,1,0,1,0.9999959072616607,59.97999999467272,2.003934570339188,1.010001712297121,0.09999623908078181,59.97999999467272,1.000000650496884,-5.36357537406515e-06,1.000001270837035,1,1,0,1,0,1
0.008999999999999999,1.000000756668863,-5.132185932729478e-06,1.000001385594914,1,0,1,0.999996253408981,59.97749999291306,2.003579575905369,1.010001785728641,0.09999756997852619,59.97749999291306,1.000000756668863,-5.132185932729478e-06,1.000001385594914,1,1,0,1,0,1
0.009156062200122505,1.000000772888486,-5.086673620514539e-06,1.000001402777465,1,0,1,0.9999963161038441,59.97710983711436,2.003525951169501,1.010001794682798,0.09999776667922905,59.97710983711436,1.000000772888486,-5.086673620514539e-06,1.000001402777465,1,1,0,1,0,1
0.009156062200122505,1.000000772888486,-5.086673620514539e-06,1.000001402777465,1,0,1,0.9999963161038441,59.97710983711436,2.003525951169501,1.010001794682798,0.09999776667922904,59.97710983711436,1.000000772888486,-5.086673620514539e-06,1.000001402777465,1,1,0,1,0,1
0.01,1.000000858301138,-4.802962845163177e-06,1.0000014924461,1,0,1,0.9999966894832553,59.97499999089346,2.003245928141439,1.010001831915276,0.099998779708795,59.97499999089346,1.000000858301138,-4.802962845163177e-06,1.0000014924461,1,1,0,1,0,1
0.011,1.000000953163922,-4.398617249698872e-06,1.000001591928275,1,0,1,0.9999971933110255,59.97249998863087,2.002939368663592,1.010001853035893,0.09999987058173347,59.97249998863087,1.000000953163922,-4.398617249698872e-06,1.000001591928275,1,1,0,1,0,1
0.012,1.000001039866247,-3.935096430435249e-06,1.000001684423198,1,0,1,0.9999977493267675,59.96999998614272,2.002659962923817,1.010001851009978,0.1000008436317279,59.96999998614272,1.000001039866247,-3.935096430435249e-06,1.000001684423198,1,1,0,1,0,1
0.013,1.000001117212971,-3.427922268608534e-06,1.000001770304985,1,0,1,0.9999983423827165,59.96749998345016,2.002406415976488,1.01000182798234,0.1000016998203069,59.96749998345016,1.000001117212971,-3.427922268608534e-06,1.000001770304985,1,1,0,1,0,1
0.014,1.000001184337828,-2.890729349725782e-06,1.000001849905161,1,0,1,0.9999989591758108,59.96499998057595,2.002176959875129,1.01000178611921,0.1000024402823108,59.96499998057595,1.000001184337828,-2.890729349725782e-06,1.000001849905161,1,1,0,1,0,1
0.015,1.000001240602257,-2.336711561625152e-06,1.000001923548658,1,0,1,0.9999995868370966,59.9624999775463,2.001969517517153,1.010001727801767,0.1000030666501152,59.9624999775463,1.000001240602257,-2.336711561625152e-06,1.000001923548658,1,1,0,1,0,1
0.016,1.000001285563373,-1.778003144969791e-06,1.000001991539732,1,0,1,1.000000213536587,59.95999997438784,2.001782131367061,1.010001655386942,0.100003581075615,59.95999997438784,1.000001285563373,-1.778003144969791e-06,1.000001991539732,1,1,0,1,0,1
0.017,1.000001318794009,-1.227122862056974e-06,1.000002054193563,1,0,1,1.000000827070701,59.95749997112858,2.001612764869339,1.010001571342526,0.1000039859148409,59.95749997112858,1.000001318794009,-1.227122862056974e-06,1.000002054193563,1,1,0,1,0,1
0.018,1.000001340582799,-6.933080457957004e-07,1.000002111770613,1,0,1,1.000001418462567,59.9549999677999,2.001459553322891,1.010001478230933,0.1000042857266429,59.9549999677999,1.000001340582799,-6.933080457957004e-07,1.000002111770613,1,1,0,1,0,1
0.019,1.00000135093192,-1.867443366191324e-07,1.000002164548227,1,0,1,1.00000197780389,59.95249996443044,2.001320677154124,1.010001378479287,0.1000044842851141,59.95249996443044,1.00000135093192,-1.867443366191324e-07,1.000002164548227,1,1,0,1,0,1
0.02,1.000001350713724,2.872278102361613e-07,1.000002212729856,1,0,1,1.000002499957666,59.94999996104934,2.001194849486021,1.010001274387618,0.1000045884842024,59.94999996104934,1.000001350713724,2.872278102361613e-07,1.000002212729856,1,1,0,1,0,1
0.021,1.000001340531918,7.223548855620973e-07,1.000002256544281,1,0,1,1.000002978899167,59.94749995768303,2.001080765160926,1.010001168129311,0.1000046046371837,59.94749995768303,1.000001340531918,7.223548855620973e-07,1.000002256544281,1,1,0,1,0,1
0.022,1.000001321407928,1.115247458797353e-06,1.000002296184767,1,0,1,1.000003411432226,59.94499995435591,2.0009775186879,1.010001061665813,0.1000045408584346,59.94499995435591,1.000001321407928,1.115247458797353e-06,1.000002296184767,1,1,0,1,0,1
0.023,1.000001294315439,1.463559390997915e-06,1.000002331860705,1,0,1,1.000003795420096,59.94249995108723,2.000884199616936,1.010000956619262,0.1000044056090459,59.94249995108723,1.000001294315439,1.463559390997915e-06,1.000002331860705,1,1,0,1,0,1
0.024,1.000001260369349,1.766357485604561e-06,1.000002363772656,1,0,1,1.000004130130141,59.93999994789376,2.000800065491781,1.010000854422983,0.1000042081256062,59.93999994789376,1.000001260369349,1.766357485604561e-06,1.000002363772656,1,1,0,1,0,1
0.025,1.000001220391885,2.021248603768472e-06,1.000002392150676,1,0,1,1.000004413399279,59.93749994479248,2.000724013591154,1.010000756547857,0.1000039560862157,59.93749994479248,1.000001220391885,2.021248603768472e-06,1.000002392150676,1,1,0,1,0,1
0.026,1.000001175396942,2.227854843520267e-06,1.000002417212104,1,0,1,1.000004645066947,59.93499994179665,2.000655222526524,1.010000664183076,0.1000036582615064,59.93499994179665,1.000001175396942,2.227854843520267e-06,1.000002417212104,1,1,0,1,0,1
0.027,1.000001126362038,2.386192471981216e-06,1.000002439176293,1,0,1,1.000004825368765,59.93249993891814,2.00059294804067,1.010000578407118,0.1000033229294226,59.93249993891814,1.000001126362038,2.386192471981216e-06,1.000002439176293,1,1,0,1,0,1
0.028,1.00000107428658,2.497212341128686e-06,1.000002458260132,1,0,1,1.000004955472473,59.92999993616613,2.000536485706985,1.010000500095931,0.1000029584425137,59.92999993616613,1.00000107428658,2.497212341128686e-06,1.000002458260132,1,1,0,1,0,1
0.029,1.000001020198569,2.562827616977523e-06,1.000002474673293,1,0,1,1.00000503750091,59.92749993354753,2.000485254730132,1.010000429942638,0.1000025730009561,59.92749993354753,1.000001020198569,2.562827616977523e-06,1.000002474673293,1,1,0,1,0,1
0.03,1.000000965077277,2.585663218648774e-06,1.000002488622056,1,0,1,1.000005074285274,59.92499993106602,2.000438947067672,1.010000368400023,0.1000021745276705,59.92499993106602,1.000000965077277,2.585663218648774e-06,1.000002488622056,1,1,0,1,0,1
0.031,1.000000909899373,2.569091843597772e-06,1.000002500309896,1,0,1,1.00000506940174,59.92249992872306,2.000397262174575,1.010000315745438,0.1000017707598543,59.92249992872306,1.000000909899373,2.569091843597772e-06,1.000002500309896,1,1,0,1,0,1
0.032,1.000000855450671,2.516332506980457e-06,1.000002509942805,1,0,1,1.000005026275312,59.91999992651741,2.000359466762003,1.01000027205524,0.1000013684445133,59.91999992651741,1.000000855450671,2.516332506980457e-06,1.000002509942805,1,1,0,1,0,1
0.033,1.000000802492613,2.431464883191349e-06,1.000002517720611,1,0,1,1.000004949185494,59.91749992444507,2.000325207196845,1.01000023718801,0.1000009738955857,59.91749992444507,1.000000802492613,2.431464883191349e-06,1.000002517720611,1,1,0,1,0,1
0.034,1.000000751694756,2.318250183088405e-06,1.000002523843296,1,0,1,1.000004842093479,59.91499992250186,2.000294228181224,1.010000210987446,0.1000005927907549,59.91499992250186,1.000000751694756,2.318250183088405e-06,1.000002523843296,1,1,0,1,0,1
0.035,1.000000703648283,2.180731887419993e-06,1.000002528501814,1,0,1,1.000004709233702,59.9124999206817,2.000266208270522,1.010000193141832,0.1000002301486267,59.9124999206817,1.000000703648283,2.180731887419993e-06,1.000002528501814,1,1,0,1,0,1
0.036,1.000000658920979,2.022929623788152e-06,1.000002531886703,1,0,1,1.000004554816327,59.90999991897834,2.000240867900506,1.010000183322266,0.09999989081220874,59.90999991897834,1.000000658920979,2.022929623788152e-06,1.000002531886703,1,1,0,1,0,1
