"time","reducedOrderSFR.deltaFrequency"
0,0
0.004,0
0.008,0
0.012,0
0.016,0
0.02,0
0.024,0
0.028,0
0.032,0
0.036,0
0.04,0
0.044,0
0.048,0
0.052,0
0.056,0
0.06,0
0.064,0
0.068,0
0.07199999999999999,0
0.076,0
0.08,0
0.08400000000000001,0
0.08799999999999999,0
0.092,0
0.096,0
0.1,0
0.104,0
0.108,0
0.112,0
0.116,0
0.12,0
0.124,0
0.128,0
0.132,0
0.136,0
0.14,0
0.144,0
0.148,0
0.152,0
0.156,0
0.16,0
0.164,0
0.168,0
0.172,0
0.176,0
0.18,0
0.184,0
0.188,0
0.192,0
0.196,0
0.2,0
0.204,0
0.208,0
0.212,0
0.216,0
0.22,0
0.224,0
0.228,0
0.232,0
0.236,0
0.24,0
0.244,0
0.248,0
0.252,0
0.256,0
0.26,0
0.264,0
0.268,0
0.272,0
0.276,0
0.28,0
0.284,0
0.288,0
0.292,0
0.296,0
0.3,0
0.304,0
0.308,0
0.312,0
0.316,0
0.32,0
0.324,0
0.328,0
0.332,0
0.336,0
0.34,0
0.344,0
0.348,0
0.352,0
0.356,0
0.36,0
0.364,0
0.368,0
0.372,0
0.376,0
0.38,0
0.384,0
0.388,0
0.392,0
0.396,0
0.4,0
0.404,0
0.408,0
0.412,0
0.416,0
0.42,0
0.424,0
0.428,0
0.432,0
0.436,0
0.44,0
0.444,0
0.448,0
0.452,0
0.456,0
0.46,0
0.464,0
0.468,0
0.472,0
0.476,0
0.48,0
0.484,0
0.488,0
0.492,0
0.496,0
0.5,0
0.504,0
0.508,0
0.512,0
0.516,0
0.52,0
0.524,0
0.528,0
0.532,0
0.536,0
0.54,0
0.544,0
0.548,0
0.552,0
0.556,0
0.5600000000000001,0
0.5639999999999999,0
0.5679999999999999,0
0.572,0
0.576,0
0.58,0
0.584,0
0.588,0
0.592,0
0.596,0
0.6,0
0.604,0
0.608,0
0.612,0
0.616,0
0.62,0
0.624,0
0.628,0
0.632,0
0.636,0
0.64,0
0.644,0
0.648,0
0.652,0
0.656,0
0.66,0
0.664,0
0.668,0
0.672,0
0.676,0
0.68,0
0.6840000000000001,0
0.6879999999999999,0
0.6919999999999999,0
0.696,0
0.7,0
0.704,0
0.708,0
0.712,0
0.716,0
0.72,0
0.724,0
0.728,0
0.732,0
0.736,0
0.74,0
0.744,0
0.748,0
0.752,0
0.756,0
0.76,0
0.764,0
0.768,0
0.772,0
0.776,0
0.78,0
0.784,0
0.788,0
0.792,0
0.796,0
0.8,0
0.804,0
0.8080000000000001,0
0.8120000000000001,0
0.8159999999999999,0
0.82,0
0.824,0
0.828,0
0.832,0
0.836,0
0.84,0
0.844,0
0.848,0
0.852,0
0.856,0
0.86,0
0.864,0
0.868,0
0.872,0
0.876,0
0.88,0
0.884,0
0.888,0
0.892,0
0.896,0
0.9,0
0.904,0
0.908,0
0.912,0
0.916,0
0.92,0
0.924,0
0.928,0
0.9320000000000001,0
0.9360000000000001,0
0.9399999999999999,0
0.944,0
0.948,0
0.952,0
0.956,0
0.96,0
0.964,0
0.968,0
0.972,0
0.976,0
0.98,0
0.984,0
0.988,0
0.992,0
0.996,0
1,0
1.000000000200015,0
1.000000000200015,0
1.004,-0.008984938526622037
1.008,-0.01793981311192521
1.012,-0.02686473396290811
1.016,-0.03575970894960336
1.02,-0.04462500377751618
1.024,-0.05346056961285583
1.028,-0.0622663878485368
1.032,-0.07104245848455913
1.036,-0.07978916931409678
1.04,-0.08850640088668688
1.044,-0.09719408031265224
1.048,-0.1058522075919928
1.052,-0.1144816176711891
1.056,-0.1230822288193195
1.06,-0.1316537748376342
1.064,-0.1401962557261331
1.068,-0.1487096714848163
1.072,-0.1571940221136838
1.076,-0.1656493076127356
1.08,-0.1740755279819717
1.084,-0.1824734368732331
1.088,-0.1908432260477252
1.092,-0.1991842821355191
1.096,-0.2074966051366147
1.1,-0.2157801950510121
1.104,-0.2240350518787112
1.108,-0.2322611756197121
1.112,-0.2404588681128239
1.116,-0.2486298732930406
1.12,-0.2567726869848577
1.124,-0.2648873091882751
1.128,-0.2729737399032923
1.132,-0.2810319791299103
1.136,-0.2890620268681287
1.14,-0.2970638831179474
1.144,-0.3050390375765835
1.148,-0.3129868506503939
1.152,-0.3209069437985582
1.156,-0.3287993170210766
1.16,-0.3366639703179488
1.164,-0.3445009036891749
1.168,-0.3523101171347551
1.172,-0.3600923705714258
1.176,-0.3678483721667699
1.18,-0.3755771393453228
1.184,-0.3832786721070847
1.188,-0.3909529704520555
1.192,-0.3986000343802352
1.196,-0.406219863891624
1.2,-0.4138124904911401
1.204,-0.4213791389861836
1.208,-0.4289190403322876
1.212,-0.4364322525195658
1.216,-0.4439188335381321
1.22,-0.4513788413781003
1.224,-0.4588123340295844
1.228,-0.4662193694826982
1.232,-0.4736000057275555
1.236,-0.4809543007542703
1.24,-0.4882823125529564
1.244,-0.4955840991137277
1.248,-0.5028597184266981
1.252,-0.5101092284819814
1.256,-0.5173326872696915
1.26,-0.5245302681424271
1.264,-0.5317022637806165
1.268,-0.5388484802930924
1.272,-0.5459689829032467
1.276,-0.5530638368344718
1.28,-0.5601331073101595
1.284,-0.5671768595537022
1.288,-0.5741951587884921
1.292,-0.581188070237921
1.296,-0.5881556591253813
1.3,-0.5950979906742651
1.304,-0.6020151301079644
1.308,-0.6089071426498714
1.312,-0.6157740935233785
1.316,-0.6226160479518775
1.32,-0.629433100792003
1.324,-0.63622532156116
1.328,-0.6429927532675146
1.332,-0.6497354618536855
1.336,-0.656453513262291
1.34,-0.6631469734359499
1.344,-0.6698159083172804
1.348,-0.6764603838489015
1.352,-0.6830804659734315
1.356,-0.6896762206334889
1.36,-0.6962477137716925
1.364,-0.7027950113306606
1.368,-0.709318179253012
1.372,-0.715817283481365
1.376,-0.7222923899583381
1.38,-0.7287432955290807
1.384,-0.7351702044517701
1.388,-0.7415732418933259
1.392,-0.7479524694696649
1.396,-0.7543079487967037
1.4,-0.760639741490359
1.404,-0.7669479091665473
1.408,-0.7732325134411854
1.412,-0.7794936159301898
1.416,-0.7857312782494772
1.42,-0.7919455620149642
1.424,-0.7981365288425676
1.428,-0.8043042403482038
1.432,-0.8104487581477896
1.436,-0.8165701438572414
1.44,-0.822668459092476
1.444,-0.8287437654694102
1.448,-0.8347959070883746
1.452,-0.8408251040821967
1.456,-0.8468314327836027
1.46,-0.8528149523598418
1.464,-0.858775721978163
1.468,-0.8647138008058147
1.472,-0.8706292480100462
1.476,-0.8765221227581063
1.48,-0.8823924842172436
1.484,-0.8882403915547071
1.488,-0.8940659039377461
1.492,-0.8998690805336088
1.496,-0.9056499805095446
1.5,-0.9114086630328021
1.504,-0.9171451872706303
1.508,-0.922859612390278
1.512,-0.9285519881842751
1.516,-0.9342221794760336
1.52,-0.9398704125499628
1.524,-0.9454967445308894
1.528,-0.9511012325436403
1.532,-0.9566839337130422
1.536,-0.9622449051639221
1.54,-0.9677842040211071
1.544,-0.9733018874094237
1.548,-0.9787980124536989
1.552,-0.9842726362787598
1.556,-0.9897258160094333
1.56,-0.9951576087705459
1.564,-1.000568071686925
1.568,-1.005957261883397
1.572,-1.011325236484788
1.576,-1.016672052615927
1.58,-1.021997737252465
1.584,-1.027302218139158
1.588,-1.032585679805359
1.592,-1.037848177595951
1.596,-1.043089766855817
1.6,-1.048310502929839
1.604,-1.053510441162901
1.608,-1.058689636899885
1.612,-1.063848145485674
1.616,-1.068986022265152
1.62,-1.074103322583202
1.624,-1.079200101784705
1.628,-1.084276415214546
1.632,-1.089332318217608
1.636,-1.094367866138772
1.64,-1.099383114322923
1.644,-1.104378118114943
1.648,-1.109352882743663
1.652,-1.114307379332609
1.656,-1.119241766753098
1.66,-1.124156098654844
1.664,-1.129050428687561
1.668,-1.133924810500962
1.672,-1.138779297744759
1.676,-1.143613944068665
1.68,-1.148428803122394
1.684,-1.153223928555658
1.688,-1.157999374018172
1.692,-1.162755193159646
1.696,-1.167491439629796
1.7,-1.172208167078333
1.704,-1.176905429154971
1.708,-1.181583279509422
1.712,-1.186241771791401
1.716,-1.190880908139454
1.72,-1.195500706855047
1.724,-1.200101280099146
1.728,-1.204682678932623
1.732,-1.209244954321311
1.736,-1.213788157136003
1.74,-1.218312338152449
1.744,-1.222817548051366
1.748,-1.227303837418424
1.752,-1.231771256744259
1.756,-1.236219856424462
1.76,-1.240649686759588
1.764,-1.245060797955151
1.768,-1.249453240121624
1.772,-1.253827063274442
1.776,-1.258182317333999
1.78,-1.26251905212565
1.784,-1.266837317379709
1.788,-1.271137162731452
1.792,-1.275418637721113
1.796,-1.279681791793886
1.8,-1.283926674299928
1.804,-1.288153334494355
1.808,-1.292361821537242
1.812,-1.296552184493625
1.816,-1.300724472333499
1.82,-1.304878733931821
1.824,-1.309015018068507
1.828,-1.313133373428434
1.832,-1.317233848601438
1.836,-1.321316492082317
1.84,-1.325381352270827
1.844,-1.329428477471686
1.848,-1.33345791589457
1.852,-1.337469686176364
1.856,-1.341463847653646
1.86,-1.345440460569175
1.864,-1.349399572408679
1.868,-1.353341230554282
1.872,-1.357265482284509
1.876,-1.361172374774278
1.88,-1.365061955094907
1.884,-1.36893427021411
1.888,-1.372789366996001
1.892,-1.376627292201086
1.896,-1.380448092486275
1.9,-1.384251814404869
1.904,-1.38803850440657
1.908,-1.391808208837477
1.912,-1.395560973940086
1.916,-1.39929684585329
1.92,-1.403015870612379
1.924,-1.40671809414904
1.928,-1.41040356229136
1.932,-1.41407232076382
1.936,-1.4177244151873
1.94,-1.421359891079077
1.944,-1.424978793852826
1.948,-1.428581168818618
1.952,-1.432167061182921
1.956,-1.435736516048603
1.96,-1.439289578414927
1.964,-1.442826293177554
1.968,-1.446346705128542
1.972,-1.449850858956347
1.976,-1.45333879924582
1.98,-1.456810570478214
1.984,-1.460266217031174
1.988,-1.463705845720495
1.992,-1.467129449317073
1.996,-1.470537068570703
2,-1.473928747829299
2.004,-1.477304531345047
2.008,-1.480664463274407
2.012,-1.484008587678112
2.016,-1.487336948521169
2.02,-1.490649589672859
2.024,-1.493946554906735
2.028,-1.497227887900626
2.032,-1.500493632236632
2.036,-1.503743831401128
2.04,-1.506978528784761
2.044,-1.510197767682453
2.048,-1.513401591293399
2.052,-1.516590042721068
2.056,-1.519763164973202
2.06,-1.522921000961815
2.064,-1.526063593503198
2.068,-1.529190985317912
2.072,-1.532303219030795
2.076,-1.535400337170954
2.08,-1.538482382171774
2.084,-1.541549396370911
2.088,-1.544601422010295
2.092,-1.547638501236129
2.096,-1.550660676098891
2.1,-1.553667988553332
2.104,-1.556660480458474
2.108,-1.559638193577617
2.112,-1.562601169578331
2.116,-1.565549450032461
2.12,-1.568483084575674
