"time","Unit.HvMeasurements.PPu","Unit.HvMeasurements.QPu","Unit.HvMeasurements.UPu","Unit.LvMeasurements.PPu","Unit.LvMeasurements.QPu","Unit.LvMeasurements.UPu"
0,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
7.894775759769485e-05,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
7.894775759769485e-05,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.001,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.002,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
0.003,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
0.004,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
0.005,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.006,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.007,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.008,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.008999999999999999,1,-9.912705577010326e-18,1,1,0.1,1.004987562112089
0.01,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.011,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.012,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.013,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.014,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.015,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.016,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.017,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.018,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.019,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.02,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.021,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.022,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.023,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.024,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.025,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.026,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.027,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.028,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.029,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.03,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.031,1,-2.973811673103098e-17,1,1,0.1,1.004987562112089
0.032,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.033,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.034,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.035,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.036,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.037,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.038,1,9.912705577010326e-18,1,1,0.1,1.004987562112089
0.039,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
0.04,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
0.041,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
0.042,1,2.973811673103098e-17,1,1,0.1000000000000001,1.004987562112089
