"time","generatorSynchronous.UPu","generatorSynchronous.PmPu.value","generatorSynchronous.PGenPu"
0,0.9999998954013306,0.8,3.799999205050154
0.00458719,0.9999998778908795,0.7999999999352223,3.799999071970741
0.00458719,0.9999998778908795,0.7999999999352223,3.799999071970741
0.05,0.9999998231542765,0.7999999990929005,3.79999865597262
0.1,0.9999998880750685,0.7999999987312219,3.799999149370567
0.1,0.9999998880750686,0.7999999987312219,3.799999149370568
0.1,0.9984862740147504,0.7999999987312219,4.02528591406048
0.1,0.9984862528392308,0.8000000003560146,4.025285743327298
0.1,0.9984862528392308,0.8000000003560146,4.025285743327298
0.15,0.9974472237848604,0.8001717853518148,4.016912643103356
0.2,0.998232134822797,0.8003170881452544,4.023237107283748
0.25,0.9994682472990691,0.8004324309758966,4.033207238587259
0.3,1.000271785787856,0.8005157161240326,4.039694968477029
0.35,1.000423837192713,0.800566286079916,4.040923210619442
0.4,1.000148656841255,0.8005867731050718,4.038700493217267
0.45,0.9997794323916662,0.8005835063492813,4.035719112987361
0.5,0.9995424431455192,0.8005653984548212,4.033806073684103
0.55,0.9994921584544163,0.8005419498773949,4.033400220802917
0.6,0.9995667469637419,0.8005216019412559,4.034002239604047
0.65,0.9996718981909254,0.8005111862246703,4.034851012531814
0.7,0.9997439317300166,0.8005157785757644,4.035432513462631
0.75,0.9997657484425139,0.8005392817326024,4.035608640226235
0.8,0.9997539193609858,0.8005848853908908,4.035513143333522
0.85,0.9997322583721031,0.8006551256133964,4.035338275785259
0.9,0.9997186247882326,0.8007522639751077,4.035228214821967
0.95,0.9997189071456211,0.8008781538667283,4.035230494216655
1,0.9997294156839969,0.8010342425324913,4.035315327257358
1.05,0.9997438361762049,0.8012214628076593,4.03543174206322
1.1,0.9997568931324692,0.8014404523242371,4.035537150664771
1.15,0.9997662093104539,0.8016915768059384,4.03561236086394
1.2,0.9997725579145034,0.8019749448008526,4.035663614019095
1.25,0.9997777598337739,0.8022904780081753,4.035705610072641
1.3,0.9997830642559069,0.8026379832066445,4.035748433875708
1.35,0.9997892976526592,0.8030171597055235,4.035798757791969
1.4,0.9997965252687622,0.803427580882375,4.035857108705693
1.45,0.999804427268302,0.8038687782879516,4.035920904620638
1.5,0.9998124972063304,0.8043401226981621,4.035986056888706
1.55,0.9998204332394911,0.804841050994645,4.036050128594933
1.6,0.9998280732753871,0.8053708648046638,4.036111811042401
1.65,0.9998354355995015,0.8059288268113174,4.036171251807295
1.7,0.9998426299812955,0.8065141750635814,4.036229337088951
1.75,0.9998497940376473,0.8071254881321659,4.036287177947395
1.8,0.9998569444133177,0.8077626220110466,4.036344908764577
1.85,0.9998640840554192,0.8084244795326819,4.036402553332827
1.9,0.9998712098384734,0.8091108668980542,4.036460086415305
1.95,0.9998782864000157,0.8098199854634476,4.036517222492461
2,0.9998853036302742,0.8105515917446798,4.036573879928815
2.05,0.9998922399186128,0.8113048933275609,4.036629884227197
2.1,0.9998990601177604,0.8120785500762138,4.036684951588436
