"time","BESS.injector.PInjPuSn","BESS.injector.QInjPu","BESS.reecE.idCmdPu","BESS.reecE.iqCmdPu","BESS.regcA.UPu","BESS.injector.UPu"
0,0.499999999999269,-4.152671999996682e-08,0.5,1.500000000041406e-12,0.999999999999496,0.999999999999496
0.001,0.499999999999709,-1.546024500123145e-08,0.5000000000000231,1.500045873987704e-12,0.9999999999995497,0.9999999999995497
0.002,0.4999999999997858,-3.6711868227112e-09,0.5000000000000432,1.500340754216404e-12,0.999999999999574,0.999999999999574
0.003,0.4999999999997969,1.552943739310435e-09,0.5000000000000614,1.501064615519504e-12,0.9999999999995848,0.9999999999995848
0.004,0.4999999999997983,4.759079605466877e-09,0.5000000000000776,1.502394342671396e-12,0.9999999999995915,0.9999999999995915
0.005,0.4999999999998023,4.733948051344756e-09,0.500000000000092,1.504284748709354e-12,0.9999999999995914,0.9999999999995914
0.006,0.4999999999998088,3.911539441765999e-09,0.5000000000001014,1.510593401978167e-12,0.9999999999995897,0.9999999999995897
0.007,0.4999999999998153,3.227162563991687e-09,0.5000000000001102,1.51746172802716e-12,0.9999999999995883,0.9999999999995883
0.008,0.4999999999998213,2.54278568621736e-09,0.5000000000001191,1.524330054076154e-12,0.9999999999995869,0.9999999999995869
0.008999999999999999,0.4999999999998272,1.858408808443017e-09,0.500000000000128,1.531198380125147e-12,0.9999999999995856,0.9999999999995856
0.01,0.4999999999998329,1.174031930668659e-09,0.5000000000001369,1.538066706174141e-12,0.9999999999995841,0.9999999999995841
0.011,0.4999999999998384,9.594274176443695e-10,0.5000000000001434,1.551742622244464e-12,0.9999999999995837,0.9999999999995837
0.012,0.4999999999998441,8.931720724358956e-10,0.5000000000001491,1.567568303584681e-12,0.9999999999995836,0.9999999999995836
0.013,0.4999999999998497,8.269167272274202e-10,0.500000000000155,1.583393984924898e-12,0.9999999999995834,0.9999999999995834
0.014,0.4999999999998555,7.606613820189443e-10,0.5000000000001608,1.599219666265115e-12,0.9999999999995832,0.9999999999995832
0.015,0.4999999999998612,6.944060368104658e-10,0.5000000000001665,1.615045347605332e-12,0.9999999999995831,0.9999999999995831
0.016,0.4999999999998668,6.281506916019849e-10,0.5000000000001723,1.630871028945549e-12,0.999999999999583,0.999999999999583
0.017,0.4999999999998725,5.618953463935042e-10,0.5000000000001781,1.646696710285766e-12,0.9999999999995829,0.9999999999995829
0.018,0.499999999999878,4.956400011850214e-10,0.5000000000001839,1.662522391625983e-12,0.9999999999995827,0.9999999999995827
0.019,0.499999999999884,4.293846559765374e-10,0.5000000000001897,1.6783480729662e-12,0.9999999999995826,0.9999999999995826
0.02,0.4999999999998894,3.631293107680502e-10,0.5000000000001954,1.694173754306418e-12,0.9999999999995824,0.9999999999995824
0.021,0.499999999999894,3.288589389223283e-10,0.5000000000001991,1.714722802251721e-12,0.9999999999995823,0.9999999999995823
0.022,0.4999999999998976,3.241131578730035e-10,0.5000000000002007,1.739631880909411e-12,0.9999999999995823,0.9999999999995823
0.023,0.4999999999999011,3.193673768236786e-10,0.5000000000002024,1.764540959567101e-12,0.9999999999995823,0.9999999999995823
0.024,0.4999999999999046,3.146215957743538e-10,0.5000000000002042,1.789450038224791e-12,0.9999999999995823,0.9999999999995823
