"time","PV.measurements.PPuSnRef","PV.measurements.QPuSnRef","PV.measurements.UPu"
0,0.7000001314854943,0.19999922933759579,1.037137624392962
0.001,0.7000001566837684,0.19999941490092402,1.03713767576963
0.002,0.7000001690313764,0.19999954643876522,1.0371377125131271
0.003,0.7000001762129955,0.19999964465259773,1.0371377400679938
0.004,0.7000001798419744,0.19999971508923653,1.0371377599193086
0.005,0.7000001834709523,0.19999978552587835,1.0371377797706234
0.006,0.7000001836280053,0.19999981817744641,1.037137789062721
0.007,0.7000001833116142,0.19999984567650447,1.037137796914925
0.008,0.7000001829952226,0.1999998731755635,1.0371378047671294
0.009,0.7000001826788308,0.19999990067462223,1.0371378126193336
0.01,0.7000001823624388,0.19999992817368203,1.0371378204715378
0.011,0.7000001800473922,0.19999993849489353,1.0371378235480642
0.012,0.7000001771011912,0.1999999433915215,1.037137825116482
0.013,0.7000001741549903,0.1999999482881495,1.0371378266848998
0.014,0.7000001712087894,0.19999995318477748,1.0371378282533177
0.015,0.7000001682625885,0.19999995808140555,1.0371378298217355
0.016,0.7000001653163875,0.19999996297803369,1.0371378313901531
0.017,0.7000001623701866,0.1999999678746618,1.037137832958571
0.018,0.7000001594239855,0.19999997277128978,1.0371378345269888
0.019,0.7000001564777845,0.19999997766791716,1.0371378360954064
0.02,0.7000001535315836,0.1999999825645461,1.0371378376638245
0.021,0.7000001507978008,0.19999998454481024,1.0371378383889558
0.022,0.7000001482600955,0.19999998383304554,1.0371378383356684
0.023,0.7000001457223908,0.19999998312128114,1.037137838282381
0.024,0.7000001431846861,0.1999999824095167,1.0371378382290937
0.025,0.7000001406469811,0.19999998169775215,1.0371378381758063
0.026,0.7000001381092761,0.19999998098598837,1.0371378381225191
0.027,0.7000001355715714,0.19999998027422386,1.0371378380692318
0.028,0.7000001330338664,0.1999999795624594,1.0371378380159446
0.029,0.7000001304961616,0.1999999788506958,1.0371378379626575
0.03,0.7000001279584567,0.19999997813893125,1.03713783790937
0.031,0.7000001254207515,0.19999997742716663,1.0371378378560827
0.032,0.7000001228830469,0.19999997671540226,1.0371378378027956
0.033,0.7000001203453421,0.1999999760036378,1.0371378377495082
0.034,0.700000117807637,0.19999997529187405,1.037137837696221
0.035,0.7000001152699323,0.19999997458011046,1.0371378376429339
0.036,0.7000001127322275,0.19999997386834523,1.0371378375896463
0.037,0.7000001101945225,0.19999997315658072,1.037137837536359
