"time","generatorSynchronous.UPu","generatorSynchronous.efdPu_in","avr.EfdPu"
0,0.999999917646779,1,1
0.004,0.999999910358073,1.00000039770564,1.00000039770564
0.008,0.99999990387477,1.00000079599598,1.00000079599598
0.012,0.999999899235274,1.0000011787619,1.0000011787619
0.016,0.999999894595777,1.00000156152782,1.00000156152782
0.02,0.999999892246248,1.00000188723091,1.00000188723091
0.024,0.999999889896718,1.000002212934,1.000002212934
0.028,0.999999887547188,1.00000253863708,1.00000253863708
0.032,0.999999885197658,1.00000286434017,1.00000286434017
0.036,0.999999885676453,1.00000305413882,1.00000305413882
0.04,0.999999886155248,1.00000324393748,1.00000324393748
0.044,0.999999886634043,1.00000343373613,1.00000343373613
0.048,0.999999887112838,1.00000362353478,1.00000362353478
0.052,0.999999887591633,1.00000381333344,1.00000381333344
0.056,0.999999888070428,1.00000400313209,1.00000400313209
0.06,0.999999888549223,1.00000419293074,1.00000419293074
0.064,0.999999889028018,1.00000438272939,1.00000438272939
0.068,0.999999891320844,1.00000439104141,1.00000439104141
0.072,0.999999893613669,1.00000439935343,1.00000439935343
0.076,0.999999895906494,1.00000440766545,1.00000440766545
0.08,0.999999898199319,1.00000441597747,1.00000441597747
0.084,0.999999900492144,1.00000442428948,1.00000442428948
0.088,0.99999990278497,1.0000044326015,1.0000044326015
0.092,0.999999905077795,1.00000444091352,1.00000444091352
0.096,0.99999990737062,1.00000444922554,1.00000444922554
0.1,0.999999909663445,1.00000445753755,1.00000445753755
0.10000000011,0.999999909663445,1.00000445753755,1.00000445753755
0.10000000011,0.999999909663445,1.00000445753755,1.00000445753755
0.104,1.00004556679806,1.23069575600117,1.23069575600117
0.108,1.00018281546068,1.44345725969784,1.44345725969784
0.112,1.0004116165491,1.63922643022148,1.63922643022148
0.116,1.00073105372771,1.81888874141616,1.81888874141616
0.12,1.00113947850134,1.98326560631369,1.98326560631369
0.124,1.00163460503068,2.13312656996901,2.13312656996901
0.128,1.00221362218345,2.26919040466005,2.26919040466005
0.132,1.00287325290753,2.39213756581704,2.39213756581704
0.136,1.00360986030391,2.50260881292399,2.50260881292399
0.14,1.00441948707037,2.60121500188266,2.60121500188266
0.144,1.00529793606606,2.68853744752762,2.68853744752762
0.148,1.00624081632187,2.76513250494055,2.76513250494055
0.152,1.00724358812303,2.8315346204088,2.8315346204088
0.156,1.00830162154916,2.88825692194948,2.88825692194948
0.16,1.00941020908266,2.93579602027624,2.93579602027624
0.164,1.01056463556925,2.97462989077616,2.97462989077616
0.168,1.01176016628619,3.00522354530061,3.00522354530061
0.172,1.01299208674234,3.02802871301027,3.02802871301027
0.176,1.01425564959367,3.04349194350226,3.04349194350226
0.18,1.01554639559909,3.05202747333013,3.05202747333013
0.184,1.01685989515458,3.0540439404902,3.0540439404902
0.188,1.01819179672438,3.04994150140276,3.04994150140276
0.192,1.01953785286136,3.04011100854587,3.04011100854587
0.196,1.02089398427642,3.02492947223969,3.02492947223969
0.2,1.02225620866696,3.00476778963619,3.00476778963619
0.204,1.02362075876307,2.97998067866365,2.97998067866365
0.208,1.02498395652826,2.95091928082533,2.95091928082533
0.212,1.02634237062771,2.91791673164228,2.91791673164228
0.216,1.02769265429575,2.88130434411487,2.88130434411487
0.22,1.02903172590982,2.84139408764939,2.84139408764939
0.224,1.03035658696303,2.79849720631898,2.79849720631898
0.228,1.03166450660179,2.75290525336098,2.75290525336098
0.232,1.03295285666625,2.70490758627405,2.70490758627405
0.236,1.03421924394713,2.6547769209684,2.6547769209684
0.24,1.03546141194039,2.60278023949308,2.60278023949308
0.244,1.03667730490467,2.54917113475011,2.54917113475011
0.248,1.03786502679207,2.49419449622715,2.49419449622715
0.252,1.03902285502197,2.43808445962976,2.43808445962976
0.256,1.0401492386019,2.38106419803056,2.38106419803056
0.26,1.04124277918676,2.32334817922195,2.32334817922195
0.264,1.0423022526021,2.26513830457473,2.26513830457473
0.268,1.04332657197024,2.2066293062956,2.2066293062956
0.272,1.04431481962383,2.14800233893955,2.14800233893955
0.276,1.04526620424548,2.08943248454924,2.08943248454924
0.28,1.04618009292647,2.03108075983531,2.03108075983531
0.284,1.04705597150356,1.97310283765515,1.97310283765515
0.288,1.04789346903017,1.91564037423307,1.91564037423307
0.292,1.04869232859533,1.8588297686322,1.8588297686322
0.296,1.04945241798967,1.80279445302167,1.80279445302167
0.3,1.05017371502374,1.74765167319508,1.74765167319508
0.304,1.05085630465138,1.69350771689796,1.69350771689796
0.308,1.05150037438321,1.64046150208098,1.64046150208098
0.312,1.05210620581197,1.5886027323309,1.5886027323309
0.316,1.05267417107388,1.53801308729884,1.53801308729884
0.32,1.05320472728866,1.48876636605329,1.48876636605329
0.324,1.05369840699896,1.4409281340377,1.4409281340377
0.328,1.05415582150551,1.39455707016626,1.39455707016626
0.332,1.0545776405751,1.3497037722033,1.3497037722033
0.336,1.05496466642535,1.3064151488529,1.3064151488529
0.34,1.05531766526597,1.26472600262,1.26472600262
0.344,1.05563750110641,1.22466664814204,1.22466664814204
0.348,1.05592500394952,1.18625960315529,1.18625960315529
0.352,1.05618114496812,1.14952430054546,1.14952430054546
0.356,1.05640687774857,1.11447333401017,1.11447333401017
0.36,1.05660316945377,1.08111407552267,1.08111407552267
0.364,1.05677151464452,1.04944768007448,1.04944768007448
0.368,1.05691262699714,1.01947006068963,1.01947006068963
0.372,1.0570273288494,0.991175575792261,0.991175575792261
0.376,1.05711717358742,0.964548184637895,0.964548184637895
0.38,1.05718269305527,0.939578852241496,0.939578852241496
0.384,1.05722507242945,0.916249360762461,0.916249360762461
0.388,1.05724550301353,0.894536907766995,0.894536907766995
0.392,1.0572450901164,0.874416471606766,0.874416471606766
0.396,1.05722496474708,0.855859065433724,0.855859065433724
0.4,1.05718630926941,0.838830711113764,0.838830711113764
0.404,1.0571302001953,0.823298070851418,0.823298070851418
0.408,1.05705777607487,0.8092227083483,0.8092227083483
0.412,1.05697005159945,0.796567850837033,0.796567850837033
0.416,1.05686810116792,0.785292340039883,0.785292340039883
0.42,1.05675302456412,0.775351391931675,0.775351391931675
0.424,1.05662577777954,0.766703934049433,0.766703934049433
0.428,1.05648737196008,0.759304547126903,0.759304547126903
0.432,1.05633880332275,0.753106369054352,0.753106369054352
0.436,1.0561809853487,0.748064425895405,0.748064425895405
0.44,1.05601492376264,0.744127202656691,0.744127202656691
0.444,1.05584146634029,0.74124929968265,0.74124929968265
0.448,1.05566151980279,0.739380397272061,0.739380397272061
0.452,1.05547590402717,0.738473166604498,0.738473166604498
0.456,1.0552854539145,0.738477700619199,0.738477700619199
0.46,1.05509094609903,0.739345783837854,0.739345783837854
0.464,1.05489313814379,0.741028755411468,0.741028755411468
0.468,1.05469276076137,0.743477922788174,0.743477922788174
0.472,1.05449049281775,0.74664647962583,0.74664647962583
0.476,1.05428701691276,0.750485630892979,0.750485630892979
0.48,1.05408293336414,0.754950934364239,0.754950934364239
0.484,1.05387887477182,0.759993842654403,0.759993842654403
0.488,1.05367536915128,0.76557229374783,0.76557229374783
0.492,1.05347298310448,0.771639511232136,0.771639511232136
0.496,1.05327218929542,0.778154879810174,0.778154879810174
0.5,1.05307348226863,0.785074282860124,0.785074282860124
0.504,1.05287728202835,0.792358603162106,0.792358603162106
0.508,1.05268401243001,0.799966733408563,0.799966733408563
0.512,1.05249404184311,0.807861219451969,0.807861219451969
0.516,1.05230772632263,0.816004188677362,0.816004188677362
0.52,1.05212538370964,0.824359995575009,0.824359995575009
0.524,1.05194730594393,0.832894152200879,0.832894152200879
0.528,1.05177376151575,0.84157295049579,0.84157295049579
0.532,1.05160498259512,0.850365366082948,0.850365366082948
0.536,1.0514411895675,0.859239742404688,0.859239742404688
0.54,1.05128255991478,0.868168495012437,0.868168495012437
0.544,1.05112926659869,0.877122229501796,0.877122229501796
0.548,1.05098143921828,0.886076428711812,0.886076428711812
0.552,1.05083920176915,0.895004732373174,0.895004732373174
0.556,1.05070264345644,0.903884970636828,0.903884970636828
0.56,1.05057184216444,0.912694026226798,0.912694026226798
0.564,1.05044684928795,0.921412048940464,0.921412048940464
0.568,1.05032770134359,0.930019091223297,0.930019091223297
0.572,1.05021441439509,0.938497589323988,0.938497589323988
0.576,1.05010698851771,0.946830648804453,0.946830648804453
0.58,1.0500054068319,0.955002954568569,0.955002954568569
0.584,1.04990963797859,0.963000511324793,0.963000511324793
0.588,1.0498196344457,0.970810210752178,0.970810210752178
0.592,1.04973533843353,0.978420771462259,0.978420771462259
0.596,1.04965667404634,0.985821246134308,0.985821246134308
0.6,1.04958356133482,0.993002809819099,0.993002809819099
0.604,1.04951587695423,0.999955167887551,0.999955167887551
