"time","wPP4ACurrentSource.wPPControl.measurements.UFiltPu","wPP4ACurrentSource.wT4ACurrentSource.controlMeasurements.PFiltPu","wPP4ACurrentSource.wPPControl.measurements.QFiltPu","variableImpedantFault.ZvPu.re","variableImpedantFault.ZvPu.im"
0,1,1,-0.21,0,10000
0.001,1.000013497926768,1.000013527070423,-0.2100025751736304,0,10000
0.002,1.000025728210507,1.000025649471501,-0.2100049541192046,0,10000
0.003,1.000036794797104,1.000036382913377,-0.2100071557011905,0,10000
0.004,1.000046819197271,1.000045785796384,-0.2100091936773764,0,10000
0.005,1.00005589965725,1.000053922426846,-0.2100110758339102,0,10000
0.006,1.000064129134361,1.000060865822972,-0.2100128081381787,0,10000
0.007,1.000071596354258,1.000066698271811,-0.2100143954116053,0,10000
0.008,1.000078375854337,1.000071499178499,-0.2100158413978185,0,10000
0.009,1.000084547759319,1.000075365317098,-0.2100171502345912,0,10000
0.01,1.000090172742163,1.000078377806637,-0.2100183253723242,0,10000
0.011,1.000095293936762,1.000080599444536,-0.2100193696275236,0,10000
0.012,1.000099966775208,1.000082114319095,-0.2100202870049407,0,10000
0.013,1.000104235545247,1.000082995147643,-0.2100210813921561,0,10000
0.013869,1.000107630647973,1.000083268503444,-0.2100216730838957,0,10000
0.013869,1.000107630647973,1.000083268503444,-0.2100216730838957,0,10000
0.014,1.000108118757076,1.000083272971425,-0.2100217542359925,0,10000
0.0149345,1.000111446508342,1.000083070361971,-0.2100222774782489,0,10000
0.0149345,1.000111446508342,1.000083070361971,-0.2100222774782489,0,10000
0.015,1.000111670065615,1.000083041545611,-0.2100223105715936,0,10000
0.016,1.000114931711479,1.00008237859114,-0.2100227575657679,0,10000
0.017,1.000117928620111,1.000081335966743,-0.2100230985170185,0,10000
0.018,1.000120686660587,1.000079967311988,-0.2100233383297365,0,10000
0.019,1.000123228811537,1.000078321560975,-0.2100234820499348,0,10000
0.02,1.000125575750114,1.000076443663054,-0.2100235348975936,0,10000
0.021,1.00012774598744,1.00007437446756,-0.2100235022125924,0,10000
0.022,1.000129756089779,1.000072150872912,-0.2100233894150397,0,10000
0.023,1.000131620889551,1.000069806033105,-0.2100232019678683,0,10000
0.024,1.000133353667333,1.000067369565868,-0.2100229453372831,0,10000
0.025,1.000134966320684,1.000064867785302,-0.2100226249571402,0,10000
0.026,1.000136469503926,1.000062323914057,-0.2100222461899112,0,10000
0.027,1.000137872768851,1.000059758332511,-0.2100218142984191,0,10000
0.028,1.000139184682405,1.000057188804508,-0.2100213344171569,0,10000
0.029,1.000140412933629,1.000054630700818,-0.2100208115281858,0,10000
0.03,1.000141564428841,1.000052097213155,-0.2100202504404973,0,10000
0.031,1.000142645373824,1.000049599553526,-0.2100196557707017,0,10000
0.032,1.000143661378955,1.000047147192837,-0.2100190319537997,0,10000
