"time","WT4A.injector.PInjPu","WT4A.injector.QInjPu","WT4A.injector.UPu"
0,0.7000002892192679,0.27950008276279087,1.0353385201309362
0.001,0.6996173631803888,0.2754362927520459,1.0347716069875545
0.002,0.6992734624845215,0.271771468237596,1.034259811977616
0.003,0.6989665374504328,0.2684698025660377,1.0337982683997156
0.004,0.6986944961053264,0.265498292813623,1.0333824741636575
0.005,0.6984550945604343,0.26282476687060363,1.0330080200754626
0.006,0.6982461606142775,0.26042088539711683,1.032671015349279
0.007,0.6980655601981225,0.25826087405454035,1.0323679133564776
0.008,0.6979111196083838,0.25632040613767887,1.0320953579765748
0.009,0.6977808889215155,0.2545790033300478,1.03185052259693
0.01,0.6976727970059726,0.25301617375402097,1.0316305705315714
0.011,0.6975850198761243,0.25161486476433104,1.031433140763207
0.012,0.6975152787333646,0.25035494970073,1.0312554361281063
0.013,0.697462319433485,0.24922589617350488,1.031095999985783
0.014,0.6974246607337288,0.24821560834496326,1.0309531532931215
0.015,0.6974007181478198,0.24731146958732503,1.03082514106833
0.016,0.6973891591928616,0.24650326505593229,1.0307105427162644
0.017,0.6973886603864637,0.24578113881843738,1.0306079861624342
0.018,0.697397995901002,0.2451362277991322,1.0305162370161354
0.019,0.6974159787234774,0.24456018672110638,1.0304341323248645
0.02,0.6974415815328435,0.2440459788227719,1.0303606914792
0.021,0.6974738899908622,0.24358745750921634,1.0302950577445167
0.022,0.6975120042315741,0.243178681172464,1.0302364025164703
0.023,0.6975551003618494,0.24281430970650655,1.030183980930594
0.024,0.6976024264017651,0.24248954679724335,1.0301371238568033
0.025,0.697653298105081,0.24220008713928803,1.0300952305679971
0.026,0.6977070947590471,0.24194206843132632,1.030057762065664
0.027,0.6977632150076338,0.24171178318559217,1.0300242008126543
0.028,0.697821209118761,0.2415064739917388,1.029994161955627
0.029,0.6978806229796723,0.24132336300758123,1.0299672576366512
0.03,0.6979409128587705,0.2411591220133638,1.0299430228838546
0.031,0.6980016510774423,0.24101112667697816,1.029921091023774
0.032,0.6980628223789578,0.2408792662765974,1.0299014468221273
0.033,0.6981239316377221,0.24076046208606963,1.0298836598151473
0.034,0.6981850967818436,0.24065542734627718,1.0298678299379145
0.035,0.6982456051262733,0.24055964233279756,1.029853324805368
0.036,0.6983056935236558,0.24047459262284177,1.0298403524179907
0.037,0.6983648461040929,0.2403968641303238,1.0298284347210642
0.038,0.698423245693146,0.24032765865772282,1.029817740102116
0.039,0.6984804641197145,0.2402639558274517,1.0298078451839257
0.04,0.6985366546140853,0.24020683379214758,1.0297989011728297
0.041,0.6985915193206265,0.24015396803299593,1.0297905817539832
0.042,0.6986451442455616,0.24010602766299438,1.029782980906685
0.043,0.6986973582231236,0.24006143520289858,1.0297758767285268
0.044,0.6987481893511418,0.24002044624881105,1.0297693052015537
0.045,0.6987975575604496,0.2399820615193819,1.0297631253438995
0.046,0.6988454630139608,0.23994628169116805,1.0297573372690718
0.047,0.6988918815937516,0.23991250191434582,1.0297518552893572
0.048,0.6989368062794673,0.23988057905756383,1.029746659157092
0.049,0.6989802650680881,0.23984991025769192,1.0297416627016207
0.05,0.6990222659201384,0.23982017635486164,1.0297368204062758
0.051,0.6990628027838044,0.2397916236136238,1.0297321674076076
0.052,0.6991018757095173,0.23976425200651294,1.02972770371038
0.053,0.6991395631773198,0.23973758526236316,1.029723360413093
0.054,0.6991759083107612,0.23971136172948765,1.0297190996642391
0.055,0.6992108542587038,0.23968592681323528,1.0297149714451688
0.056,0.6992444010573826,0.23966128049769803,1.029710975759755
0.057,0.6992766435391977,0.2396370729648643,1.02970706145636
0.058,0.6993077236483153,0.23961278052284204,1.0297031519537243
0.059,0.6993375172041297,0.23958886147605177,1.0296993142780948
0.06,0.6993660242311741,0.23956531581786233,1.029695548432473
0.061,0.6993933123594166,0.23954202172175004,1.0296918360999276
0.062,0.6994196300581945,0.23951853149916724,1.0296881099577289
0.063,0.6994447983471322,0.23949516768456386,1.029684418512162
0.064,0.6994688172437743,0.23947193027610397,1.029680761765489
0.065,0.6994917108714794,0.2394487978645467,1.0296771363222164
0.066,0.6995138169776323,0.23942547052708318,1.0296734945819732
0.067,0.699534919264291,0.23940214035848212,1.0296698670343358
0.068,0.6995550177447637,0.23937880735918354,1.0296662536809742
0.069,0.6995741124322246,0.23935547152957215,1.0296626545234866
0.07,0.6995925400805351,0.2393319990294514,1.029659045607673
0.071,0.6996101263526326,0.23930845915630322,1.0296554393375124
0.072,0.6996268512785685,0.239284859852896,1.0296518371356127
0.073,0.699642714868848,0.23926120112052285,1.0296482390031352
0.074,0.6996581363593367,0.23923746000656076,1.0296446355617532
0.075,0.6996730054831667,0.23921364255039546,1.0296410292792155
0.076,0.6996872301691134,0.2391897537950768,1.02963742221636
0.077,0.6997008104247487,0.23916579374202268,1.02963381437394
0.078,0.6997137462576294,0.23914176239262677,1.0296302057526798
0.079,0.6997260376752961,0.23911765974825888,1.0296265963532751
0.08,0.6997376846852745,0.23909348581026457,1.0296229861763906
0.081,0.6997486872950747,0.23906924057996565,1.0296193752226626
0.082,0.6997593186436954,0.2390449582918262,1.0296157643811361
0.083,0.699769684942322,0.23902065225801067,1.0296121539975907
0.084,0.699779533876081,0.2389962908545894,1.0296085432516708
0.085,0.6997888654509825,0.2389718740825359,1.029604932143822
0.086,0.6997976796730255,0.2389474019428079,1.0296013206744707
0.087,0.699805976548198,0.23892287443634708,1.0295977088440245
0.088,0.6998137560824782,0.23889829156407966,1.0295940966528718
0.089,0.6998210182818322,0.23887365332691565,1.029590484101382
0.09,0.6998278904047719,0.23884897663752097,1.0295868717406014
0.091,0.6998348616357415,0.23882432650804303,1.029583261687652
