"time","Unit.HvMeasurements.PPu","Unit.HvMeasurements.QPu","Unit.HvMeasurements.UPu","Unit.LvMeasurements.PPu","Unit.LvMeasurements.QPu","Unit.LvMeasurements.UPu"
0,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
7.894775759683442e-05,1,3.965082230804131e-17,1,1,0.1,1.004987562112089
7.894775759683442e-05,1,3.965082230804131e-17,1,1,0.1,1.004987562112089
0.001,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.002,1,3.965082230804131e-17,1,1,0.1,1.004987562112089
0.003,1,0,1,1,0.1,1.004987562112089
0.004,1,-3.965082230804131e-17,1,1,0.09999999999999994,1.004987562112089
0.005,1,3.965082230804131e-17,1,1,0.1000000000000002,1.004987562112089
0.006,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.007,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.008,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.008999999999999999,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.01,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.011,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.012,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.013,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.014,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.015,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.016,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.017,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.018,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.019,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.02,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
0.021,1,3.965082230804131e-17,1,1,0.1000000000000001,1.004987562112089
