"time","line01.P2Pu","tfo01.transformerPhaseTapChanger.tap.value","tfo01.transformerPhaseTapChanger.alphaTfo","tfo01.phaseShifterP.tap.value","line02.P2Pu"
0,-0.4999999928268695,9,0,9,-0.5
1,-0.5,9,0,9,-0.5
2,-0.5,9,0,9,-0.5
3,-0.5,9,0,9,-0.5
4,-0.5,9,0,9,-0.5
5,-0.5,9,0,9,-0.5
6,-0.5,9,0,9,-0.5
7,-0.5,9,0,9,-0.5
8,-0.5,9,0,9,-0.5
9,-0.5,9,0,9,-0.5
10,-0.5,9,0,9,-0.5
11,-0.5,9,0,9,-0.5
12,-0.5,9,0,9,-0.5
13,-0.5,9,0,9,-0.5
14,-0.5,9,0,9,-0.5
15,-0.5,9,0,9,-0.5
16,-0.5,9,0,9,-0.5
17,-0.5,9,0,9,-0.5
18,-0.5,9,0,9,-0.5
19,-0.5,9,0,9,-0.5
20,-0.5,9,0,9,-0.5
21,-0.5,9,0,9,-0.5
22,-0.5,9,0,9,-0.5
23,-0.5,9,0,9,-0.5
24,-0.5,9,0,9,-0.5
25,-0.5,9,0,9,-0.5
26,-0.5,9,0,9,-0.5
27,-0.5,9,0,9,-0.5
28,-0.5,9,0,9,-0.5
29,-0.5,9,0,9,-0.5
30,-0.5,9,0,9,-0.5
31,-0.5,9,0,9,-0.5
32,-0.5,9,0,9,-0.5
33,-0.5,9,0,9,-0.5
34,-0.5,9,0,9,-0.5
35,-0.5,9,0,9,-0.5
36,-0.5,9,0,9,-0.5
37,-0.5,9,0,9,-0.5
38,-0.5,9,0,9,-0.5
39,-0.5,9,0,9,-0.5
40,-0.5,9,0,9,-0.5
41,-0.5,9,0,9,-0.5
42,-0.5,9,0,9,-0.5
43,-0.5,9,0,9,-0.5
44,-0.5,9,0,9,-0.5
45,-0.5,9,0,9,-0.5
46,-0.5,9,0,9,-0.5
47,-0.5,9,0,9,-0.5
48,-0.5,9,0,9,-0.5
49,-0.5,9,0,9,-0.5
50,-0.5,9,0,9,-0.5
50.00000001000177,-0.5,9,0,9,-0.5
50.00000001000177,-0.49999999282686963,9,0,9,-0.5
51,-0.5,9,0,9,-0.5
52,-0.5,9,0,9,-0.5
53,-0.5,9,0,9,-0.5
54,-0.5,9,0,9,-0.5
55,-0.5,9,0,9,-0.5
56,-0.5,9,0,9,-0.5
57,-0.5,9,0,9,-0.5
58,-0.5,9,0,9,-0.5
59,-0.5,9,0,9,-0.5
60,-0.5,9,0,9,-0.5
61,-0.5,9,0,9,-0.5
62,-0.5,9,0,9,-0.5
63,-0.5,9,0,9,-0.5
64,-0.5,9,0,9,-0.5
65,-0.5,9,0,9,-0.5
66,-0.5,9,0,9,-0.5
67,-0.5,9,0,9,-0.5
68,-0.5,9,0,9,-0.5
69,-0.5,9,0,9,-0.5
70,-0.5,9,0,9,-0.5
71,-0.5,9,0,9,-0.5
72,-0.5,9,0,9,-0.5
73,-0.5,9,0,9,-0.5
74,-0.5,9,0,9,-0.5
75,-0.5,9,0,9,-0.5
75.0000000150022,-0.5,9,0,9,-0.5
75.0000000150022,-0.5276826641384363,10,0.021816615649929094,10,-0.4723173281373035
76,-0.5276826717800067,10,0.021816615649929094,10,-0.4723173282199934
77,-0.5276826717800066,10,0.021816615649929094,10,-0.4723173282199933
78,-0.5276826717800066,10,0.021816615649929094,10,-0.4723173282199933
79,-0.5276826717800066,10,0.021816615649929094,10,-0.47231732821999334
80,-0.5276826717800065,10,0.021816615649929094,10,-0.47231732821999334
81,-0.5276826717800065,10,0.021816615649929094,10,-0.47231732821999334
82,-0.5276826717800065,10,0.021816615649929094,10,-0.47231732821999334
83,-0.5276826717800065,10,0.021816615649929094,10,-0.47231732821999334
84,-0.5276826717800065,10,0.021816615649929094,10,-0.47231732821999334
85,-0.5276826717800065,10,0.021816615649929094,10,-0.47231732821999334
86,-0.5276826717800065,10,0.021816615649929094,10,-0.4723173282199932
87,-0.5276826717800065,10,0.021816615649929094,10,-0.4723173282199932
88,-0.5276826717800065,10,0.021816615649929094,10,-0.4723173282199932
89,-0.5276826717800066,10,0.021816615649929094,10,-0.4723173282199932
90,-0.5276826717800066,10,0.021816615649929094,10,-0.4723173282199932
90.00000001800345,-0.5276826717800066,10,0.021816615649929094,10,-0.4723173282199932
90.00000001800345,-0.555350511632947,11,0.04363323129985819,11,-0.44464949613863547
91,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
92,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
93,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
94,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
95,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
96,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
97,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
98,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
99,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273675
100,-0.5553505037872632,11,0.04363323129985819,11,-0.4446494962127368
101,-0.5553505037872632,11,0.04363323129985819,11,-0.4446494962127368
102,-0.5553505037872632,11,0.04363323129985819,11,-0.4446494962127368
103,-0.5553505037872632,11,0.04363323129985819,11,-0.4446494962127368
104,-0.5553505037872632,11,0.04363323129985819,11,-0.4446494962127368
105,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273686
105.00000002100586,-0.5553505037872632,11,0.04363323129985819,11,-0.44464949621273686
105.00000002100586,-0.5829886685087037,12,0.06544984694978734,12,-0.41701133965480314
106,-0.5829886602839252,12,0.06544984694978734,12,-0.4170113397160749
107,-0.5829886602839249,12,0.06544984694978734,12,-0.41701133971607485
108,-0.5829886602839249,12,0.06544984694978734,12,-0.4170113397160748
109,-0.5829886602839252,12,0.06544984694978734,12,-0.4170113397160748
110,-0.5829886602839249,12,0.06544984694978734,12,-0.4170113397160748
111,-0.582988660283925,12,0.06544984694978734,12,-0.41701133971607485
112,-0.582988660283925,12,0.06544984694978734,12,-0.4170113397160749
113,-0.582988660283925,12,0.06544984694978734,12,-0.4170113397160749
114,-0.582988660283925,12,0.06544984694978734,12,-0.4170113397160749
115,-0.582988660283925,12,0.06544984694978734,12,-0.4170113397160749
116,-0.582988660283925,12,0.06544984694978734,12,-0.4170113397160749
117,-0.582988660283925,12,0.06544984694978734,12,-0.4170113397160749
118,-0.5829886602839252,12,0.06544984694978734,12,-0.41701133971607485
119,-0.5829886602839252,12,0.06544984694978734,12,-0.41701133971607485
120,-0.5829886602839252,12,0.06544984694978734,12,-0.41701133971607485
120.00000002400654,-0.5829886602839252,12,0.06544984694978734,12,-0.41701133971607485
120.00000002400654,-0.6105823221872054,13,0.08726646259971649,13,-0.3894176863637301
121,-0.6105823135882709,13,0.08726646259971649,13,-0.38941768641172897
122,-0.610582313588271,13,0.08726646259971649,13,-0.38941768641172897
123,-0.610582313588271,13,0.08726646259971649,13,-0.38941768641172897
124,-0.610582313588271,13,0.08726646259971649,13,-0.389417686411729
125,-0.610582313588271,13,0.08726646259971649,13,-0.389417686411729
126,-0.6105823135882709,13,0.08726646259971649,13,-0.389417686411729
127,-0.6105823135882709,13,0.08726646259971649,13,-0.38941768641172897
128,-0.6105823135882709,13,0.08726646259971649,13,-0.38941768641172897
129,-0.6105823135882709,13,0.08726646259971649,13,-0.38941768641172897
130,-0.6105823135882709,13,0.08726646259971649,13,-0.38941768641172897
131,-0.6105823135882709,13,0.08726646259971649,13,-0.38941768641172897
132,-0.6105823135882709,13,0.08726646259971649,13,-0.389417686411729
133,-0.6105823135882709,13,0.08726646259971649,13,-0.389417686411729
134,-0.6105823135882709,13,0.08726646259971649,13,-0.389417686411729
135,-0.6105823135882709,13,0.08726646259971649,13,-0.389417686411729
135.00000002700745,-0.6105823135882709,13,0.08726646259971649,13,-0.389417686411729
135.00000002700745,-0.6381166389740527,14,0.10908307824964558,14,-0.3618833518972369
136,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
137,-0.6381166480684671,14,0.10908307824964558,14,-0.36188335193153276
138,-0.6381166480684671,14,0.10908307824964558,14,-0.3618833519315328
139,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153287
140,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153287
141,-0.6381166480684672,14,0.10908307824964558,14,-0.3618833519315328
142,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
143,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
144,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
145,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
146,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
147,-0.6381166480684672,14,0.10908307824964558,14,-0.36188335193153276
148,-0.6381166480684672,14,0.10908307824964558,14,-0.3618833519315328
149,-0.6381166480684672,14,0.10908307824964558,14,-0.3618833519315328
150,-0.6381166480684672,14,0.10908307824964558,14,-0.3618833519315328
150.00000003000997,-0.6381166480684672,14,0.10908307824964558,14,-0.3618833519315328
150.00000003000997,-0.6655768546524067,15,0.13089969389957468,14,-0.3344231358848695
151,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
152,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
153,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503187
154,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503187
155,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
156,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503175
157,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503175
158,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503175
159,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503175
160,-0.6655768640949682,15,0.13089969389957468,14,-0.33442313590503175
161,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
162,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
163,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
164,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
165,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
166,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
167,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
168,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
169,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
170,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
171,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
172,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
173,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
174,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
175,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
176,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
177,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
178,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
179,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
180,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
181,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
182,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
183,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
184,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
185,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
186,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
187,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
188,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
189,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
190,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
191,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
