"time","BESS.injector.PInjPuSn","BESS.injector.QInjPuSn","BESS.reecC.idCmdPu","BESS.reecC.iqCmdPu","BESS.injector.UPu"
0,0.499999999999269,-6.921119999994469e-7,0.5,1.5000000000414055e-12,0.999999999999496
0.001,0.499999999999709,-2.576707500205242e-7,0.5,1.5000458739877043e-12,0.9999999999995497
0.002,0.4999999999997856,-6.118644704518664e-8,0.5,1.5003407542164036e-12,0.999999999999574
0.003,0.4999999999997968,2.5882395655173907e-8,0.5000000000000595,1.5010646155195042e-12,0.9999999999995848
0.004,0.49999999999979783,7.931799342444789e-8,0.5000000000000746,1.5023943426713964e-12,0.9999999999995915
0.005,0.4999999999998017,7.889913418907915e-8,0.5000000000000876,1.5042847487093541e-12,0.9999999999995914
0.006,0.4999999999998078,6.51923240299752e-8,0.5000000000000953,1.5105934019781668e-12,0.9999999999995897
0.007,0.4999999999998136,5.378604273435262e-8,0.5000000000001021,1.5174617280271602e-12,0.9999999999995883
0.008,0.4999999999998191,4.2379761438729814e-8,0.500000000000109,1.5243300540761537e-12,0.9999999999995869
0.009,0.4999999999998243,3.097348014310676e-8,0.500000000000116,1.5311983801251473e-12,0.9999999999995856
0.01,0.49999999999982914,1.9567198847483456e-8,0.5000000000001229,1.5380667061741408e-12,0.9999999999995841
0.011,0.4999999999998339,1.5990457027731726e-8,0.500000000000128,1.551914078703213e-12,0.9999999999995837
0.012,0.4999999999998387,1.4886201358255266e-8,0.5000000000001326,1.567965360647047e-12,0.9999999999995836
0.013,0.4999999999998435,1.3781945688778787e-8,0.500000000000137,1.584016642590881e-12,0.9999999999995834
0.014,0.4999999999998484,1.2677690019302283e-8,0.5000000000001416,1.6000679245347152e-12,0.9999999999995832
0.015,0.49999999999985306,1.1573434349825745e-8,0.500000000000146,1.6161192064785492e-12,0.9999999999995831
0.016,0.49999999999985784,1.0469178680349203e-8,0.5000000000001505,1.6321704884223833e-12,0.999999999999583
0.017,0.4999999999998628,9.36492301087264e-9,0.500000000000155,1.6482217703662174e-12,0.9999999999995829
0.018,0.4999999999998675,8.26066734139606e-9,0.5000000000001595,1.6642730523100514e-12,0.9999999999995827
0.019,0.4999999999998723,7.1564116719194584e-9,0.500000000000164,1.6803243342538855e-12,0.9999999999995826
0.02,0.4999999999998771,6.0521560024428086e-9,0.5000000000001685,1.6963756161977197e-12,0.9999999999995824
0.021,0.4999999999998808,5.480983254923021e-9,0.5000000000001712,1.717135604016677e-12,0.9999999999995823
0.022,0.4999999999998837,5.401887050748008e-9,0.5000000000001723,1.7422420895665173e-12,0.9999999999995823
0.023,0.49999999999988654,5.3227908465730125e-9,0.5000000000001734,1.7673485751163575e-12,0.9999999999995823
0.024,0.4999999999998893,5.243694642397986e-9,0.5000000000001744,1.792455060666198e-12,0.9999999999995823
0.025,0.4999999999998921,5.16459843822297e-9,0.5000000000001755,1.8175615462160383e-12,0.9999999999995823
0.026,0.49999999999989486,5.085502234047957e-9,0.5000000000001766,1.8426680317658785e-12,0.9999999999995823
0.027,0.49999999999989764,5.006406029872937e-9,0.5000000000001776,1.8677745173157187e-12,0.9999999999995823
0.028,0.4999999999999004,4.927309825697921e-9,0.5000000000001787,1.8928810028655593e-12,0.9999999999995823
0.029,0.4999999999999032,4.848213621522898e-9,0.5000000000001797,1.9179874884154e-12,0.9999999999995823
0.03,0.49999999999990596,4.7691174173478714e-9,0.5000000000001809,1.94309397396524e-12,0.9999999999995823
0.031,0.49999999999990874,4.690021213172866e-9,0.500000000000182,1.9682004595150803e-12,0.9999999999995823
0.032,0.49999999999991146,4.610925008997828e-9,0.5000000000001831,1.9933069450649205e-12,0.9999999999995823
0.033,0.4999999999999141,4.531828804822796e-9,0.5000000000001842,2.018413430614761e-12,0.9999999999995823
0.034,0.4999999999999169,4.452732600647779e-9,0.5000000000001852,2.0435199161646013e-12,0.9999999999995823
0.035,0.49999999999991984,4.3736363964727735e-9,0.5000000000001863,2.068626401714442e-12,0.9999999999995821
0.036,0.49999999999992256,4.294540192297737e-9,0.5000000000001873,2.093732887264282e-12,0.9999999999995821
