"time","Unit.measurements.UPu","Unit.measurements.PPu","Unit.measurements.QPu"
0.263,1,1,0.3
0.264,1,1,0.3
0.265,1,1,0.3
0.266,1,1,0.3
0.267,1,1,0.3
0.268,1,1,0.3
0.269,1,1,0.3
0.27,1,1,0.3
0.271,1,1,0.3
0.272,1,1,0.3
0.273,1,1,0.3
0.274,1,1,0.3
0.275,1,1,0.3
0.276,1,1,0.3
0.277,1,1,0.3
0.278,1,1,0.3
0.279,1,1,0.3
0.28,1,1,0.3
0.281,1,1,0.3
0.282,1,1,0.3
0.283,1,1,0.3
0.284,1,1,0.3
0.285,1,1,0.3
0.286,1,1,0.3
0.287,1,1,0.3
0.288,1,1,0.3
0.289,1,1,0.3
0.29,1,1,0.3
0.291,1,1,0.3
0.292,1,1,0.3
0.293,1,1,0.3
0.294,1,1,0.3
0.295,1,1,0.3
0.296,1,1,0.3
0.297,1,1,0.3
0.298,1,1,0.3
0.299,1,1,0.3
0.3,1,1,0.3
0.301,1,1,0.3
0.302,1,1,0.3
0.303,1,1,0.3
0.304,1,1,0.3
0.305,1,1,0.3
0.306,1,1,0.3
0.307,1,1,0.3
0.308,1,1,0.3
0.309,1,1,0.3
0.31,1,1,0.3
0.311,1,1,0.3
0.312,1,1,0.3
0.313,1,1,0.3
0.314,1,1,0.3
0.315,1,1,0.3
0.316,1,1,0.3
0.317,1,1,0.3
0.318,1,1,0.3
0.319,1,1,0.3
0.32,1,1,0.3
0.321,1,1,0.3
0.322,1,1,0.3
0.323,1,1,0.3
0.324,1,1,0.3
0.325,1,1,0.3
0.326,1,1,0.3
0.327,1,1,0.3
0.328,1,1,0.3
0.329,1,1,0.3
0.33,1,1,0.3
0.331,1,1,0.3
0.332,1,1,0.3
0.333,1,1,0.3
0.334,1,1,0.3
0.335,1,1,0.3
0.336,1,1,0.3
0.337,1,1,0.3
0.338,1,1,0.3
0.339,1,1,0.3
0.34,1,1,0.3
0.341,1,1,0.3
0.342,1,1,0.3
0.343,1,1,0.3
0.344,1,1,0.3
0.345,1,1,0.3
0.346,1,1,0.3
0.347,1,1,0.3
0.348,1,1,0.3
0.349,1,1,0.3
0.35,1,1,0.3
0.351,1,1,0.3
0.352,1,1,0.3
0.353,1,1,0.3
0.354,1,1,0.3
0.355,1,1,0.3
0.356,1,1,0.3
0.357,1,1,0.3
0.358,1,1,0.3
0.359,1,1,0.3
0.36,1,1,0.3
0.361,1,1,0.3
0.362,1,1,0.3
0.363,1,1,0.3
0.364,1,1,0.3
0.365,1,1,0.3
0.366,1,1,0.3
0.367,1,1,0.3
0.368,1,1,0.3
0.369,1,1,0.3
0.37,1,1,0.3
0.371,1,1,0.3
0.372,1,1,0.3
0.373,1,1,0.3
0.374,1,1,0.3
