"time","epriGfm.gfm.PPu","epriGfm.epriVoltageCtrl.QPu","epriGfm.gfm.omegaPu"
0,0.6569993874828516,0.02289236122462604,1
0.02,0.6569994445316346,0.02289249896257917,1.000000032661185
0.04,0.6569995984302527,0.02289211925518533,1.000000020553316
0.06,0.656999717474163,0.0228919493606434,1.000000015724149
0.08,0.6569998083176386,0.02289178925636143,1.000000010512572
0.1,0.6569999086887909,0.02289169786368113,1.000000005887587
0.12,0.6569999656472765,0.02289162040648805,1.000000002305666
0.14,0.6570000341323891,0.02289161177859676,0.999999999815109
0.16,0.6570000801395331,0.02289157588209284,0.9999999963670996
0.18,0.6570000633028051,0.02289156126072955,0.999999995907777
0.2,0.6570000909698986,0.0228916292566094,0.9999999963490683
0.22,0.6570001276283245,0.02289164256839579,0.9999999939734446
0.24,0.6570000915560937,0.02289165181156609,0.9999999945291406
0.26,0.6570000859145491,0.02289172817191067,0.999999996400068
0.28,0.6570000965830439,0.02289178343634322,0.9999999967811881
0.3,0.6570001111709742,0.02289179887566177,0.9999999955247604
0.32,0.6570000958049734,0.02289178320946889,0.9999999944988267
0.34,0.6570000490614298,0.02289180058135232,0.9999999963269659
0.36,0.6570000339442827,0.02289183887064977,0.9999999977513617
0.38,0.6570000287465565,0.02289188066844577,0.9999999990270731
0.4,0.657000024548704,0.02289190405001792,0.999999999666768
0.42,0.6570000198331761,0.02289189906801475,0.9999999993333898
0.44,0.6570000187256277,0.02289190464408764,0.999999999368416
0.46,0.6570000167953394,0.02289190519222184,0.9999999993392497
0.48,0.6570000135354278,0.0228919040882531,0.99999999935728
0.5,0.6570000110024429,0.02289190520003211,0.9999999994339818
0.5,0.6570000110024429,0.02289190520003211,0.9999999994339818
0.5,0.6570000111074686,0.02289190520713807,0.9999999994339818
0.52,0.6656068668144701,0.01545371172032576,0.999629327975154
0.54,0.6688541446931126,0.01083495572859092,0.9994555421069383
0.56,0.6724602491363193,0.007902483302766203,0.9992675151480856
0.58,0.6750861411605278,0.006382362175505336,0.9991268950420461
0.6,0.6771227204487466,0.006014795046946381,0.9990173070698547
0.62,0.6785707065532222,0.006515096381007308,0.998937911759141
0.64,0.6795230919043513,0.007643148893550167,0.9988843671920299
0.66,0.6800668654343976,0.009186932940969103,0.9988523341960094
0.68,0.6802839178447957,0.01096662275681565,0.9988376442945658
0.7,0.6802535744097562,0.01283880817817123,0.9988363071083188
0.72,0.6800465313757791,0.01469096736500308,0.9988446495791857
0.74,0.6797227166905131,0.01644326718622004,0.9988595479406615
0.76,0.6793326197076982,0.01804286366029911,0.9988783659572065
