time;WPP4A_WPP_wPPControl_measurements_PPu;WPP4A_WPP_wPPControl_measurements_QPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;WPP4A_WPP_wT4ACurrentSource_gridProtection_fOCB;
0.006574;1.000141;-0.210036;1.000165;0.976171;0.217762;-0.930264;-0.422684;-1.000000;
0.007503;1.000136;-0.210036;1.000166;0.976172;0.217760;-0.930259;-0.422681;-1.000000;
0.008432;1.000130;-0.210036;1.000166;0.976173;0.217759;-0.930254;-0.422678;-1.000000;
0.009361;1.000125;-0.210036;1.000166;0.976173;0.217757;-0.930249;-0.422675;-1.000000;
0.010290;1.000119;-0.210035;1.000167;0.976174;0.217756;-0.930244;-0.422672;-1.000000;
0.011219;1.000114;-0.210035;1.000167;0.976175;0.217754;-0.930239;-0.422669;-1.000000;
0.012523;1.000106;-0.210034;1.000168;0.976176;0.217752;-0.930232;-0.422664;-1.000000;
0.012557;1.000106;-0.210034;1.000168;0.976176;0.217752;-0.930232;-0.422664;-1.000000;
0.012592;1.000106;-0.210034;1.000168;0.976176;0.217752;-0.930232;-0.422664;-1.000000;
0.012661;1.000105;-0.210034;1.000168;0.976176;0.217752;-0.930231;-0.422663;-1.000000;
0.012799;1.000105;-0.210034;1.000168;0.976176;0.217752;-0.930230;-0.422663;-1.000000;
0.013075;1.000103;-0.210034;1.000168;0.976177;0.217752;-0.930229;-0.422662;-1.000000;
0.013435;1.000101;-0.210033;1.000168;0.976177;0.217751;-0.930227;-0.422661;-1.000000;
0.013474;1.000101;-0.210033;1.000168;0.976177;0.217751;-0.930227;-0.422660;-1.000000;
0.013513;1.000101;-0.210033;1.000168;0.976177;0.217751;-0.930227;-0.422660;-1.000000;
0.013563;1.000100;-0.210033;1.000169;0.976177;0.217751;-0.930226;-0.422660;-1.000000;
0.013602;1.000100;-0.210033;1.000169;0.976177;0.217751;-0.930226;-0.422660;-1.000000;
0.013642;1.000100;-0.210033;1.000169;0.976177;0.217751;-0.930226;-0.422660;-1.000000;
0.013721;1.000099;-0.210033;1.000169;0.976177;0.217751;-0.930226;-0.422659;-1.000000;
0.013878;1.000099;-0.210033;1.000169;0.976177;0.217750;-0.930225;-0.422659;-1.000000;
0.014193;1.000097;-0.210033;1.000169;0.976178;0.217750;-0.930223;-0.422658;-1.000000;
0.014822;1.000093;-0.210032;1.000169;0.976178;0.217749;-0.930220;-0.422655;-1.000000;
0.016082;1.000087;-0.210031;1.000170;0.976179;0.217747;-0.930214;-0.422651;-1.000000;
0.017341;1.000080;-0.210030;1.000171;0.976180;0.217746;-0.930208;-0.422646;-1.000000;
0.019859;1.000069;-0.210028;1.000172;0.976183;0.217743;-0.930197;-0.422637;-1.000000;
0.022126;1.000059;-0.210025;1.000173;0.976184;0.217740;-0.930189;-0.422630;-1.000000;
0.023851;1.000053;-0.210023;1.000174;0.976186;0.217738;-0.930183;-0.422624;-1.000000;
0.023867;1.000053;-0.210023;1.000174;0.976186;0.217738;-0.930183;-0.422624;-1.000000;
0.023984;1.000052;-0.210023;1.000174;0.976186;0.217738;-0.930182;-0.422624;-1.000000;
0.024102;1.000052;-0.210023;1.000175;0.976186;0.217738;-0.930182;-0.422624;-1.000000;
0.024337;1.000051;-0.210023;1.000175;0.976186;0.217738;-0.930181;-0.422623;-1.000000;
0.024807;1.000050;-0.210022;1.000175;0.976187;0.217738;-0.930180;-0.422621;-1.000000;
0.025748;1.000047;-0.210021;1.000175;0.976187;0.217737;-0.930177;-0.422619;-1.000000;
0.027629;1.000041;-0.210019;1.000176;0.976189;0.217735;-0.930172;-0.422613;-1.000000;
0.029510;1.000036;-0.210017;1.000177;0.976190;0.217734;-0.930167;-0.422608;-1.000000;
0.033272;1.000028;-0.210013;1.000179;0.976192;0.217732;-0.930159;-0.422599;-1.000000;
0.037035;1.000021;-0.210009;1.000181;0.976194;0.217730;-0.930153;-0.422592;-1.000000;
0.040797;1.000016;-0.210006;1.000182;0.976196;0.217728;-0.930148;-0.422585;-1.000000;
0.044559;1.000012;-0.210003;1.000183;0.976197;0.217727;-0.930145;-0.422580;-1.000000;
0.048321;1.000009;-0.210001;1.000184;0.976198;0.217726;-0.930142;-0.422575;-1.000000;
0.052084;1.000006;-0.209999;1.000185;0.976199;0.217726;-0.930139;-0.422571;-1.000000;
0.055846;1.000004;-0.209997;1.000185;0.976200;0.217725;-0.930138;-0.422568;-1.000000;
0.061688;1.000002;-0.209995;1.000186;0.976201;0.217724;-0.930135;-0.422564;-1.000000;
0.061980;1.000002;-0.209995;1.000186;0.976201;0.217724;-0.930135;-0.422564;-1.000000;
0.062272;1.000002;-0.209995;1.000186;0.976201;0.217724;-0.930135;-0.422564;-1.000000;
0.062855;1.000001;-0.209994;1.000186;0.976201;0.217724;-0.930135;-0.422564;-1.000000;
0.064022;1.000001;-0.209994;1.000186;0.976201;0.217724;-0.930135;-0.422563;-1.000000;
0.066356;1.000001;-0.209994;1.000187;0.976202;0.217724;-0.930134;-0.422562;-1.000000;
0.071024;1.000000;-0.209993;1.000187;0.976202;0.217724;-0.930133;-0.422561;-1.000000;
0.079975;0.999998;-0.209992;1.000187;0.976203;0.217723;-0.930132;-0.422559;-1.000000;
0.080287;0.999998;-0.209992;1.000187;0.976203;0.217723;-0.930132;-0.422559;-1.000000;
0.080598;0.999998;-0.209992;1.000187;0.976203;0.217723;-0.930132;-0.422559;-1.000000;
0.081222;0.999998;-0.209992;1.000187;0.976203;0.217723;-0.930132;-0.422559;-1.000000;
0.082468;0.999998;-0.209991;1.000188;0.976203;0.217723;-0.930132;-0.422559;-1.000000;
0.084960;0.999998;-0.209991;1.000188;0.976203;0.217723;-0.930132;-0.422558;-1.000000;
0.089945;0.999998;-0.209991;1.000188;0.976203;0.217723;-0.930131;-0.422558;-1.000000;
0.099916;0.999997;-0.209991;1.000188;0.976203;0.217723;-0.930131;-0.422558;-1.000000;
0.119856;0.999997;-0.209992;1.000187;0.976202;0.217723;-0.930131;-0.422559;-1.000000;
0.134235;0.999997;-0.209993;1.000187;0.976202;0.217723;-0.930131;-0.422560;-1.000000;
0.134605;0.999997;-0.209993;1.000187;0.976202;0.217723;-0.930131;-0.422560;-1.000000;
0.134974;0.999997;-0.209993;1.000187;0.976202;0.217723;-0.930131;-0.422560;-1.000000;
0.135456;0.999997;-0.209993;1.000187;0.976202;0.217723;-0.930131;-0.422560;-1.000000;
0.135827;0.999997;-0.209993;1.000187;0.976202;0.217723;-0.930131;-0.422560;-1.000000;
0.136198;0.999997;-0.209993;1.000187;0.976202;0.217723;-0.930131;-0.422560;-1.000000;
0.136941;0.999997;-0.209994;1.000187;0.976202;0.217723;-0.930131;-0.422561;-1.000000;
0.138425;0.999997;-0.209994;1.000187;0.976202;0.217723;-0.930131;-0.422561;-1.000000;
0.141394;0.999997;-0.209994;1.000187;0.976202;0.217723;-0.930131;-0.422561;-1.000000;
0.147331;0.999997;-0.209994;1.000187;0.976202;0.217723;-0.930131;-0.422562;-1.000000;
0.159206;0.999998;-0.209995;1.000186;0.976201;0.217723;-0.930132;-0.422563;-1.000000;
0.182955;0.999998;-0.209997;1.000186;0.976201;0.217723;-0.930132;-0.422565;-1.000000;
0.230453;0.999999;-0.209998;1.000185;0.976200;0.217724;-0.930133;-0.422567;-1.000000;
0.325451;0.999999;-0.209999;1.000185;0.976200;0.217724;-0.930133;-0.422568;-1.000000;
0.515445;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;-1.000000;
0.838471;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.839596;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.840721;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.842971;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.847471;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.856471;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.874471;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.910471;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
0.982470;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.126469;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.414468;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.990464;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000000;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000021;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000043;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000085;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000171;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000343;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.000686;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.001373;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.002060;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
2.003204;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422570;-1.000000;
2.003229;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422570;-1.000000;
2.003254;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;-1.000000;
2.003305;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;-1.000000;
2.003407;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;-1.000000;
2.003610;0.999998;-0.210000;1.000185;0.976200;0.217724;-0.930132;-0.422569;-1.000000;
2.004017;0.999998;-0.210001;1.000185;0.976200;0.217723;-0.930132;-0.422569;-1.000000;
2.004329;0.999997;-0.210001;1.000185;0.976200;0.217723;-0.930131;-0.422569;-1.000000;
2.004357;0.999997;-0.210001;1.000185;0.976200;0.217723;-0.930131;-0.422569;-1.000000;
2.004384;0.999997;-0.210001;1.000185;0.976200;0.217723;-0.930131;-0.422569;-1.000000;
2.004438;0.999997;-0.210001;1.000185;0.976200;0.217723;-0.930131;-0.422569;-1.000000;
2.004546;0.999996;-0.210001;1.000185;0.976200;0.217723;-0.930130;-0.422569;-1.000000;
2.004764;0.999995;-0.210001;1.000185;0.976200;0.217723;-0.930130;-0.422569;-1.000000;
2.005198;0.999994;-0.210001;1.000185;0.976200;0.217722;-0.930128;-0.422568;-1.000000;
2.006066;0.999988;-0.210003;1.000185;0.976200;0.217721;-0.930123;-0.422567;-1.000000;
2.007802;0.999968;-0.210007;1.000184;0.976201;0.217716;-0.930105;-0.422562;-1.000000;
2.009539;0.999929;-0.210015;1.000184;0.976203;0.217706;-0.930070;-0.422552;-1.000000;
2.011276;0.999867;-0.210027;1.000184;0.976207;0.217691;-0.930013;-0.422536;-1.000000;
2.013012;0.999774;-0.210045;1.000184;0.976212;0.217667;-0.929928;-0.422510;-1.000000;
2.014749;0.999643;-0.210068;1.000184;0.976219;0.217634;-0.929810;-0.422473;-1.000000;
2.016485;0.999471;-0.210098;1.000185;0.976230;0.217591;-0.929653;-0.422423;-1.000000;
2.018222;0.999250;-0.210135;1.000187;0.976244;0.217535;-0.929453;-0.422357;-1.000000;
2.019958;0.998976;-0.210179;1.000189;0.976261;0.217466;-0.929204;-0.422273;-1.000000;
2.021695;0.998645;-0.210230;1.000192;0.976284;0.217382;-0.928903;-0.422170;-1.000000;
2.023431;0.998254;-0.210288;1.000197;0.976311;0.217283;-0.928548;-0.422044;-1.000000;
2.025168;0.997800;-0.210352;1.000204;0.976343;0.217168;-0.928135;-0.421894;-1.000000;
2.026904;0.997282;-0.210422;1.000212;0.976381;0.217037;-0.927664;-0.421720;-1.000000;
2.028641;0.996698;-0.210497;1.000223;0.976425;0.216889;-0.927133;-0.421519;-1.000000;
2.030377;0.996048;-0.210576;1.000236;0.976475;0.216723;-0.926541;-0.421291;-1.000000;
2.032114;0.995331;-0.210660;1.000252;0.976531;0.216541;-0.925889;-0.421034;-1.000000;
2.033851;0.994549;-0.210746;1.000270;0.976594;0.216343;-0.925178;-0.420749;-1.000000;
2.035587;0.993702;-0.210834;1.000292;0.976664;0.216127;-0.924407;-0.420435;-1.000000;
2.037324;0.992793;-0.210924;1.000316;0.976741;0.215896;-0.923579;-0.420091;-1.000000;
2.039060;0.991822;-0.211014;1.000344;0.976824;0.215648;-0.922695;-0.419719;-1.000000;
2.040797;0.990792;-0.211104;1.000376;0.976914;0.215385;-0.921756;-0.419318;-1.000000;
2.044270;0.988566;-0.211281;1.000449;0.977114;0.214818;-0.919729;-0.418431;-1.000000;
2.047743;0.986136;-0.211449;1.000536;0.977339;0.214196;-0.917514;-0.417436;-1.000000;
2.051216;0.983519;-0.211605;1.000637;0.977589;0.213527;-0.915128;-0.416340;-1.000000;
2.054689;0.980739;-0.211745;1.000751;0.977861;0.212815;-0.912593;-0.415150;-1.000000;
2.058162;0.977814;-0.211868;1.000878;0.978154;0.212065;-0.909924;-0.413874;-1.000000;
2.061635;0.974764;-0.211973;1.001017;0.978465;0.211283;-0.907141;-0.412520;-1.000000;
2.065108;0.971606;-0.212059;1.001167;0.978793;0.210472;-0.904257;-0.411098;-1.000000;
2.068581;0.968354;-0.212126;1.001327;0.979136;0.209637;-0.901288;-0.409615;-1.000000;
2.072054;0.965022;-0.212175;1.001495;0.979492;0.208780;-0.898245;-0.408079;-1.000000;
2.075527;0.961621;-0.212207;1.001672;0.979858;0.207905;-0.895137;-0.406497;-1.000000;
2.079001;0.958158;-0.212223;1.001856;0.980235;0.207014;-0.891973;-0.404876;-1.000000;
2.082474;0.954643;-0.212226;1.002046;0.980619;0.206109;-0.888760;-0.403222;-1.000000;
2.085947;0.951080;-0.212216;1.002240;0.981011;0.205191;-0.885503;-0.401538;-1.000000;
2.089420;0.947473;-0.212196;1.002439;0.981408;0.204262;-0.882205;-0.399830;-1.000000;
2.092893;0.943827;-0.212167;1.002642;0.981810;0.203322;-0.878870;-0.398102;-1.000000;
2.099839;0.936428;-0.212088;1.003055;0.982625;0.201416;-0.872103;-0.394600;-1.000000;
2.106785;0.928898;-0.211989;1.003476;0.983450;0.199475;-0.865213;-0.391049;-1.000000;
2.113731;0.921250;-0.211876;1.003901;0.984281;0.197504;-0.858214;-0.387467;-1.000000;
2.120678;0.913497;-0.211754;1.004329;0.985116;0.195506;-0.851117;-0.383865;-1.000000;
2.127624;0.905651;-0.211627;1.004757;0.985951;0.193484;-0.843933;-0.380257;-1.000000;
2.134570;0.897723;-0.211499;1.005183;0.986784;0.191442;-0.836674;-0.376651;-1.000000;
2.138043;0.893732;-0.211434;1.005395;0.987199;0.190414;-0.833019;-0.374851;-1.000000;
2.144989;0.885707;-0.211307;1.005817;0.988025;0.188347;-0.825668;-0.371265;-1.000000;
2.158881;0.869525;-0.211061;1.006645;0.989652;0.184182;-0.810842;-0.364171;-1.000000;
2.159750;0.868507;-0.211046;1.006696;0.989752;0.183920;-0.809910;-0.363732;-1.000000;
2.161486;0.866471;-0.211016;1.006798;0.989953;0.183396;-0.808044;-0.362853;-1.000000;
2.164959;0.862394;-0.210957;1.007000;0.990353;0.182347;-0.804307;-0.361104;-1.000000;
2.171905;0.854223;-0.210844;1.007400;0.991144;0.180245;-0.796818;-0.357633;-1.000000;
2.185798;0.837839;-0.210634;1.008179;0.992692;0.176032;-0.781797;-0.350819;-1.000000;
2.189271;0.833735;-0.210585;1.008369;0.993072;0.174977;-0.778034;-0.349142;-1.000000;
2.191007;0.831682;-0.210561;1.008464;0.993260;0.174450;-0.776151;-0.348307;-1.000000;
2.191876;0.830655;-0.210549;1.008510;0.993354;0.174186;-0.775210;-0.347891;-1.000000;
2.193612;0.828602;-0.210525;1.008604;0.993542;0.173658;-0.773326;-0.347061;-1.000000;
2.197085;0.824495;-0.210480;1.008790;0.993914;0.172603;-0.769560;-0.345410;-1.000000;
2.198822;0.822441;-0.210458;1.008882;0.994099;0.172075;-0.767676;-0.344589;-1.000000;
2.202295;0.818333;-0.210414;1.009065;0.994467;0.171020;-0.763908;-0.342956;-1.000000;
2.204031;0.816279;-0.210393;1.009156;0.994649;0.170492;-0.762024;-0.342143;-1.000000;
2.207504;0.812171;-0.210352;1.009335;0.995012;0.169437;-0.758255;-0.340528;-1.000000;
2.209241;0.810117;-0.210333;1.009425;0.995192;0.168910;-0.756371;-0.339725;-1.000000;
2.212714;0.806010;-0.210294;1.009602;0.995550;0.167855;-0.752603;-0.338127;-1.000000;
2.214451;0.803957;-0.210275;1.009689;0.995728;0.167328;-0.750718;-0.337333;-1.000000;
2.217924;0.799850;-0.210239;1.009863;0.996081;0.166274;-0.746951;-0.335753;-1.000000;
2.224870;0.791641;-0.210170;1.010205;0.996777;0.164167;-0.739418;-0.332631;-1.000000;
2.228343;0.787539;-0.210138;1.010374;0.997120;0.163115;-0.735652;-0.331087;-1.000000;
2.235289;0.779339;-0.210078;1.010704;0.997797;0.161011;-0.728126;-0.328037;-1.000000;
2.249181;0.762964;-0.209972;1.011343;0.999112;0.156812;-0.713092;-0.322080;-1.000000;
2.255955;0.754993;-0.209927;1.011643;0.999734;0.154769;-0.705772;-0.319244;-1.000000;
2.255992;0.754949;-0.209927;1.011645;0.999738;0.154757;-0.705731;-0.319228;-1.000000;
2.256067;0.754861;-0.209927;1.011648;0.999744;0.154735;-0.705651;-0.319197;-1.000000;
2.256217;0.754685;-0.209926;1.011655;0.999758;0.154690;-0.705489;-0.319135;-1.000000;
2.256516;0.754334;-0.209924;1.011668;0.999785;0.154600;-0.705166;-0.319011;-1.000000;
2.257113;0.753631;-0.209920;1.011694;0.999839;0.154419;-0.704520;-0.318763;-1.000000;
2.258309;0.752225;-0.209913;1.011746;0.999948;0.154059;-0.703229;-0.318269;-1.000000;
2.260701;0.749415;-0.209899;1.011849;1.000163;0.153339;-0.700648;-0.317284;-1.000000;
2.265485;0.743800;-0.209873;1.012053;1.000589;0.151900;-0.695491;-0.315333;-1.000000;
2.273965;0.733867;-0.209836;1.012406;1.001328;0.149356;-0.686367;-0.311935;-1.000000;
2.273965;0.733868;-0.209833;1.012406;1.001329;0.149356;-0.686367;-0.311932;-1.000000;
2.274110;0.733698;-0.209833;1.012412;1.001341;0.149313;-0.686211;-0.311874;-1.000000;
2.274256;0.733527;-0.209832;1.012418;1.001354;0.149269;-0.686054;-0.311816;-1.000000;
2.274547;0.733186;-0.209830;1.012430;1.001379;0.149182;-0.685740;-0.311700;-1.000000;
2.275129;0.732504;-0.209828;1.012454;1.001429;0.149007;-0.685113;-0.311469;-1.000000;
2.276294;0.731139;-0.209822;1.012502;1.001529;0.148657;-0.683860;-0.311007;-1.000000;
2.278623;0.728412;-0.209811;1.012597;1.001728;0.147959;-0.681354;-0.310088;-1.000000;
2.283280;0.722965;-0.209791;1.012784;1.002122;0.146564;-0.676348;-0.308266;-1.000000;
2.292596;0.712094;-0.209757;1.013148;1.002893;0.143781;-0.666358;-0.304685;-1.000000;
2.311226;0.690446;-0.209706;1.013839;1.004370;0.138242;-0.646456;-0.297772;-1.000000;
2.329857;0.668883;-0.209666;1.014487;1.005767;0.132728;-0.626625;-0.291158;-1.000000;
2.348487;0.647406;-0.209636;1.015092;1.007086;0.127239;-0.606864;-0.284835;-1.000000;
2.385749;0.604636;-0.209591;1.016185;1.009506;0.116316;-0.567487;-0.273004;-1.000000;
2.423010;0.562184;-0.209572;1.017122;1.011637;0.105486;-0.528371;-0.262256;-1.000000;
2.460271;0.520050;-0.209570;1.017912;1.013493;0.094748;-0.489517;-0.252543;-1.000000;
2.497532;0.478221;-0.209577;1.018563;1.015085;0.084098;-0.450914;-0.243820;-1.000000;
2.499000;0.476580;-0.209577;1.018586;1.015143;0.083681;-0.449399;-0.243496;-1.000000;
2.499095;0.476473;-0.209578;1.018587;1.015146;0.083653;-0.449301;-0.243475;-1.000000;
2.499190;0.476367;-0.209578;1.018589;1.015150;0.083626;-0.449202;-0.243455;-1.000000;
2.499380;0.476154;-0.209578;1.018591;1.015157;0.083572;-0.449006;-0.243413;-1.000000;
2.499761;0.475729;-0.209578;1.018597;1.015172;0.083464;-0.448613;-0.243329;-1.000000;
2.500522;0.474878;-0.209578;1.018609;1.015202;0.083248;-0.447828;-0.243162;-1.000000;
2.501283;0.474028;-0.209578;1.018621;1.015231;0.083031;-0.447043;-0.242996;-1.000000;
2.502804;0.472328;-0.209579;1.018644;1.015290;0.082599;-0.445474;-0.242664;-1.000000;
2.504170;0.470806;-0.209579;1.018664;1.015342;0.082211;-0.444068;-0.242368;-1.000000;
2.505535;0.469288;-0.209579;1.018685;1.015393;0.081825;-0.442666;-0.242074;-1.000000;
2.506901;0.467776;-0.209578;1.018705;1.015445;0.081440;-0.441270;-0.241781;-1.000000;
2.508266;0.466274;-0.209577;1.018726;1.015496;0.081058;-0.439883;-0.241491;-1.000000;
2.509631;0.464783;-0.209574;1.018746;1.015546;0.080679;-0.438506;-0.241203;-1.000000;
2.512362;0.461856;-0.209566;1.018786;1.015646;0.079934;-0.435803;-0.240636;-1.000000;
2.515093;0.459017;-0.209552;1.018827;1.015743;0.079211;-0.433180;-0.240085;-1.000000;
2.517823;0.456288;-0.209531;1.018867;1.015837;0.078516;-0.430659;-0.239551;-1.000000;
2.520554;0.453689;-0.209504;1.018907;1.015928;0.077854;-0.428257;-0.239039;-1.000000;
2.523285;0.451235;-0.209471;1.018946;1.016015;0.077229;-0.425990;-0.238550;-1.000000;
2.526015;0.448939;-0.209432;1.018985;1.016098;0.076644;-0.423867;-0.238086;-1.000000;
2.528746;0.446807;-0.209389;1.019022;1.016177;0.076100;-0.421897;-0.237651;-1.000000;
2.531477;0.444845;-0.209341;1.019059;1.016251;0.075600;-0.420083;-0.237244;-1.000000;
2.534208;0.443051;-0.209292;1.019094;1.016320;0.075142;-0.418424;-0.236867;-1.000000;
2.536938;0.441422;-0.209240;1.019127;1.016384;0.074726;-0.416917;-0.236520;-1.000000;
2.539669;0.439953;-0.209189;1.019158;1.016442;0.074351;-0.415558;-0.236203;-1.000000;
2.542400;0.438635;-0.209139;1.019187;1.016496;0.074015;-0.414339;-0.235914;-1.000000;
2.545130;0.437459;-0.209090;1.019214;1.016545;0.073714;-0.413251;-0.235654;-1.000000;
2.547861;0.436415;-0.209044;1.019239;1.016589;0.073447;-0.412285;-0.235420;-1.000000;
2.550592;0.435493;-0.209002;1.019261;1.016628;0.073211;-0.411431;-0.235212;-1.000000;
2.553322;0.434680;-0.208964;1.019281;1.016663;0.073004;-0.410679;-0.235028;-1.000000;
2.556053;0.433966;-0.208929;1.019298;1.016694;0.072821;-0.410018;-0.234867;-1.000000;
2.558784;0.433341;-0.208900;1.019313;1.016720;0.072661;-0.409439;-0.234726;-1.000000;
2.559311;0.433228;-0.208895;1.019316;1.016725;0.072633;-0.409335;-0.234701;-1.000000;
2.559362;0.433218;-0.208895;1.019316;1.016725;0.072630;-0.409325;-0.234698;-1.000000;
