2019-08-05 22:50:22 | DEBUG |  ============================================================ 
2019-08-05 22:50:22 | DEBUG | DYNAWO VERSION  :     1.0.1
2019-08-05 22:50:22 | DEBUG | DYNAWO REVISION :  384_ModeFromModelica-093a76f
2019-08-05 22:50:22 | DEBUG |  ============================================================ 
2019-08-05 22:51:18 | DEBUG | connecting OpenLine_event_state1 with Network_line2_switchOffSignal2
2019-08-05 22:51:18 | DEBUG | connecting Network_tfo_terminal2 with SM_gen_terminal
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_cePu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_PePu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_cmPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_PmPu found.( gen_PmPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_ufPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_efdPu found.( gen_efdPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_omegaPu found.( gen_omegaPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_theta found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_PGenPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_QGenPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_PGen found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_QGen found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_UPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_IStatorPu found.( gen_IStatorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_IRotorPu found.( gen_IRotorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_UStatorPu found.( gen_UStatorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_QStatorPu found.( gen_QStatorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_thetaInternal found.( gen_thetaInternal_value )
2019-08-05 22:51:18 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-08-05 22:51:18 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:18 | DEBUG | number of continuous variables : 90 (display limited to 4 variables)
2019-08-05 22:51:18 | DEBUG | number of discrete variables : 18
2019-08-05 22:51:18 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:18 | DEBUG |     t              y1            y2            y3            y4      | nst k      h
2019-08-05 22:51:18 | DEBUG |        0.262  4.745838e-01  8.802090e-01  0.000000e+00  9.008100e-01 |  19 1 1.310720e-01 
2019-08-05 22:51:18 | DEBUG |        0.524  4.745977e-01  8.802019e-01  0.000000e+00  9.008100e-01 |  20 1 2.621440e-01 
2019-08-05 22:51:18 | DEBUG | Algebraic mode (with J recalculation) change for model Network
2019-08-05 22:51:18 | DEBUG |        1.000  4.745908e-01  8.802070e-01  0.000000e+00  9.008100e-01 |  21 1 5.242880e-01 
2019-08-05 22:51:18 | DEBUG | calculation of the new starting point of the simulation.
2019-08-05 22:51:18 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-08-05 22:51:18 | DEBUG |        1.000  2.853467e-01  3.288953e-01  0.000000e+00  9.008100e-01 |   0 0 0.000000e+00 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853465e-01  3.288911e-01  0.000000e+00  9.008100e-01 |   1 1 1.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853464e-01  3.288870e-01  0.000000e+00  9.008100e-01 |   2 1 1.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853462e-01  3.288787e-01  0.000000e+00  9.008100e-01 |   3 2 2.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853456e-01  3.288621e-01  0.000000e+00  9.008100e-01 |   4 2 4.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853446e-01  3.288289e-01  0.000000e+00  9.008100e-01 |   5 2 8.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853427e-01  3.287626e-01  0.000000e+00  9.008100e-01 |   6 2 1.600000e-05 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853389e-01  3.286302e-01  0.000000e+00  9.008100e-01 |   7 2 3.200000e-05 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853321e-01  3.283658e-01  0.000000e+00  9.008100e-01 |   8 2 6.400000e-05 
2019-08-05 22:51:18 | DEBUG |        1.000  2.853210e-01  3.278392e-01  0.000000e+00  9.008100e-01 |   9 2 1.280000e-04 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853095e-01  3.267944e-01  0.000000e+00  9.008100e-01 |  10 2 2.560000e-04 
2019-08-05 22:51:18 | DEBUG | Algebraic mode change for model SM
2019-08-05 22:51:18 | DEBUG |        1.001  2.853088e-01  3.263575e-01  0.000000e+00  9.008100e-01 |  11 2 5.120000e-04 
2019-08-05 22:51:18 | DEBUG | calculation of the new starting point of the simulation.
2019-08-05 22:51:18 | DEBUG |        1.001  2.853088e-01  3.263575e-01  0.000000e+00  9.008100e-01 |   0 0 0.000000e+00 
