time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
1.000049;5.835493;22.200032;1.000003;-0.000000;3.326680;0.781858;0.149850;0.553559;0.892857;
1.000055;5.835703;22.198818;1.000004;-0.000000;3.326316;0.781858;0.149842;0.553283;0.892857;
1.000061;5.835914;22.197604;1.000004;0.000000;3.325952;0.781858;0.149834;0.553008;0.892857;
1.000066;5.836124;22.196390;1.000005;0.000000;3.325588;0.781858;0.149826;0.552732;0.892857;
1.000072;5.836334;22.195177;1.000005;0.000000;3.325225;0.781858;0.149817;0.552456;0.892857;
1.000078;5.836545;22.193964;1.000005;-0.000000;3.324861;0.781858;0.149809;0.552180;0.892857;
1.000090;5.836965;22.191538;1.000006;0.000000;3.324134;0.781858;0.149793;0.551629;0.892857;
1.000101;5.837385;22.189112;1.000007;-0.000000;3.323408;0.781858;0.149777;0.551078;0.892857;
1.000124;5.838225;22.184265;1.000009;-0.000000;3.321956;0.781858;0.149744;0.549977;0.892857;
1.000147;5.839064;22.179420;1.000010;-0.000000;3.320505;0.781858;0.149711;0.548877;0.892857;
1.000193;5.840740;22.169740;1.000014;-0.000000;3.317607;0.781858;0.149646;0.546680;0.892857;
1.000286;5.844081;22.150419;1.000020;-0.000000;3.311827;0.781859;0.149515;0.542300;0.892857;
1.000378;5.847410;22.131148;1.000026;0.000000;3.306067;0.781859;0.149385;0.537936;0.892857;
1.000471;5.850725;22.111929;1.000033;0.000000;3.300327;0.781860;0.149256;0.533589;0.892857;
1.000563;5.854028;22.092760;1.000039;-0.000000;3.294608;0.781861;0.149126;0.529259;0.892857;
1.000656;5.857318;22.073642;1.000046;-0.000000;3.288908;0.781862;0.148997;0.524945;0.892857;
1.000748;5.860595;22.054574;1.000052;-0.000000;3.283229;0.781864;0.148868;0.520648;0.892857;
1.000840;5.863860;22.035556;1.000059;-0.000000;3.277569;0.781865;0.148740;0.516368;0.892857;
1.000933;5.867111;22.016589;1.000065;0.000000;3.271929;0.781867;0.148612;0.512104;0.892857;
1.001025;5.870350;21.997671;1.000072;0.000000;3.266308;0.781869;0.148484;0.507856;0.892857;
1.001210;5.876791;21.959986;1.000084;-0.000000;3.255127;0.781874;0.148230;0.499409;0.892857;
1.001376;5.882545;21.926238;1.000096;0.000000;3.245130;0.781878;0.148002;0.491861;0.892857;
1.001543;5.888258;21.892651;1.000108;0.000000;3.235195;0.781884;0.147775;0.484365;0.892857;
1.001709;5.893931;21.859222;1.000119;-0.000000;3.225323;0.781890;0.147550;0.476920;0.892857;
1.001875;5.899564;21.825952;1.000131;0.000000;3.215512;0.781896;0.147325;0.469526;0.892857;
1.002042;5.905158;21.792840;1.000143;0.000000;3.205763;0.781903;0.147102;0.462181;0.892857;
1.002208;5.910712;21.759884;1.000154;0.000000;3.196075;0.781911;0.146879;0.454886;0.892857;
1.002375;5.916226;21.727084;1.000166;0.000000;3.186447;0.781919;0.146658;0.447641;0.892857;
1.002377;5.916323;21.726508;1.000166;0.000000;3.186278;0.781920;0.146654;0.447513;0.892857;
1.002377;5.916323;21.726508;1.000166;0.000000;3.186278;0.781920;0.146654;0.447513;0.892857;
1.002378;5.916335;21.726434;1.000166;-0.000000;3.186256;0.781920;0.146653;0.447497;0.892857;
1.002378;5.916348;21.726361;1.000166;0.000000;3.186235;0.781920;0.146653;0.447481;0.892857;
1.002379;5.916373;21.726213;1.000166;-0.000000;3.186191;0.781920;0.146652;0.447448;0.892857;
1.002380;5.916422;21.725918;1.000166;-0.000000;3.186105;0.781920;0.146650;0.447383;0.892857;
1.002383;5.916521;21.725327;1.000166;0.000000;3.185931;0.781920;0.146646;0.447253;0.892857;
1.002389;5.916720;21.724146;1.000167;0.000000;3.185585;0.781920;0.146638;0.446992;0.892857;
1.002401;5.917116;21.721785;1.000168;0.000000;3.184893;0.781921;0.146622;0.446471;0.892857;
1.002426;5.917908;21.717065;1.000169;-0.000000;3.183509;0.781922;0.146590;0.445430;0.892857;
1.002474;5.919490;21.707635;1.000173;-0.000000;3.180745;0.781925;0.146527;0.443351;0.892857;
1.002570;5.922644;21.688813;1.000179;0.000000;3.175231;0.781930;0.146399;0.439205;0.892857;
1.002762;5.928914;21.651324;1.000193;-0.000000;3.164264;0.781941;0.146146;0.430960;0.892857;
1.002954;5.935131;21.614040;1.000206;0.000000;3.153375;0.781953;0.145895;0.422779;0.892857;
1.003146;5.941298;21.576959;1.000220;0.000000;3.142565;0.781966;0.145644;0.414661;0.892857;
1.003338;5.947414;21.540081;1.000233;0.000000;3.131832;0.781980;0.145396;0.406605;0.892857;
1.003531;5.953479;21.503403;1.000247;0.000000;3.121175;0.781994;0.145148;0.398611;0.892857;
1.003723;5.959495;21.466926;1.000260;0.000000;3.110595;0.782010;0.144902;0.390677;0.892857;
1.003915;5.965460;21.430648;1.000273;-0.000000;3.100090;0.782026;0.144657;0.382804;0.892857;
1.004107;5.971375;21.394567;1.000287;0.000000;3.089661;0.782043;0.144413;0.374991;0.892857;
1.004299;5.977242;21.358683;1.000300;0.000000;3.079305;0.782060;0.144171;0.367237;0.892857;
1.004491;5.983059;21.322994;1.000314;-0.000000;3.069023;0.782079;0.143930;0.359541;0.892857;
1.004684;5.988828;21.287500;1.000327;-0.000000;3.058814;0.782098;0.143691;0.351904;0.892857;
1.004876;5.994548;21.252199;1.000340;0.000000;3.048678;0.782118;0.143452;0.344323;0.892857;
1.005068;6.000221;21.217090;1.000354;-0.000000;3.038613;0.782139;0.143215;0.336799;0.892857;
1.005260;6.005845;21.182172;1.000367;-0.000000;3.028620;0.782161;0.142980;0.329332;0.892857;
1.005452;6.011422;21.147444;1.000381;-0.000000;3.018697;0.782184;0.142745;0.321920;0.892857;
1.005644;6.016952;21.112904;1.000394;0.000000;3.008844;0.782207;0.142512;0.314563;0.892857;
1.005837;6.022435;21.078552;1.000407;-0.000000;2.999061;0.782231;0.142280;0.307260;0.892857;
1.006029;6.027872;21.044387;1.000421;0.000000;2.989347;0.782256;0.142050;0.300012;0.892857;
1.006221;6.033262;21.010407;1.000434;0.000000;2.979701;0.782282;0.141820;0.292817;0.892857;
1.006605;6.043906;20.942998;1.000461;0.000000;2.960612;0.782336;0.141365;0.278585;0.892857;
1.006951;6.053329;20.882954;1.000485;0.000000;2.943660;0.782388;0.140960;0.265953;0.892857;
1.007297;6.062608;20.823493;1.000509;-0.000000;2.926921;0.782442;0.140559;0.253487;0.892857;
1.007643;6.071742;20.764610;1.000534;-0.000000;2.910391;0.782498;0.140161;0.241182;0.892857;
1.007989;6.080735;20.706299;1.000558;0.000000;2.894068;0.782558;0.139768;0.229038;0.892857;
1.008335;6.089587;20.648554;1.000582;-0.000000;2.877949;0.782620;0.139378;0.217051;0.892857;
1.008681;6.098299;20.591369;1.000606;-0.000000;2.862030;0.782684;0.138992;0.205217;0.892857;
1.009027;6.106875;20.534737;1.000630;-0.000000;2.846309;0.782751;0.138609;0.193536;0.892857;
1.009373;6.115315;20.478654;1.000654;-0.000000;2.830783;0.782821;0.138231;0.182004;0.892857;
1.009719;6.123620;20.423112;1.000678;0.000000;2.815449;0.782893;0.137856;0.170619;0.892857;
1.010410;6.139836;20.313627;1.000727;-0.000000;2.785343;0.783046;0.137117;0.148276;0.892857;
1.011033;6.153986;20.216888;1.000770;-0.000000;2.758877;0.783193;0.136464;0.128647;0.892857;
1.011656;6.167724;20.121815;1.000814;-0.000000;2.732990;0.783347;0.135822;0.109457;0.892857;
1.012178;6.178939;20.043301;1.000850;0.000000;2.711704;0.783484;0.135292;0.093686;0.892857;
1.012648;6.188794;19.973610;1.000883;0.000000;2.692879;0.783612;0.134822;0.079745;0.892857;
1.013072;6.197472;19.911662;1.000912;-0.000000;2.676201;0.783731;0.134404;0.067397;0.892857;
1.013450;6.205077;19.856914;1.000939;-0.000000;2.661505;0.783841;0.134034;0.056520;0.892857;
1.013790;6.211801;19.808129;1.000963;0.000000;2.648443;0.783943;0.133705;0.046855;0.892857;
1.014097;6.217756;19.764614;1.000984;-0.000000;2.636820;0.784037;0.133411;0.038256;0.892857;
1.014403;6.223621;19.721466;1.001005;0.000000;2.625319;0.784132;0.133120;0.029750;0.892857;
1.014679;6.228823;19.682943;1.001024;0.000000;2.615073;0.784220;0.132860;0.022174;0.892857;
1.014954;6.233954;19.644712;1.001044;0.000000;2.604924;0.784310;0.132602;0.014670;0.892857;
1.015202;6.238511;19.610552;1.001061;-0.000000;2.595873;0.784392;0.132371;0.007979;0.892857;
1.015426;6.242563;19.580006;1.001077;-0.000000;2.587792;0.784467;0.132165;0.002007;0.892857;
1.015501;6.243922;19.569725;1.001082;-0.000000;2.585076;0.784492;0.132096;-0.000001;0.892857;
1.015501;6.243922;19.569725;1.001082;-0.000000;2.585076;0.784492;0.132096;-0.000001;0.892857;
1.015501;6.243926;19.569697;1.001082;0.000000;2.585068;0.784493;0.132095;0.000000;0.892857;
1.015502;6.243929;19.569669;1.001082;-0.000000;2.585061;0.784493;0.132095;-0.000000;0.892857;
1.015502;6.243937;19.569614;1.001082;0.000000;2.585046;0.784493;0.132095;-0.000000;0.892857;
1.015503;6.243952;19.569502;1.001082;-0.000000;2.585016;0.784493;0.132094;0.000000;0.892857;
1.015505;6.243981;19.569278;1.001082;0.000000;2.584957;0.784494;0.132093;0.000000;0.892857;
1.015508;6.244040;19.568830;1.001082;0.000000;2.584839;0.784495;0.132090;0.000000;0.892857;
1.015514;6.244158;19.567935;1.001083;0.000000;2.584603;0.784497;0.132084;0.000000;0.892857;
